Nome: C. DO MATO DENTRO
Codigo Estacao: 83589
Latitude: -19.02027777
Longitude: -43.43388888
Altitude: 663.02
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;116.6;109.1;109.1;140.3;6.5;16;343.2;939;28.7;22.9;18.7;76.5;7.8;1.9;55.3;null;
2012-02-29;5;130.7;104.8;96.7;216.9;5.1;7;61.4;939.3;30.4;23.4;18.3;69.1;8.8;2.1;56.5;null;
2012-03-31;5;111.3;97.5;96.6;175;6.1;13;95;939.8;29.3;22.5;17.8;75.8;5;1.7;55.8;null;
2012-04-30;5;90.6;88.1;56.6;176.7;5.5;8;28;939.8;29.6;22.3;17.7;77.8;4.8;1.5;55.8;null;
2012-05-31;36;79.8;62.4;62.4;141.1;6.1;12;72.8;942.6;25.5;19.2;15.5;81.7;7.5;1.5;54.1;null;
2012-06-30;5;77.8;57.1;26.8;152.4;5.2;3;9.8;943.2;26.4;18.9;14.3;81.9;4.6;1.3;48.6;null;
2012-07-31;5;116.1;50.1;11.2;207.6;3.6;2;.2;943.7;26.4;17.5;11.2;75.1;5;1.4;52.5;null;
2012-08-31;9;124.7;54.6;30;188.6;5.1;11;25.7;946.3;25.3;17.9;12.2;72.9;6.6;2.2;55.6;null;
2012-09-30;5;174.2;76.8;22.2;196;4.2;4;16.4;943.1;29.5;20.7;13.6;64.2;7.5;2.1;55.7;null;
2012-10-31;null;190.9;100.1;77.1;208.8;4.6;7;75.6;940.1;30.9;22.6;15.1;63.2;7.1;null;57.7;null;
2012-11-30;null;86.6;102.6;102.6;107.4;8;24;368.3;937.6;28;22.7;19.2;81.5;null;null;56.4;null;
2012-12-31;null;142.2;129.2;129.2;222.7;5.2;10;150.5;938.1;32;24.6;18.9;73.2;4.6;null;55.9;null;
2013-01-31;5;116;115.6;115.6;130.1;7.2;19;261.9;938.5;29.3;23.5;19.3;78.7;8.3;1.7;55.2;null;
2013-02-28;5;129.7;102.2;102.2;193.9;5.3;5;108.8;939.3;30.8;23.6;18.1;73.2;4.9;1.7;56.5;null;
2013-03-31;32;93.2;107.7;107.7;125.7;7;2;149.5;939.2;29;23.5;19.6;81.2;5;1.7;54.4;null;
2013-04-30;5;81.8;79.6;79.6;133.2;6.1;null;109.9;940.9;27.3;21.2;17.4;81.1;4.8;1.6;55.1;null;
2013-05-31;36;82.9;61.8;61.7;150.4;5.1;null;58.5;941.8;26.1;19.1;14.7;82.9;5;1.2;51.4;null;
2013-06-30;5;61.6;55.1;54.7;142.3;5.6;null;49.3;943.3;25.6;18.6;14.6;85.1;4.5;1;49.5;null;
2013-07-31;5;92.8;54;38.7;174.3;4.4;null;1.3;944.5;26;18.1;13.1;79;4.3;1.2;50.7;null;
2013-08-31;36;135.9;55.9;24;204.2;4;null;1.3;943.7;27;18.2;11.3;71.5;5.1;1.6;54.5;null;
2013-09-30;9;141.4;75;54.8;155.5;5.2;null;47.2;942.7;27.7;20.5;14.9;70.8;7;1.9;55.8;null;
2013-10-31;5;143;90.3;76;156.9;6.6;null;72;941;28.2;21.5;16.1;72.2;5.1;2;54.3;null;
2013-11-30;5;145.9;105.6;105.6;149;6.7;null;149.5;938.9;29.1;23;18.2;72.5;5;2;55.8;null;
2013-12-31;32;100.2;118.8;118.8;138.9;7.5;null;629.9;936.3;29.4;23.7;19.8;82.1;6.3;1.8;51.5;null;
2014-01-31;5;159.6;121.2;121.2;245;4.6;null;127;940.4;31.1;24;18.2;69.1;5;2.1;55.8;null;
2014-02-28;5;163.7;104.1;76.6;220.4;4.3;null;19.5;939.8;31;23.7;17.9;68.2;5.5;2.4;56.7;null;
2014-03-31;5;116.4;102.6;73.7;132.6;7;null;57.7;940.1;28.7;23;18.9;78.4;4.8;1.7;55.4;null;
2014-04-30;9;101.1;90.1;90.1;174;5.4;null;95.4;940.4;29.3;22.4;17.9;77.5;5.3;1.6;56.2;null;
2014-05-31;36;111.3;61.8;21.4;179.3;4.2;null;7.7;941.8;27.3;19.2;13.4;77.5;4;1.3;55.8;null;
2014-06-30;5;85.9;49.9;12.9;157.9;4.9;null;6.1;944;25.9;17.7;12.5;80.4;5.5;1.2;53.9;null;
2014-07-31;5;107;50;22.1;153.1;4.9;null;18.8;946;25;17.5;11.9;77;6.3;1.5;54.2;null;
2014-08-31;36;162.1;55.9;20.2;227.1;3;null;17.3;944.3;27.9;18.2;10.5;67.2;6;1.7;56.7;null;
2014-09-30;null;null;81.8;5.6;212.1;2.9;null;2.2;942.4;30;21.1;13;58.4;5.1;null;56.5;null;
2014-10-31;5;196.7;98;98;159.8;4.4;null;145;941.5;29.6;22.3;15.6;62.7;5.5;2.1;49.2;null;
2014-11-30;5;133.1;105.6;105.6;131;6.6;null;217.4;938.9;28.9;22.9;18.2;73.9;5;1.9;53.5;null;
2014-12-31;9;136.1;117.7;117.7;181;5.6;null;181.3;939.5;29.8;23.6;18.6;73.3;7.3;2;54.9;null;
2015-01-31;14;195.8;131.7;126.7;281.7;3.2;null;98.3;940.3;32.7;24.9;17.6;61.7;5.3;2.1;56.3;null;
2015-02-28;14;118.6;null;null;173.8;5.5;null;169.4;939.8;30.1;23.8;18.6;72.8;5.1;1.9;54.2;null;
2015-03-31;5;110.6;110.8;110.8;null;5.7;null;136.8;939.9;30.5;23.7;18.7;76.9;5.3;1.4;56.5;null;
2015-04-30;18;76.6;84.8;84.8;null;6.1;null;147.6;940.7;28.3;21.9;17.9;81.3;4.1;1.3;54.6;null;
2015-05-31;5;null;67;67;null;6.5;null;102.4;943.2;25.5;19.8;16.2;81.4;5.8;1.6;53.5;null;
2015-06-30;5;null;51.8;47;null;5.6;null;19.3;945.7;24.6;18.1;13.8;81.8;5;1.4;50.1;null;
2015-07-31;9;null;51.3;30.1;null;5.1;null;1.7;945.2;25.4;17.7;12.7;80.2;4.5;1.3;51.1;null;
2015-08-31;14;null;60.9;21.9;null;3.8;null;2.4;944.6;26.8;18.7;12.4;72.3;5;1.8;55.8;null;
2015-09-30;18;null;92.5;78;null;3.3;null;73.8;940.8;31.4;22.6;15.2;67;6.8;1.6;54.2;null;
2015-10-31;5;null;121.1;45.5;null;3.8;null;33.6;940.7;32.7;24.5;16.6;58.7;5.1;2.1;55.2;null;
2015-11-30;null;null;132;132;null;5.6;null;144.2;937.9;33;25.5;19.4;67.8;null;null;56.4;null;
2015-12-31;5;null;129.2;108.5;null;5.6;null;103.9;940.3;31.7;24.6;19.1;73.6;5.8;2;55.3;null;
2016-01-31;36;null;119;119;null;7.8;null;545;938.4;29.1;23.8;19.9;83.1;6.6;1.9;51.6;null;
2016-02-29;null;null;117.3;99.8;null;4.9;null;51.8;940.4;32.3;24.8;18.7;73.2;null;null;55.8;null;
2016-03-31;null;104.2;109.6;108;null;6.1;null;106.3;941.4;30.5;23.7;19;79.8;null;null;56.3;null;
2016-04-30;null;119.8;89.9;89.9;null;3.3;null;116.9;941.3;30.5;22.5;16.8;75.3;null;null;56.2;null;
2016-05-31;null;79.2;67.7;41.9;null;4.8;null;6.6;943.4;27.3;19.9;15.1;82.2;null;null;52.3;null;
2016-06-30;null;null;49.9;16.5;null;5;null;2.1;945.3;25.5;18;12.9;null;null;null;48.6;null;
2016-07-31;32;119.4;53.3;12.8;null;3.4;null;2.6;944.6;27.1;18;11.7;74.9;5.8;1.4;56.6;null;
2016-08-31;32;146.8;58.8;7.9;null;3.9;null;1.2;943.6;27.9;19;11.7;69.9;5.8;1.7;56.2;null;
