Nome: JOAO MONLEVADE
Codigo Estacao: 83591
Latitude: -19.82388888
Longitude: -43.14416666
Altitude: 859.84
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2019-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;null;null;null;null;14;341.6;null;26.6;null;null;null;null;null;null;null;
2012-02-29;null;null;null;null;null;null;5;12.6;null;28.2;null;null;null;null;null;null;null;
2012-03-31;null;null;null;null;null;null;13;166.2;null;27.3;null;null;null;null;null;null;null;
2012-04-30;null;null;null;null;null;null;5;12.9;null;27.2;null;null;null;null;null;null;null;
2012-05-31;null;null;null;null;null;null;7;52.4;null;23.8;null;null;null;null;null;null;null;
2012-06-30;null;null;null;null;null;null;4;6.1;null;24.5;null;null;null;null;null;null;null;
2012-07-31;null;null;null;null;null;null;2;1.8;null;25;null;null;null;null;null;null;null;
2012-08-31;null;null;null;null;null;null;8;18.2;null;23.3;null;null;null;null;null;null;null;
2012-09-30;null;null;null;null;null;null;4;7.2;null;27.9;null;null;null;null;null;null;null;
2012-10-31;null;null;null;null;null;null;6;39.8;null;28.3;null;null;null;null;null;null;null;
2012-11-30;null;null;null;null;null;null;22;360;null;25.9;null;null;null;null;null;null;null;
2012-12-31;null;null;null;null;null;null;10;76.9;null;30.2;null;null;null;null;null;null;null;
2013-01-31;null;null;null;null;null;null;14;242.6;null;26.6;null;null;null;null;null;null;null;
2013-02-28;null;null;null;null;null;null;null;64.4;null;28.6;null;null;null;null;null;null;null;
2013-03-31;null;null;null;null;null;null;null;134.4;null;27.1;null;null;null;null;null;null;null;
2013-04-30;null;null;null;null;null;null;null;74.3;null;24.5;null;null;null;null;null;null;null;
2013-05-31;null;null;null;null;null;null;null;58.1;null;24.4;null;null;null;null;null;null;null;
2013-06-30;null;null;null;null;null;null;null;28;null;24;null;null;null;null;null;null;null;
2013-07-31;null;null;null;null;null;null;null;0;null;24.4;null;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;null;2.6;null;24.8;null;null;null;null;null;null;null;
2013-09-30;null;null;null;null;null;null;null;52.7;null;26.3;null;null;null;null;null;null;null;
2013-10-31;null;null;null;null;null;null;null;113.4;null;25.5;null;null;null;null;null;null;null;
2013-11-30;null;null;null;null;null;null;null;170.7;null;26.3;null;null;null;null;null;null;null;
2013-12-31;null;null;null;null;null;null;null;547.7;null;26.9;null;null;null;null;null;null;null;
2014-01-31;null;null;null;null;null;null;null;128.2;null;29.6;null;null;null;null;null;null;null;
2014-02-28;null;null;null;null;null;null;null;80.8;null;29.3;null;null;null;null;null;null;null;
2014-03-31;null;null;null;null;null;null;null;95;null;27.3;null;null;null;null;null;null;null;
2014-04-30;null;null;null;null;null;null;null;97.2;null;26.6;null;null;null;null;null;null;null;
2014-05-31;null;null;null;null;null;null;null;.8;null;24.9;null;15.1;null;null;null;null;null;
2014-06-30;null;null;null;null;null;null;null;5;null;24.2;null;14.5;null;null;null;null;null;
