Nome: CARATINGA
Codigo Estacao: 83592
Latitude: -19.73583333
Longitude: -42.13722221
Altitude: 609.56
Situacao: Temporariamente Fechada
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;81.6;107.9;107.9;175.9;7.4;14;207.7;1012.9;945.4;28.6;22.9;19.1;79.2;4.8;2;58.4;
2012-02-29;5;124.6;110.2;77;261.8;5.7;7;15.9;1012.7;945.5;31.2;24.1;19.1;68.6;5.1;2.2;60;
2012-03-31;5;103.4;102.2;102.2;199.9;6.5;9;113.1;1013.6;946;29.8;23.4;18.9;75.1;4.1;1.5;59.2;
2012-04-30;36;70.9;87.5;62.5;199.6;6.3;7;45.4;1013.7;945.8;28.8;22.4;18;79.9;4.3;1.3;60;
2012-05-31;0;63.1;64.1;64.1;184.4;6.4;8;74.8;1017.4;948.8;25.9;19.7;14.9;81.2;4.1;1.1;59.5;
2012-06-30;0;58.5;58.5;22.8;190.9;4.8;4;4.7;1018.3;949.4;26.4;19.4;14.2;82.8;3.6;1.1;60;
2012-07-31;18;86.5;54.5;11.9;245.8;4.2;3;1.5;1019.1;949.9;26.9;18.5;12.5;74.7;4.6;1.3;60;
2012-08-31;5;110.4;64.1;18;225.2;5.7;7;11.9;1021.6;952.4;26.4;19.5;14.2;69.5;6.3;2.3;59.5;
2012-09-30;5;152.8;81.1;18.6;231.5;5.2;5;14.3;1017.8;949.1;28.7;21.4;15.6;62.8;5.8;2.2;60;
2012-10-31;5;198.7;110.5;25.1;256.6;5.6;5;22.4;1014.3;946.7;30.5;23.7;18.2;60.9;6.5;2.6;60;
2012-11-30;36;91.8;101.4;101.4;130.5;8;23;387.4;1011.6;943.9;27.8;22.7;19;79;6.3;1.9;59;
2012-12-31;36;117.5;136.4;105.2;267.5;6.1;7;45.5;1010.7;943.8;31.7;25.2;20.3;73.8;4.8;1.6;60;
2013-01-31;36;114.5;121.7;121.7;170.5;7.3;15;245.9;1012.1;944.8;29.9;24.1;20.1;76.9;5.8;1.6;59.2;
2013-02-28;5;85.2;101.3;101.3;214.6;6.1;5;173.2;1012.4;945;30.5;23.6;19.1;78.4;5;1.6;58.8;
2013-03-31;0;75.9;108.7;108.7;154.7;7;2;175;1013.1;945.6;29.3;23.7;19.9;82.5;4.1;1.3;59.2;
2013-04-30;0;57.4;77;74.4;149.6;7.2;null;53.4;1015.4;947.2;26.9;21.2;17.1;82.8;3.1;1;59.7;
2013-05-31;0;63.2;62.6;62.6;189.8;5.8;null;70.9;1016.7;948;26.4;19.5;14.7;83.3;3;1;60;
2013-06-30;0;51.2;55.7;47.1;162.8;5.7;null;22.3;1018.4;949.4;25.6;19;14.3;85.9;4;1;59.8;
2013-07-31;0;83.9;57.3;38.7;216.5;5.3;null;18.7;1019.7;950.5;25.5;18.9;14.2;79;3.5;1.4;60;
2013-08-31;5;115.7;60.9;23.5;236.1;4.8;null;5.4;1018.8;949.9;26.6;19.2;13.6;72;4.5;1.6;59.8;
2013-09-30;36;123.1;77.4;52.5;194.1;6.4;null;45.9;1017.3;949;27.7;21.1;16;72.5;4.8;1.9;59.3;
2013-10-31;36;98.9;86.7;81.3;161.3;7.5;null;80.2;1015.6;947.4;26.7;21.4;17.2;75.5;5.8;2;59.8;
2013-11-30;5;105.8;103.4;103.4;176.5;7;null;167.2;1013;945.3;28.3;22.7;18.6;74.7;4.5;1.8;59.2;
2013-12-31;36;65.7;118;118;160.3;7.9;null;469.9;1010;942.9;28.9;23.8;19.9;81.6;5;1.6;58.8;
2014-01-31;36;126.5;125.3;100.4;294;5.7;null;45.3;1013.7;946.5;31.1;24.4;19.3;71;4.6;1.7;59.8;
2014-02-28;5;144.4;111.7;62.4;260.4;6;null;39.3;1013.4;946.2;31.3;24.6;19.3;68;5.5;1.9;58.9;
2014-03-31;5;94;107.6;107.6;181.3;6.9;null;132.2;1013.7;946.2;29.2;23.5;19.4;77.9;4.6;1.6;60;
2014-04-30;0;68;82.2;82.2;212.9;5.7;null;87.8;1014.4;946.5;28.5;22.2;17.7;80.9;3.3;1.2;59.7;
2014-05-31;0;94.9;65.7;58.6;215.6;5.7;null;51.9;1016.6;947.9;26.9;19.7;14.5;79.9;4.1;1.2;60;
2014-06-30;0;69;53;19;198.6;5.3;null;.5;1019.2;950;26;18.6;13.4;82;4;1.1;60;
2014-07-31;36;79.1;54.5;26.7;161.1;6.4;null;18.6;1021.6;952.2;24.8;18.4;13.5;78.1;4.5;1.4;59.8;
2014-08-31;5;129.1;60.9;10.1;258.3;4;null;1.8;1018.7;950;27.2;19.1;12.6;68.3;5.8;1.6;60;
2014-09-30;9;169.6;83.6;12.1;242.3;5;null;6.5;1016.9;948.6;29.1;21.7;15.8;60.5;5.5;2.5;59.8;
2014-10-31;14;177.3;99.7;99.7;227.6;5.9;null;118.3;1015.9;948;29.5;22.6;17.1;63.2;6.6;2.4;59;
2014-11-30;36;115.8;105.6;105.6;147.5;7.3;null;127;1012.4;945.1;28.4;23.1;19;73.9;5.1;1.7;59.7;
2014-12-31;36;110.9;115.7;115.7;228.6;6.4;null;125.1;1012.8;945.5;29.8;23.7;19;74.1;6.3;1.7;59.8;
2015-01-31;36;179.7;139;43.7;299.2;5.4;null;3.4;1013.2;946.3;33.3;25.5;19.9;63.1;5.8;2;60;
2015-02-28;36;127.9;108.5;108.5;214.9;6.6;null;206;1013.1;945.8;30.2;24.3;20;73.1;4.8;2;59.3;
2015-03-31;36;102.1;115.3;102.9;221.3;6.6;null;61.1;1013;945.6;30.5;24.3;19.7;76.1;4.8;1.4;59.8;
2015-04-30;36;74.3;85.8;71.4;160.4;6.8;null;56.8;1014.3;946.4;28.4;22.4;18;79.5;4.6;1.2;60;
2015-05-31;0;56.9;63.4;63.4;125.3;6.6;null;88;1018.1;949.2;25.2;19.6;15.6;84.3;3.3;1;59.7;
2015-06-30;18;71.9;55;30.3;162.1;5.6;null;2.5;1020.2;951.1;25.5;18.9;14;81;5.8;1.3;59.8;
2015-07-31;0;81.5;57.3;17.7;164.3;6.2;null;.2;1020.2;951.1;26.1;18.8;13.7;79.1;4.6;1.3;60;
2015-08-31;9;109.9;67.1;11.9;211.3;5.1;null;.9;1019.4;950.4;27.2;19.8;14.3;70.6;3;1.5;60;
2015-09-30;9;148.5;99.9;31.1;232.2;4.9;null;24.9;1014.7;947.1;31;23.4;17.7;65.3;4;1.8;60;
2015-10-31;36;186.1;124;70.4;241;5.3;null;68;1014.2;947.1;31.9;24.8;19.1;61;4;2.1;59.7;
2015-11-30;36;135;133.2;126.7;206.8;6.5;null;126.5;1011;944.2;32;25.5;20.7;70;4;1.9;59.8;
2015-12-31;36;110.9;131.3;131.3;240;6.6;null;141.3;1013.2;946.2;31.3;24.8;20.4;75.2;4;1.6;60;
2016-01-31;36;82.9;119.4;119.4;157.9;7.7;null;260.4;1011.8;944.5;29.2;23.8;20.1;81.8;4;1.7;58.1;
2016-02-29;36;106.6;121.3;77.2;250.6;5.8;null;10.1;1012.9;946;32.5;25.1;20;74;4;1.6;59.8;
