Nome: AIMORES
Codigo Estacao: 83595
Latitude: -19.494872
Longitude: -41.077647
Altitude: 79.93
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2014-07-15
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;93.2;155.6;155.6;183.8;7.5;13;182;1006.2;32.9;26.7;22.6;75.5;2.1;1;60;null;
2012-02-29;9;106.2;143.3;66.6;248.7;6.1;7;16;1005.9;34.3;27.4;22.1;68.3;2.6;1.1;59.8;null;
2012-03-31;9;124.7;148.3;22.8;250.5;6.3;2;8;1005.9;35.3;27.7;22.5;68.1;2.1;1;60;null;
2012-04-30;9;97.6;133.3;48.8;235.3;7.1;3;46;1006.7;33.9;26.5;22;73.7;2.1;1.1;60;null;
2012-05-31;9;65.4;123;38.4;156;7.5;6;37.2;1009.9;30.2;23.3;18.6;76.5;2.1;1;60;null;
2012-06-30;9;76.2;119;2.4;195.1;6.6;1;1.8;1010.4;31;23.5;18.4;74.1;2.1;1.1;59.2;null;
2012-07-31;0;null;null;null;209.2;4.3;4;2.2;1010.5;30.6;22.4;17;70.9;3.1;.7;59;null;
2012-08-31;9;77;123.9;68.8;228.2;7.1;16;61.4;1014;29.7;22.5;17.7;72.3;2.6;1.3;60;null;
2012-09-30;9;104.1;131.7;39.9;219.6;6.2;4;34.3;1010.4;31.7;24.5;19.2;65.9;3.1;1.3;60;null;
2012-10-31;9;129.3;149.1;15.9;252.4;6.5;9;13.4;1006.8;33.6;26.2;20.8;64.1;2.1;1.4;60;null;
2012-11-30;9;74.9;145.5;145.5;143.1;8.6;16;330;1004.5;31.4;25.5;21.7;77.3;2.6;1.2;60;null;
2012-12-31;9;120.1;166.9;115.3;299;6;2;45;1003.8;35.8;28.8;23.4;65.6;2.1;1.1;60;null;
2013-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-02-28;9;97;141.3;138.6;261.8;7;6;117.2;1005.6;35.1;28.1;23.1;67.6;2.1;1.2;60;null;
2013-03-31;9;84;147;143.5;205.9;7.9;2;133.6;1006.2;33.8;27.2;23.2;75.6;2.1;1.1;60;null;
2013-04-30;9;67.4;128.2;93.5;193.6;7.9;null;59.2;1007.9;31;24.8;20.5;75.6;2.1;1.1;60;null;
2013-05-31;9;74;143.6;61.5;186.5;7.3;null;39.2;1009.7;30;23.3;18.7;80.1;2.1;1.1;61;null;
2013-06-30;27;56;134.1;35.6;181.3;7;null;27.6;1011.6;29.7;22.6;17.7;86;2.1;1;60;null;
2013-07-31;9;74.9;119.9;4.7;199;6.7;null;2.4;1013;29.8;22.3;17.5;80.2;2.1;1.1;60;null;
2013-08-31;9;99.6;125.2;8.1;237.9;6.4;null;7.2;1013;30.9;22.8;17;75;2.1;1.2;60;null;
2013-09-30;9;104.9;123;14.9;204.2;7.2;null;30.8;1011.9;31.5;24;18.9;77.3;2.1;1.3;60;null;
2013-10-31;9;86.6;141;122.6;166.6;8.3;null;122.6;1009.7;30.8;24.4;20;79.3;2.1;1.3;60;null;
2013-11-30;9;86.1;147.3;147.3;189.6;8.2;null;171.2;1007.5;31.8;25.8;21.1;77.6;2.1;1.3;60;null;
2013-12-31;9;63;null;null;176;8.9;null;822.4;1004.2;31.7;26.5;22.8;84.4;2.1;1.1;60;null;
2014-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-02-28;9;98.5;140.2;78.5;230.9;6.4;null;52.2;1007.8;35.2;27.9;22.8;75.9;2.1;1.1;60;null;
2014-03-31;9;101.6;147.8;57.2;226;7.7;null;45.2;1007.9;34;27.3;22.9;79.8;2.1;1;58;null;
2014-04-30;14;89.9;134.2;24.6;251.1;7.5;null;20;1008.1;33.5;26.6;22;79.8;2.1;1;60;null;
2014-05-31;36;83.9;125.2;125.2;193.2;7.2;null;26.6;1010.4;31.3;23.8;18.5;82.7;2.1;1.1;60;null;
2014-06-30;14;69.8;115.7;17.2;155.4;7.3;null;5.2;1012.7;30.1;22.4;17.3;79.6;2.1;1.1;60;null;
2014-07-31;null;null;null;null;null;null;null;21;null;null;null;null;null;null;null;null;null;

