Nome: MARILANDIA (COLATINA)
Codigo Estacao: 83596
Latitude: -19.40722222
Longitude: -40.53972221
Altitude: 93.37
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2016-05-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;null;null;null;6;13;163.2;null;31.8;26;21.8;74.9;null;null;76.4;null;
2012-02-29;null;77.1;139.3;89.4;null;4.1;9;38.6;null;33.1;26.3;21.2;70.3;null;null;80.4;null;
2012-03-31;null;88.3;144.2;33.3;null;4.1;4;11.8;null;33.6;26.5;21.4;69.6;null;null;80.9;null;
2012-04-30;null;65.2;130.2;18;null;4.6;4;12.6;null;32.3;25.4;21;76.7;null;null;83.6;null;
2012-05-31;null;54.9;119.7;32;null;5.5;4;30.8;null;28.4;22.3;18.4;78.1;null;null;79.3;null;
2012-06-30;null;52;116.7;49.3;null;3.3;3;48.8;null;29.2;22.5;18.5;78.9;null;null;76;null;
2012-07-31;null;null;null;null;null;3.8;null;0;null;28.7;21.5;16.7;null;null;null;71.9;null;
2012-08-31;null;42;null;null;null;6.4;16;104.2;null;27.3;21.2;17.5;80.4;null;null;65.6;null;
2012-09-30;null;76.6;128;80.4;null;4.3;4;21.4;null;29.5;23;18.3;70.1;null;null;82.2;null;
2012-10-31;null;87.1;143.8;31.7;null;4.4;2;8.8;null;32.2;25;19.8;66.9;null;null;83.2;null;
2012-11-30;null;57.1;143.3;135.1;null;7.3;13;134.4;null;29.8;24.9;21.4;78.6;null;null;71.6;null;
2012-12-31;null;104.2;163.4;39.9;null;3.4;2;34.6;null;35.7;28.2;22.7;65.5;null;null;83.1;null;
2013-01-31;null;null;null;null;null;null;11;86.6;null;34;27.4;22.9;68.5;null;null;null;null;
2013-02-28;null;84.7;null;null;null;4.1;null;35.4;null;34.6;27.5;22.3;65.4;null;null;84;null;
2013-03-31;null;79.3;145.6;130.5;null;5.5;null;129.8;null;33.1;26.8;22.6;73.6;null;null;83.8;null;
2013-04-30;null;44.5;null;null;null;5.7;null;13.6;null;29.5;24;20.3;78.3;null;null;76.9;null;
2013-05-31;null;53.5;121.6;42.9;null;4.5;null;41.2;null;28.9;22.5;18.2;77.2;null;null;78.6;null;
2013-06-30;null;42.7;114.6;114.6;null;4;null;136.6;null;28.3;22;17.9;81.1;null;null;80;null;
2013-07-31;null;52.8;116.8;26.4;null;4.7;null;11.2;null;28.4;21.7;17.6;76.7;null;null;82.7;null;
2013-08-31;null;68.7;null;null;null;4.1;null;32.5;null;28.6;21.8;16.3;71.5;null;null;78.3;null;
2013-09-30;null;75.1;128.2;24.3;null;5.3;null;24.2;null;29.8;23.2;18.3;71.7;null;null;79.9;null;
2013-10-31;null;70.8;136.5;136.5;null;6.3;null;138.2;null;29.3;23.6;19.1;72.4;null;null;73.9;null;
2013-11-30;null;73.5;145.2;145.2;null;6.5;null;195.4;null;31.3;25.3;21;72.5;null;null;68;null;
2013-12-31;null;56.4;155.1;155.1;null;7;null;642.2;null;31.6;26.1;22.5;80.4;null;null;63;null;
2014-01-31;null;78.7;null;null;null;4.6;null;124.8;null;33;26.7;21.7;70.3;null;null;83.2;null;
2014-02-28;null;62.5;134.8;108.5;null;4.6;null;90.6;null;33;26.4;21.2;72.7;null;null;80.1;null;
2014-03-31;null;73.4;null;null;null;null;null;87.6;null;31.9;null;21.9;null;null;null;null;null;
2014-04-30;null;null;null;null;null;4.2;null;67.8;null;31.8;24.8;19.9;74.7;null;null;82.8;null;
2014-05-31;null;57.1;122.7;12.7;null;3.1;null;5.8;null;30;23;17.9;74;null;null;83.8;null;
2014-06-30;null;37.6;113.6;35.3;null;4.6;null;33.4;null;27.9;21.5;17.2;81.7;null;null;80.5;null;
2014-07-31;null;42.6;116.4;64.8;null;5.3;null;64.2;null;26.7;21;17.2;80.3;null;null;80.8;null;
2014-08-31;null;62.1;null;null;null;2.2;null;98.4;null;28.7;20.8;15.5;72.8;null;null;84;null;
2014-09-30;null;73.3;126.4;37.6;null;3.8;null;24.8;null;31.1;23.2;17.5;67.3;null;null;84;null;
2014-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-01-31;null;126.4;157.5;44.8;null;3;null;22.6;null;35.9;28.1;21.5;60.3;null;null;84;null;
2015-02-28;null;86.1;134.8;77.4;null;4.6;null;73.8;null;34.5;27.5;22;68.2;null;null;84;null;
2015-03-31;null;82.1;145.2;114.2;null;4.3;null;113;null;34.4;27.1;21.9;70.4;null;null;84;null;
2015-04-30;null;67.1;126.5;10.3;null;4.9;null;8.2;null;31.4;25.1;20.3;73.3;null;null;80.7;null;
2015-05-31;null;54.4;123.4;40.9;null;4.8;null;39.8;null;28.9;22.7;18.4;79;null;null;81.1;null;
2015-06-30;null;45.9;113.2;37.4;null;4.7;null;37.2;null;28.6;22.2;18;78;null;null;81.7;null;
2015-07-31;null;49.4;118.8;26.9;null;4.3;null;26.8;null;28.5;21.6;17.1;78.9;null;null;79.7;null;
2015-08-31;null;null;null;null;null;null;7;10;null;29;null;17.4;null;null;null;null;null;
2015-09-30;null;81.4;109.1;4;null;null;0;0;null;33.9;26.3;21.2;62.9;null;null;null;null;
2015-10-31;null;111.3;147.1;36.8;null;4.6;null;35.4;null;34.6;26.6;21.7;64.1;null;null;82.5;null;
2015-11-30;null;null;null;null;null;null;6;93.1;null;35.5;null;23.5;null;null;null;null;null;
2015-12-31;null;null;null;null;null;null;1;null;null;37.4;null;23.9;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;9;97.3;null;33.8;null;23.5;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;3;7.2;null;36.5;null;null;null;null;null;null;null;
2016-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-04-30;null;null;null;null;null;3.2;null;19.2;null;34;26.9;21.2;68.6;null;null;84;null;
2016-05-31;null;null;null;null;null;null;4;36.4;null;31.2;null;19.1;null;null;null;null;null;

