Nome: VOTUPORANGA
Codigo Estacao: 83623
Latitude: -20.43972221
Longitude: -49.9836111
Altitude: 510.41
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;135.8;135.8;175.6;8.5;19;402.5;null;952.6;null;null;null;null;null;null;36;
2012-02-29;null;null;122.8;110.9;239.1;7.8;11;69.8;null;953.1;null;null;null;null;null;null;39;
2012-03-31;null;null;125.6;78.4;253.2;7.3;8;46.1;null;953.7;null;null;null;null;null;null;38.8;
2012-04-30;null;null;115.4;111.7;207.4;7.5;12;110.4;null;953.8;null;null;null;null;null;null;39;
2012-05-31;null;null;114.1;91.8;218;6.5;8;85.3;null;957;null;null;null;null;null;null;37.6;
2012-06-30;null;null;107.9;107.9;196.8;6.7;8;180.2;null;957.6;null;null;null;null;null;null;36.7;
2012-07-31;null;null;112.6;71.3;null;5.2;1;12.2;null;957.3;null;null;null;null;null;null;39;
2012-08-31;null;null;117;23.6;null;5.3;0;0;null;959;null;null;null;null;null;null;41;
2012-09-30;null;null;119.2;93.7;null;6.3;5;91.1;null;955.4;null;null;null;null;null;null;39.6;
2012-10-31;null;null;129.3;26.9;null;7.5;4;21.6;null;952.3;null;null;null;null;null;null;41.7;
2012-11-30;null;null;130.2;130.2;null;8;7;156.5;null;950.5;null;null;null;null;null;null;38.7;
2012-12-31;null;null;137;137;null;8.6;17;289;null;951.5;null;null;null;null;null;null;36.9;
2013-01-31;null;null;135.8;135.8;null;8.7;14;229.6;null;952.5;null;null;null;null;null;null;33.9;
2013-02-28;null;null;118.6;118.6;null;8.8;16;168.1;null;953.2;null;null;null;null;null;null;38.6;
2013-03-31;null;null;125.8;125.8;null;8.6;1;153.3;null;null;null;null;null;null;null;null;38.7;
2013-04-30;null;null;115.6;90.7;null;6.7;null;34.6;null;null;null;null;null;null;null;null;38.2;
2013-05-31;null;null;114.3;73.2;null;5.8;null;52.5;null;null;null;null;null;null;null;null;38.2;
2013-06-30;null;null;107.9;78.8;null;5.5;null;71.4;null;null;null;null;null;null;null;null;38.2;
2013-07-31;null;null;112.5;50.3;null;4;null;41.8;null;null;null;null;null;null;null;null;41.3;
2013-08-31;null;null;116.9;5.7;null;3.2;null;0;null;null;null;null;null;null;null;null;40.9;
2013-09-30;null;null;119;72.6;null;5.5;null;71.6;null;null;null;null;null;null;null;null;39.6;
2013-10-31;null;null;129.1;61.8;null;6.7;null;65.8;null;null;null;null;null;null;null;null;39.2;
2013-11-30;null;null;130;125.5;null;8;null;125.5;null;null;null;null;null;null;null;null;40.4;
2013-12-31;null;null;137;137;null;7.2;null;171.2;null;null;null;null;null;null;null;null;38.6;
2014-01-31;null;null;135.8;75.7;null;6.6;null;58.4;null;null;null;null;null;null;null;null;38.1;
2014-02-28;null;null;118.6;118.6;null;7.9;null;154.4;null;null;null;null;null;null;null;null;39.2;
2014-03-31;null;null;125.8;125.8;null;7.8;null;284.2;null;null;null;null;null;null;null;null;38.5;
2014-04-30;null;null;115.6;81.7;null;5.8;null;20.2;null;null;null;null;null;null;null;null;39.7;
2014-05-31;null;null;114.3;46.2;null;5.4;null;23.2;null;null;null;null;null;null;null;null;40.9;
2014-06-30;null;null;107.9;13.1;null;5.2;null;3;null;null;null;null;null;null;null;null;35.7;
2014-07-31;null;null;112.5;54.1;null;5.6;null;51.6;null;null;null;null;null;null;null;null;38.3;
2014-08-31;null;null;116.9;2;null;3.1;null;0;null;null;null;null;null;null;null;null;39;
2014-09-30;null;null;119;104.7;null;5.3;null;104.6;null;null;null;null;null;null;null;null;38.9;
2014-10-31;null;null;129.1;30.2;null;5.7;null;29.7;null;null;null;null;null;null;null;null;40.6;
2014-11-30;null;null;130;130;null;8;null;293.6;null;null;null;null;null;null;null;null;39.7;
2014-12-31;null;null;138.5;138.5;null;7.9;null;177.4;1008.7;952;32.1;25.6;19.1;83.3;null;null;36.9;
2015-01-31;null;null;161.7;161.7;null;7.2;null;181.5;1010.6;954;34.6;27.1;20.1;null;null;null;35.5;
2015-02-28;null;null;104.5;104.5;null;8.3;null;179.1;1009.8;953;32.2;25.3;19.1;87.2;null;null;40.7;
2015-03-31;null;null;113.5;113.5;null;8.6;null;182.9;1010.5;953.5;31.2;24.4;18.4;89.1;null;null;39.7;
2015-04-30;null;null;103.1;78.8;null;7;null;24.2;1011.4;954.2;31.7;24.4;17.8;84.9;null;null;39.4;
2015-05-31;null;79.2;77.7;76.3;null;6.9;null;75.1;1014.3;956.5;28.4;21.7;15.5;85.2;null;null;39.5;
2015-06-30;null;108.6;67.9;30.1;null;5.4;null;10.9;1016.2;958.4;28.5;21.6;14.9;79;null;null;38.1;
2015-07-31;null;102;71.7;55.8;null;6.1;null;51.5;1016;957.4;28.7;21.6;14.8;80.9;null;null;37.5;
2015-08-31;null;156.2;99.4;18.5;null;2.6;null;6.1;1014.9;956.7;32.7;23.8;15.6;59.9;null;null;39.5;
2015-09-30;null;160.6;120.3;120.3;null;5.4;null;120.9;1010.5;953.6;33.3;25.5;17.5;61.2;null;null;37;
2015-10-31;null;146.1;142.6;142.6;null;6.7;null;143.6;1010.9;953.2;35.1;26.6;18.5;62.8;null;null;40.4;
2015-11-30;null;106.7;134.5;134.5;null;8.6;null;276.4;1009.7;951.9;33;25.7;18.8;74.7;null;null;39.6;
2015-12-31;null;136;140.1;140.1;null;8.4;null;201.2;1011.2;953.5;32.5;25.7;19.2;75.5;null;null;39.2;
2016-01-31;null;null;126.8;126.8;null;9.3;null;425.7;1008.3;951.5;31.6;25.2;19.2;null;null;null;31.5;
2016-02-29;null;null;125.6;125.6;null;9.1;null;184.4;1011;954.3;33.3;26.3;19.2;null;null;null;35.9;
2016-03-31;null;103.4;125.6;125.6;null;8.6;null;206.7;1012;955.3;32.3;25.5;18.8;null;null;null;32.8;
2016-04-30;null;null;120.7;105.5;null;4.1;null;61.2;1012;955.4;33.4;25.9;17.6;null;null;null;38.5;
2016-05-31;null;null;95.9;92.1;null;6.1;null;88;1016.3;957.7;28.5;20.8;13.1;null;null;null;37.4;
2016-06-30;null;96.3;52.2;52.2;null;6.4;null;77;1017.8;958.8;27.2;19.8;12.2;73.1;null;null;37.7;
2016-07-31;null;157;61.9;34.7;null;4.6;null;0;1016.5;957.8;30.4;21.1;11.8;59.2;null;null;39.4;
2016-08-31;null;137.1;77.6;53.9;null;4.3;null;41.6;1014.9;956.6;31;22;12.3;58.7;null;null;40;
2016-09-30;null;153.1;83.2;28;null;5.7;null;13.9;1014.4;956;32.5;22.7;12.7;56;null;null;40.8;
2016-10-31;null;159.5;122.1;96.8;null;7.1;null;93.3;1011.2;953.5;33.4;24.8;15.9;66;null;null;40.1;
2016-11-30;null;null;124.4;118.6;null;8.8;null;117.9;1010;952.8;32.5;25;17.1;null;null;null;37.5;
2016-12-31;null;116.6;135.4;135.4;null;8.7;null;228.2;1010.1;952.6;32.5;25.4;17.4;75.7;null;null;37.6;
2017-01-31;null;null;107.4;107.4;null;8.7;null;325.7;1010.6;953.5;31.3;24.5;17.3;null;null;null;35;
2017-02-28;null;113;132.4;122;null;7.6;null;82.9;1010.2;952.8;33.7;26.3;18.1;68.4;null;null;39.6;
2017-03-31;null;131.9;123;110.4;null;7.6;null;96;1011.3;953.7;32.7;25.1;17;72.4;null;null;40.5;
2017-04-30;null;null;89.2;83.3;null;7.2;null;82.2;1012.6;955.2;30.5;23.3;15;null;null;null;36.7;
2017-05-31;null;109.8;85;85;null;7;null;108.6;1014;955.8;30.2;22.9;14.6;73.2;null;null;39.1;
2017-06-30;null;118;72.5;36.9;null;5.7;null;4.6;1016.9;958;28.9;20.8;11.9;65.4;null;null;39.4;
2017-07-31;null;169.6;55.2;14.1;null;3.9;null;0;1020.7;961.4;28.4;19.9;10.4;56.6;null;null;40.7;
2017-08-31;null;169.8;97;34.9;null;5.4;null;25.1;1015.3;956.4;31.2;22.4;12.9;57.8;null;null;40.1;
2017-09-30;null;303;131.4;7.8;null;3.8;null;1;1014;956.3;35.6;26.3;15.9;42.9;null;null;40;
2017-10-31;null;223.6;135;124.9;null;7.7;null;124.7;1011;953.5;34.7;25.9;16;59.7;null;null;39;
2017-11-30;null;129.2;115.9;115.9;null;7.9;null;213;1008.9;951.5;32.3;24.5;15.7;70.3;null;null;39.9;
2017-12-31;null;105.6;127.9;127.9;null;8.3;null;287.8;1009;951.4;32.2;25.1;17.1;72.9;null;null;38.1;
2018-01-31;null;null;131.2;131.2;null;8.2;null;214.6;1009.5;952.4;32.4;25.2;17.1;null;null;null;38.2;
2018-02-28;null;90.2;102;102;null;8;null;158;1009.6;952.2;32.1;24.3;15.7;77.5;null;null;40.6;
2018-03-31;null;139;136;114;null;7.5;null;61.4;1009.9;952.4;33.7;26.2;17.7;72.8;null;null;39.7;
2018-04-30;null;126;100.7;61.1;null;7.1;null;39.4;1013.4;955.8;31.6;24.5;16.8;66.2;null;null;41.4;
2018-05-31;null;165.6;80.8;27.4;null;5.3;null;15;1015.5;957.4;30.6;22.5;14.5;62;null;null;39.5;
2018-06-30;null;131.5;73.4;7.9;null;6.3;null;1;1016.7;958;30.1;22.2;13.5;63.1;null;null;40.8;
2018-07-31;null;202.6;77.5;5.4;null;4.1;null;2;1016.1;957.6;31;22.4;13.3;52.9;null;null;40.2;
2018-08-31;null;156.4;67.8;18.2;null;5.2;null;17;1016.6;957.7;30.4;21.4;12.6;76.1;null;null;39.9;
2018-09-30;null;193;96.4;67.1;null;6;null;66.6;1012.6;954.1;32.7;24;15.2;73.9;null;null;39.4;
2018-10-31;null;126.6;132;111;null;8.2;null;120.3;1010.7;952.8;33.1;25.7;17.6;76.8;null;null;39.5;
2018-11-30;null;null;117.3;117.3;null;8.7;null;179.4;1010.5;953.2;31.1;24.5;17;null;null;null;37.1;
2018-12-31;null;138;151.3;114.4;null;7.9;null;99.4;1010.6;953.4;33.6;26.1;17.9;81.7;null;null;39.2;
2019-01-31;null;null;168.6;141.8;null;7.3;null;133.4;1011.2;954.7;35.4;27.4;18.9;null;null;null;35.3;
2019-02-28;null;98.4;114.6;114.6;null;8.2;null;195.6;1010.1;952.7;32.9;25.2;17.1;85.3;null;null;40;
2019-03-31;null;95.4;116.1;116.1;null;7.5;null;117.9;1012.3;954.5;32.2;24.7;16.7;83.3;null;null;38.5;
2019-04-30;null;119.4;100.7;100.3;null;6.6;null;91.6;1012;954.3;31.9;24.5;16.4;79.4;null;null;40.1;
2019-05-31;null;null;83.9;75;null;5.8;null;46.8;1012.8;955.7;31.5;23;15.2;null;null;null;35.5;
2019-06-30;null;null;72.5;35.7;null;3.7;null;4.8;1016.1;958.4;30.7;22.3;13.8;null;null;null;34.7;
2019-07-31;null;null;68.9;26.8;null;4.2;null;13.2;1016.2;958;30.4;21.5;14.7;null;null;null;34.5;
2019-08-31;null;null;91.3;55.3;null;4.9;null;49;1016.3;958.3;32.3;23.7;16.5;null;null;null;34.3;
2019-09-30;null;null;134.3;57.6;null;5;null;50.8;1011.4;954.7;35.1;26.8;18.6;null;null;null;37.6;
2019-10-31;null;null;147.3;72.4;null;5.8;null;69.6;1010.2;953.5;35.5;27.1;18.6;null;null;null;34.6;
2019-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2019-12-31;null;null;null;null;null;7.4;null;106.6;1008.9;952.3;31.8;25.3;18.3;null;null;null;33.5;
2020-01-31;null;null;null;null;null;7.6;null;255.7;1008;951.5;32.9;25.8;18.8;null;null;null;31.7;
2020-02-29;null;null;null;null;null;8.6;null;215.2;1010.1;953.2;31;24.6;18;null;null;null;32.6;
2020-03-31;null;null;null;null;null;4.2;null;69;1010.4;953.7;33;25.2;17.1;null;null;null;34.6;
2020-04-30;null;null;null;null;null;3.5;null;38.4;1012.8;955.5;31.7;23.8;15.5;null;null;null;35.4;
2020-05-31;null;null;null;null;null;5;null;21.2;1015.2;957.2;29;21.4;13.6;null;null;null;33.2;
2020-06-30;null;null;null;null;null;4.6;1;3.2;1014.9;957.6;30.2;22.7;15.9;null;null;null;36;
2020-07-31;null;null;null;null;null;3.8;null;0;1015.2;957.3;30.8;22.6;15.3;null;null;null;35;
2020-08-31;null;null;null;null;null;4.5;1;5;1014.8;957.2;31.8;23.5;16.1;null;null;null;36.1;
2020-09-30;null;null;null;null;null;3.5;2;1.1;1011.4;955.1;36.8;28.2;19.6;null;null;null;36.2;
2020-10-31;null;null;null;null;null;7.4;7;58.9;1008.6;952.4;35.5;27.3;19.2;null;null;null;33.5;
2020-11-30;null;null;null;null;null;4.4;6;63.8;1009.5;952.5;34.2;26.1;17.8;null;null;null;35.3;
2020-12-31;null;null;null;null;null;7.5;17;166.9;1008.9;952.3;33.1;25.3;18.1;null;null;null;32.5;
2021-01-31;null;null;null;null;null;7.2;9;152.4;1009.5;952.9;32.5;25.6;18.7;null;null;null;33.6;
2021-02-28;null;null;null;null;null;6.3;8;45.5;1007.9;951.5;33;25.5;18;null;null;null;35.8;
2021-03-31;null;null;null;null;null;6.6;7;107.7;1009.7;953.2;32.6;25.7;18.7;null;null;null;34.7;
2021-04-30;null;null;null;null;null;5;1;14.4;1012.4;954.8;31.8;23.3;15.4;null;null;null;34.6;
2021-05-31;null;null;null;null;null;5.9;1;1.4;1014;956.5;31;22.9;15.4;null;null;null;40.5;
2021-06-30;null;null;null;null;null;5.2;1;4.3;1015.7;957.7;29;21.1;14.4;null;null;null;35;
2021-07-31;null;null;null;null;null;1.6;null;null;1017.5;959.2;30.1;21.6;16.6;null;null;null;34.6;

