Nome: FRANCA
Codigo Estacao: 83630
Latitude: -20.58444444
Longitude: -47.38249999
Altitude: 1003.55
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;59;90.9;90.9;87.5;7.3;25;346.5;null;null;26.1;21;17.7;81.8;5;2.2;54;
2012-02-29;0;107.6;94;94;103.9;5;11;146.5;null;null;28.8;23.1;19;69.1;6;2.3;59;
2012-03-31;0;98.3;97;97;192.5;4.8;15;206.2;null;null;28.1;22.4;18.4;72.8;5;2;60;
2012-04-30;0;91.6;83.9;79.5;180.6;4.8;9;52;null;null;27.2;21.8;18;74.8;6;2.3;59.1;
2012-05-31;9;84.4;56.2;47.2;206.7;4.3;5;30.9;null;null;23.8;18.3;14.4;72.3;5;2.2;57.9;
2012-06-30;9;87.9;59.1;59.1;191.9;4.3;8;96.2;null;null;24.4;19.3;16;73.5;6;2.4;59.1;
2012-07-31;0;146;58.9;55.5;263.4;2.5;3;37.1;null;null;25;18.9;14.8;58.3;6;2.3;59.4;
2012-08-31;5;168.3;80;41.6;284.7;1.5;0;0;null;null;25.8;19.5;14.5;52.1;6;3.1;59.5;
2012-09-30;9;200.4;93.9;88.5;161.4;3.2;5;85.9;null;null;29.4;22.6;17.6;50;7;3;54.8;
2012-10-31;5;193.4;123.1;93.7;158.3;4;6;83.4;null;null;31;24.7;19.6;53.9;6;2.8;60.4;
