Nome: IBIRITE
Codigo Estacao: 83632
Latitude: -20.01666666
Longitude: -44.08472221
Altitude: 822.08
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-11-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;96.3;null;null;null;7.2;19;474.3;null;29.9;23.5;18.2;75;3;.9;null;null;
2012-02-29;0;114.2;null;null;null;4.8;7;82.7;null;31.6;23.9;18.4;71.7;3;.8;null;null;
2012-03-31;0;92.2;null;null;null;6.1;18;203.3;null;29.9;22.8;17.6;76.6;2;.7;null;null;
2012-04-30;0;77.2;null;null;null;4.9;10;69.3;null;29.9;22.4;16.6;76.2;3;.7;null;null;
2012-05-31;0;65.7;null;null;null;5.5;7;76.9;null;26.4;18.9;13.4;77;2;.6;null;null;
2012-06-30;36;68.5;null;null;null;3.3;6;29.8;null;26.8;18.9;14.2;78;3;1.1;null;null;
2012-07-31;36;95.3;null;null;null;2.7;0;0;null;27;17.6;11;71.3;4;1.2;null;null;
2012-08-31;36;114.4;null;null;null;4.2;0;0;null;26.4;17.9;11.4;68.4;4;1.4;null;null;
2012-09-30;0;162.4;null;null;null;3.3;2;69.3;null;30.5;21.9;14.5;60.4;4;1.2;null;null;
2012-10-31;36;172.1;null;null;null;4.4;8;68.6;null;31.1;23.7;17.9;63;4;1.2;null;null;
2012-11-30;0;96.2;null;null;null;7.2;20;314.6;null;29.3;22.4;17.6;81.3;3;.6;null;null;
2012-12-31;0;144.3;null;null;null;6.2;13;62.7;null;32.3;24.9;19.8;73.1;3;.8;null;null;
2013-01-31;36;106.9;null;null;null;8;20;316.3;null;30.3;23.6;19.3;79.6;3;.9;null;null;
2013-02-28;36;131;null;null;null;5.5;null;101.7;null;null;null;19.1;69.7;4;1.3;null;null;
2013-03-31;0;null;null;null;null;6.6;null;189.1;null;null;null;19.6;78.2;2;.3;null;null;
2013-04-30;0;null;null;null;null;5;null;132.8;null;null;null;15;76.8;5;.5;null;null;
2013-05-31;0;null;null;null;null;4.2;null;71.4;null;null;null;12.8;77;3;.7;null;null;
2013-06-30;0;null;null;null;null;3.2;null;31;null;null;null;13;77.3;5;.9;null;null;
2013-07-31;0;null;null;null;null;2.9;null;0;null;null;null;12.6;70.5;5;.8;null;null;
2013-08-31;36;null;null;null;null;2.7;null;0;null;null;null;13.8;62.3;8;1.6;null;null;
2013-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-10-31;0;null;null;null;null;5;null;116.2;null;null;null;16.7;69.5;6;.7;null;null;
2013-11-30;0;null;null;null;null;5.3;null;70.9;null;null;null;18.4;69.4;5;.6;null;null;
