Nome: DIVINOPOLIS
Codigo Estacao: 83635
Latitude: -20.17333332
Longitude: -44.87472221
Altitude: 787.42
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-09-02
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;78.2;143.8;143.8;171;8.9;22;401.5;925;28.9;23;18.6;74.3;6;2.6;59.4;null;
2012-02-29;5;126.6;134.7;100;228.3;6.7;6;38;925.6;31.2;24.3;18;61.8;6;2.3;60;null;
2012-03-31;36;115.6;135;135;197.6;7.1;15;148.6;926.1;30.4;23.4;18.1;68.8;4;2.1;59.4;null;
2012-04-30;36;98.5;122.4;88.6;214.9;6;5;66.5;926.1;29.7;22.5;16.8;70.8;5;2.1;60;null;
2012-05-31;14;90.5;111.3;35.5;187.4;5.8;6;17.5;928.8;25.9;18.4;12.6;72.9;6;2.4;58.7;null;
2012-06-30;18;77;null;null;208.7;4.9;9;106.8;929.4;null;null;13.2;76.6;6;2;58.4;null;
2012-07-31;18;116.6;109;60.6;264.5;2.8;1;1.2;929.7;26.6;17.6;10;62.7;4.1;2;61.2;null;
2012-08-31;5;165;113.8;20.8;260.3;3.5;0;0;932.2;26.7;18.7;10.8;54.8;6;2.6;60;null;
2012-09-30;36;198.2;125;18.9;240.4;4.4;3;12.3;928.8;30.4;22;13.9;49.3;7;2.6;59.6;null;
2012-10-31;36;224.3;142.8;16.9;243.6;5.8;7;14.6;925.8;32.2;24.4;17;50.5;8;2.6;60;null;
2012-11-30;36;117.5;140.2;140.2;175.6;7.9;20;163.5;923.4;29.5;23.4;18.7;70.4;5;2;59.2;null;
2012-12-31;36;133.1;154.3;141.2;212.5;7.5;16;137.4;924.1;32.3;25.1;20;68;6;2.1;59;null;
2013-01-31;36;101.4;146.3;146.3;139.5;8.6;21;362.3;924.9;29.6;23.6;19.3;74.7;5;2.3;56.6;null;
