Nome: OLIVEIRA
Codigo Estacao: 83637
Latitude: -20.699773
Longitude: -44.819903
Altitude: 991.23
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2017-10-18
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;68.3;null;null;null;6.8;16;419.7;null;26.4;20.9;17.5;73.5;3;1.6;46.8;null;
2012-02-29;null;null;null;null;null;null;2;12.5;null;null;null;null;null;2;null;null;null;
2012-03-31;36;91.4;null;null;null;5.1;11;142;null;28.3;21.5;17.4;68.2;3;1.2;46.7;null;
2012-04-30;5;80.9;null;null;null;4.3;5;52.4;null;27.6;20.8;16.4;70.1;3;1.2;46.7;null;
2012-05-31;5;68.7;null;null;null;4.1;4;46.1;null;24.2;17.6;13.1;66.9;3;1.5;46.7;null;
2012-06-30;null;null;null;null;null;null;2;35.3;null;25.1;17.9;13.7;69.1;3;null;null;null;
2012-07-31;36;104.7;null;null;null;2.5;1;3;null;25.1;17.1;11.1;59.9;3;2;46.7;null;
2012-08-31;9;116.8;null;null;null;2.4;null;0;null;25.3;17.9;11.9;56.5;3;2.2;46.5;null;
2012-09-30;36;146.4;null;null;null;3;3;35.1;null;28.6;20.1;14.2;53.7;3;1.9;47.5;null;
2012-10-31;5;150.2;null;null;null;3.6;5;36;null;29.7;22.1;16.6;55.8;3;1.6;46.7;null;
2012-11-30;36;83.4;null;null;null;6.7;13;148.6;null;26.7;21.2;17.6;71.4;3;1.3;47.8;null;
2012-12-31;null;null;null;null;null;null;7;125;null;29.1;22.7;18.9;67.2;3;null;null;null;
2013-01-31;36;78.1;null;null;null;7.4;17;243.5;null;27.2;21.5;18.4;73.7;4;1.6;46.8;null;
2013-02-28;null;null;null;null;null;null;null;54.7;null;null;null;null;null;null;null;null;null;
2013-03-31;5;73.4;null;null;null;6.3;null;174.1;null;27.6;21.8;18.4;73.2;3;1.6;47.2;null;
2013-04-30;5;66.4;null;null;null;5.7;null;78.8;null;25.8;19.5;15.5;71.9;3;1.4;46;null;
2013-05-31;36;79.9;null;null;null;4.2;null;50.8;null;25.5;18.4;13.4;70.1;3;1.6;44.8;null;
2013-06-30;36;71.2;null;null;null;4.1;null;23.9;null;25.1;18.4;13.5;72.4;3.6;1.3;46.6;null;
2013-07-31;9;100.6;null;null;null;2.5;null;15.4;null;25.6;17.7;11.5;64.3;3;1.8;45.8;null;
2013-08-31;36;134.7;null;null;null;2.7;null;0;null;26.7;18.6;11.8;56.3;4;1.7;46.7;null;
2013-09-30;36;111.6;null;null;null;4;null;75.9;null;27.3;20.3;14.2;59.4;4;2;46.6;null;
2013-10-31;36;99.2;null;null;null;6.1;null;131.3;null;25.8;20;15.6;67.9;4;2;45.8;null;
2013-11-30;9;96.2;null;null;null;6.3;null;105.6;null;26.9;21.4;17.1;69.3;3;1.6;45.3;null;
2013-12-31;36;74.5;null;null;null;7.4;null;216;null;27.6;22.5;18.6;73.2;4;1.6;46.5;null;
2014-01-31;5;138.5;null;null;null;3.8;null;77.3;null;29.9;23.6;17.7;60.4;4;1.5;46.7;null;
2014-02-28;5;142.7;null;null;null;3.7;null;129.9;null;29.7;23.4;17.9;57.7;4;1.5;46.7;null;
2014-03-31;null;null;null;null;null;null;null;33.3;null;28.6;22.7;18.2;64.6;4;null;null;null;
2014-04-30;null;null;null;null;null;null;null;99;null;28.7;22.2;17.5;72.5;4;null;null;null;
2014-05-31;9;95.3;null;null;null;3.7;null;20.4;null;25.5;18.6;12.9;66.8;4;1.1;46.3;null;
2014-06-30;5;82.8;null;null;null;3.1;null;8.8;null;25.6;18.1;12.4;67;3;1.2;46.7;null;
2014-07-31;36;95.3;null;null;null;4.5;null;46.5;null;24.1;17.5;12.2;65.2;3;1.6;45.6;null;
