Nome: CAPARAO
Codigo Estacao: 83639
Latitude: -20.526119
Longitude: -41.90913
Altitude: 836.25
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;94.2;140.5;140.5;158.1;7.2;14;222.3;920.8;27.2;21.5;18.3;79.2;4.1;.8;32.9;null;
2012-02-29;0;117.5;null;null;225.4;5.3;5;13.7;921.1;29.1;21.8;16.8;72.7;2.6;.7;50.9;null;
2012-03-31;0;103.3;130.6;110.1;176.3;6.1;14;99.4;921.4;27.8;21.5;17.3;77.5;4.1;.6;44.5;null;
2012-04-30;0;77.1;119;76.7;163.7;5.7;6;64.4;921.4;27.1;20.7;16.6;80.8;1.5;.5;48.3;null;
2012-05-31;0;75.9;null;null;155;6.3;11;98.9;923.8;23.6;17.9;13.9;81.2;5.3;1.1;40.8;null;
2012-06-30;0;72.6;110.1;23.6;182.4;4.8;2;4;924.3;24.6;17.9;13.4;81.9;4.6;.7;50.5;null;
2012-07-31;0;103.1;108.3;12.6;227.5;3.3;1;6;925;24.7;15.9;9.4;75.9;3.6;.8;58.6;null;
2012-08-31;0;90.2;110.1;25.1;181.4;4.9;6;22.9;927.8;24.2;16.2;10.3;78.8;4.1;.5;49.4;null;
2012-09-30;27;151.5;null;null;231;4.1;4;33;924.4;27.1;19.2;13.6;67.8;4.1;1.2;56.7;null;
2012-10-31;36;146.1;135.3;59.5;249.9;4.9;5;45.9;921.6;28.6;21.2;15.9;67.6;4.1;1;54.8;null;
