Nome: VICOSA
Codigo Estacao: 83642
Latitude: -20.7625
Longitude: -42.86388888
Altitude: 697.53
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2018-03-07
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;64.8;102;102;160.4;7.2;18;403.4;935.8;27.1;21.8;18.6;81.7;4.6;1.4;34.4;null;
2012-02-29;36;85.6;98.4;83.4;244.3;4.9;5;38.1;936.5;29.7;22.5;18.2;74.3;4.5;1.6;35;null;
2012-03-31;36;76.3;96;96;187.9;5.9;12;106.7;936.9;28.4;22;18.1;78.3;3.6;1.2;35.9;null;
2012-04-30;36;62.8;79.4;64.8;187.8;5.3;7;46.7;937.1;27.6;20.9;17;82.5;3.3;1;35.2;null;
2012-05-31;18;45.7;56.4;56.4;168.3;6;8;110.2;940;23.6;17.6;14.2;85.2;2.6;1;34.7;null;
2012-06-30;18;45.7;53.3;44.6;168.4;5;4;8.4;940.7;24.3;17.8;14.1;86.3;3.3;.9;36.5;null;
2012-07-31;18;73.5;45.8;23.7;244.7;2.8;1;.4;940.8;24.8;16.3;11;82.1;3.8;.9;36;null;
2012-08-31;18;81.1;53.9;21.1;206.9;3.8;3;5.5;943.6;25.4;17.2;11.9;76.6;3.3;.9;35.6;null;
2012-09-30;36;116;69.6;52;231.1;3.6;4;46.9;940.2;27.8;19.3;13.6;67.9;3.6;1.5;36.7;null;
2012-10-31;36;130.6;96.2;90.3;249;4.3;10;88.9;937;29.6;21.7;16;66.3;4.6;1.5;36.1;null;
