Nome: VITORIA
Codigo Estacao: 83648
Latitude: -20.31583333
Longitude: -40.31694443
Altitude: 36.2
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;117.5;141.2;141.2;169.8;6.2;15;282.9;1014.9;1010.6;30;25.9;23.3;80.3;null;null;49;
2012-02-29;36;134.2;143.3;123.8;246.4;4.4;9;73.6;1015.3;1011.1;31.3;26.8;23.8;76.2;null;null;50;
2012-03-31;36;145.3;146.6;88;217.5;4.9;7;58.9;1015.2;1011;31.6;26.9;23.9;73.6;null;null;51.3;
2012-04-30;36;118.5;127.3;43;189.5;5.5;12;30.1;1015.3;1011;30.8;26.3;23.4;74.4;null;null;49.5;
2012-05-31;18;80.9;82.8;82.8;132.8;6.8;15;267.1;1018.8;1014.6;26.8;22.9;20.3;81.2;null;null;45.3;
2012-06-30;36;101.9;88;88;188.1;4.7;8;92.8;1019.2;1015;27.8;23.8;21.1;79.1;5;2;49;
2012-07-31;36;115.4;81.7;75;205.5;4;6;42.6;1021.1;1016.7;27.5;22.9;19.9;null;5;1.7;50;
2012-08-31;18;67.7;79.5;79.5;189.9;6.7;22;238.4;1024.2;1020;26.6;22.4;19.3;null;4;1.6;48.6;
2012-09-30;36;129;89.9;78.5;183.5;5.6;8;37.9;1020.3;1016;27.5;23.2;20.2;74.3;9;3.4;47.8;
2012-10-31;36;134.7;117.9;83.4;209.6;5.5;10;56;1017.1;1012.8;29.2;24.8;21.6;75.1;9;2.9;50;
2012-11-30;36;81.5;117.2;117.2;108.4;8;22;376.1;1013.8;1009.6;28.3;24.6;21.9;82.8;6;2;47.4;
