Nome: SAO SIMAO
Codigo Estacao: 83669
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620.02
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;98;100.3;100.3;133.8;7.4;23;398.4;942.3;29.3;22.3;16.1;79.2;3;.4;61.1;null;
2012-02-29;0;144.1;117.8;105.5;228.4;4.7;12;63.9;942.8;32.6;24.9;17.1;68;2;.3;66.4;null;
2012-03-31;0;152.9;111.9;76.1;239.7;3.9;9;48.8;943.5;31.8;24.1;16.4;68;2;.4;65.7;null;
2012-04-30;0;140;92.3;64.6;194.7;4.5;7;54.9;943.5;31;23.1;15.1;69.3;2;.4;65;null;
2012-05-31;0;123.5;57.6;57.6;237.5;4;8;97.5;946.8;26.4;19.2;11.2;70.4;3;.6;62.4;null;
2012-06-30;0;85.6;93.5;92.8;179.4;4.5;7;91.9;947;26.2;null;null;76.8;3;.4;62.2;null;
2012-07-31;0;124;97.6;58.3;275.9;2.3;4;28.2;947.3;27.5;null;null;63.5;3;.4;66.8;null;
2012-08-31;9;252.6;101.7;19.2;314.7;1.5;0;0;949.5;29.1;null;null;49.6;5;1.1;66.6;null;
2012-09-30;0;227.6;103.9;39.8;246.6;3;4;34.4;946.1;32.1;null;null;51.8;5;.9;64.7;null;
2012-10-31;0;240.2;113;70.5;244.3;4.5;5;68.6;942.6;34.6;null;null;53.3;5;.6;65.9;null;
2012-11-30;0;162.1;114.1;114.1;211.5;4.6;10;140;940.8;31.7;null;null;66.1;3;.6;64.3;null;
2012-12-31;0;135.4;120.1;120.1;172.1;6.7;18;163.6;941.6;32.6;null;null;72.2;3;.4;64.9;null;
2013-01-31;0;107.7;119;119;150.6;6.9;20;279.2;942.1;30.9;null;null;75.6;3;.7;63.9;null;
2013-02-28;0;97.8;103.8;103.8;159.9;6;17;222.1;942.9;31.8;null;null;76.5;2;.3;64.6;null;
2013-03-31;0;104.1;109.8;109.6;168.1;6.2;14;103.7;943.3;30.4;null;null;75.1;3;.5;64.7;null;
2013-04-30;0;119.3;100.6;78;193.2;5;8;30.7;944.9;28.6;null;null;72.9;3;.6;65.2;null;
2013-05-31;0;129.4;99.2;94.3;233.1;3.6;null;90.3;945.7;28.1;null;null;69.4;3;.4;64.6;null;
2013-06-30;0;85;93.5;48.8;192.3;4.3;null;28.3;946.6;27.2;null;null;76.5;2;.2;63;null;
2013-07-31;0;126.6;97.6;36.8;256.3;2.9;null;25.3;948.2;26.7;null;null;68.4;5;.6;63.9;null;
2013-08-31;0;218.3;101.6;9.2;276.1;2.4;null;2.4;946.8;29.4;null;null;53.9;4;.7;66.1;null;
2013-09-30;0;214;103.7;70.8;234.6;3.7;null;69.6;945.5;30.7;null;null;55.7;3;.8;63.4;null;
2013-10-31;0;176;112.8;112.8;207.4;5.1;null;114.4;943.9;30.3;null;null;65.1;3;.8;64.8;null;
2013-11-30;0;148.9;113.9;113.9;182.5;5.4;null;145.5;942.1;30.5;null;null;69.3;2;.5;64.2;null;
2013-12-31;0;126.9;120.1;120.1;196.7;5.6;null;242.7;940.1;31.9;null;null;73.1;3;.5;64.6;null;
2014-01-31;0;170.5;119;116.9;290.6;4.1;null;97.5;943.6;34;null;null;64;1;.3;66.2;null;
2014-02-28;0;193.2;103.8;91.9;216.4;4.6;null;67.1;942.8;33.8;null;null;60.1;2;.4;66.4;null;
2014-03-31;0;145.4;109.8;104.6;239.2;4.5;null;98.8;943.5;31.8;null;null;70.3;3;.7;64.8;null;
2014-04-30;0;134.1;100.6;74.9;236.6;4;null;57.3;944.5;30.7;null;null;68.3;3;.6;65.6;null;
2014-05-31;0;151.6;99.2;27.2;223.4;3.8;null;7.8;945.6;28.3;null;null;64.9;3;.5;66.6;null;
2014-06-30;0;154.1;93.5;10;224.5;3.1;null;2.2;947;28.8;null;null;63;3;.5;64.1;null;
2014-07-31;0;166.6;97.6;42.9;221.5;3.9;null;40.6;949.2;27.1;null;null;62.1;3;.5;64;null;
2014-08-31;0;227.7;101.6;2.2;267.4;1.9;null;.3;947.2;30.8;null;null;47.3;4;.7;65.2;null;
2014-09-30;0;244.8;107;66.2;210.6;3.8;null;65.8;944.8;32.3;24.2;17.5;52.2;4;.8;65.2;null;
2014-10-31;0;291.6;136.4;36.3;248.4;3.9;null;35.8;944.1;34;25.8;19;47.5;4;.8;63.1;null;
2014-11-30;0;162.4;127.4;127.4;158.8;6.7;null;174;941.8;31.6;25;19.8;66.9;2;.5;64.3;null;
2014-12-31;0;133.5;130.3;130.3;158.7;7;null;178.7;942.6;31.5;24.8;19.7;70.9;3;.4;63.5;null;
2015-01-31;0;179.7;156.6;148.8;221.6;4.8;null;118.9;943.7;34.4;26.7;20.8;63.7;3;.4;65.9;null;
2015-02-28;0;113.5;111.4;111.4;174.8;6.3;null;209.9;943.1;31.2;24.6;19.6;74.1;2;.3;64.9;null;
2015-03-31;0;98.2;104.2;104.2;133.4;6.8;null;180.7;943.7;29.5;23.4;18.8;78.8;3;.3;62.4;null;
2015-04-30;0;114.5;92.5;76.8;226.9;4.2;null;30.7;944.3;30.2;23.1;17.1;71.8;3;.5;65.4;null;
2015-05-31;0;112.5;65.4;60.6;180.4;5.2;null;55.5;946.6;27;20.3;14.7;73.7;2;.6;63.2;null;
2015-06-30;0;126.5;58;33.1;229.5;3;null;16.5;948.9;27.5;19.7;13.3;68.7;4;.8;66.4;null;
2015-07-31;0;133.8;60.5;21.2;180.1;5.1;null;8;947.7;27.7;19.7;12.8;68.5;3;.5;65.7;null;
2015-08-31;0;215.9;78.2;12.1;267.6;1.6;null;1.9;947.3;30.7;21.5;12.4;51.6;3;.6;66.5;null;
2015-09-30;0;171.6;98.4;98.4;180.7;4.2;null;124.4;943.9;31.6;23.5;16.2;61.7;3;.5;64.2;null;
2015-10-31;0;216.6;145.7;99.4;207.9;4.9;null;83.2;943.6;34.4;26.4;19.3;56.1;3;.7;65.5;null;
2015-11-30;0;117.5;124.9;124.9;164.4;6.8;null;267.4;941.9;31.7;24.8;19;74.8;2;.4;62.4;null;
2015-12-31;0;115.1;132.9;132.9;151.9;7.2;null;206.7;943.5;31.8;24.8;19.6;75.8;3;.5;63;null;
2016-01-31;0;102.8;130.4;130.4;147.1;7.4;null;423.9;941.6;30.6;24.8;19.3;77.3;3;.7;61;null;
2016-02-29;0;112.4;121.3;121.3;168.4;6.1;null;224.9;943.8;32.7;25.1;19.2;76.1;2;.4;64.4;null;
2016-03-31;0;111.9;115.4;115.4;188.6;5.8;null;165.1;944.6;31.6;24.5;18;75.5;3;.6;65.7;null;
2016-04-30;0;172.1;98.4;63.7;253.3;2.4;null;1.7;944.9;32.4;23.7;null;63.5;2;.5;65.9;null;
2016-05-31;0;121.7;70.2;70.2;194.8;4.5;null;105.3;947;28;20.4;null;70.7;3;.7;64.2;null;
2016-06-30;0;91.9;93.5;93.5;171.2;3.9;null;142.5;948.6;26;null;null;72.3;3;.5;63.2;null;
2016-07-31;0;159.4;97.6;62.6;267;1.9;null;.5;947.8;29.1;null;null;58.7;3;.6;66.3;null;
2016-08-31;0;184.1;101.7;60;228.1;2.8;null;43.2;946.4;29.6;null;null;57.9;3;.7;66.1;null;
2016-09-30;0;213.6;103.9;22.7;236.4;3.4;null;9.9;945.4;32.3;null;null;53.2;3;.7;65.6;null;
2016-10-31;0;191.8;113;56.9;209.4;5.2;null;53.2;943;32.7;null;null;63;3;1.1;65.9;null;
2016-11-30;0;150.7;114.1;114.1;166.2;6.5;null;127.7;942.2;31.3;null;null;71.4;4;.8;64;null;
2016-12-31;0;149;120.1;120.1;192.8;6.3;null;145.9;942.4;32.6;null;null;73.3;4;.7;64.6;null;
2017-01-31;0;109;119;119;138.6;7.3;null;296;943.2;30.7;null;null;76.8;3;.5;63.4;null;
2017-02-28;0;145.6;103.8;103.8;239.3;4.2;null;143;943.1;32.7;null;null;68.1;3;.7;65.2;null;
2017-03-31;0;137.9;109.8;109.8;232.8;4.7;null;135.9;943.6;32;null;null;68.9;5;.7;65.7;null;
2017-04-30;0;138.4;100.6;98;199.1;4.7;null;77;944.8;30.2;null;null;71.7;3;.8;64.3;null;
2017-05-31;0;108.1;99.2;89.7;208.8;4.5;null;69.4;945.7;28.1;null;null;73.8;3;.6;65.6;null;
2017-06-30;0;130;93.5;45.4;227.3;2.9;null;13;948.1;27.2;null;null;69.7;3;.8;62;null;
2017-07-31;9;195.8;52.5;10.7;266.2;1.8;null;0;951.8;26.6;18.6;10.9;56.7;3;1.1;65.6;null;
2017-08-31;0;212.4;74.6;26;216.3;3.3;null;19.4;946.6;29.7;21.1;13.5;56.3;3;1;64;null;
2017-09-30;0;325.8;112.5;15.3;267.7;1.5;null;9.6;946.8;33.4;24.7;15.9;40.1;3;.9;65.6;null;
2017-10-31;0;218.1;131.2;91.5;194;5.6;null;90.4;943;33.1;25.3;18.4;58.5;5;.8;64.5;null;
2017-11-30;0;152.7;113.9;113.9;180.2;5.9;null;175.7;941.5;31;23.9;17.6;68.9;3;.8;62.7;null;
2017-12-31;0;146.2;127.7;127.7;165.4;6.2;null;151.2;941.3;31.3;24.5;17.9;73.4;2;.7;64.6;null;
2018-01-31;0;126.7;124;124;140;7.6;null;256.4;942.6;31.4;24.3;18.1;76.5;2;.6;62.5;null;
2018-02-28;0;117;104.8;104.8;151;6;null;133.2;942.2;31.2;23.9;17.3;73.9;3;.8;66;null;
2018-03-31;0;134.3;125.2;125.2;232;4.5;null;149;942.2;32.8;25.2;18.6;73.4;3;.4;65.6;null;
2018-04-30;9;154.4;86.7;67.3;228.4;3.6;null;17.2;945.7;30.4;22.6;15.8;68;3;.8;65.9;null;
2018-05-31;0;158.9;66.2;36.8;227.5;2.5;null;17.6;947.1;28.9;20.2;11.8;63.8;3;.7;66.5;null;
2018-06-30;0;130.9;62.4;28.5;178.6;4.5;null;17.4;947.7;28.9;20.3;12.1;66.1;3;.6;66.3;null;
2018-07-31;0;179.2;57.5;10.7;256.8;2.2;null;2.4;947.7;29.6;19.4;9.1;56.8;3;.5;65.6;null;
2018-08-31;0;179.5;65.4;42.7;211.9;4.2;null;40.2;947.3;28.8;20.1;11.1;61.2;3.8;1;65.4;null;
2018-09-30;14;188.2;90.3;77.3;185.8;4.1;null;76.1;943.8;30.9;22.6;13.4;59.5;3;.9;64.6;null;
2018-10-31;0;131.3;110.5;110.5;169.1;6.2;null;150.2;942.6;31.2;23.7;15.7;71.5;3;.7;63.9;null;
2018-11-30;0;122.3;105.9;105.9;133.5;6.6;null;252.3;942.5;30;23.3;16.1;75.2;3;.9;63.3;null;
2018-12-31;0;164.5;130.3;130.3;222.5;5.1;null;134.6;942.6;32.9;24.7;15.5;68.4;3;.6;65.4;null;
2019-01-31;0;160.3;141.1;119.7;227.1;4.8;null;67.7;944.4;34;25.6;16.3;68.6;3;.5;65;null;
2019-02-28;0;114.1;102.7;102.7;151.4;6.6;null;309;942.6;32;24.1;15.6;74.6;3;.7;62.9;null;
2019-03-31;0;105.8;107.6;107.6;204.7;5.5;null;147.1;944.1;31.7;23.7;15.4;75.8;3;.6;65.4;null;
2019-04-30;0;106.1;89.3;89.3;221.2;4.2;null;152.3;943.9;31.3;22.8;13.7;74.1;2;.5;63.1;null;
