Nome: CATANDUVA
Codigo Estacao: 83676
Latitude: -21.12222221
Longitude: -48.94694444
Altitude: 570
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;null;108.7;108.7;111.7;6.8;20;218.2;1010.2;947.5;28.4;23.3;19.6;null;5;2.4;55.8;
2012-02-29;9;null;130.6;119.2;182.8;4.3;8;78.9;1009.6;947.8;31.9;25.9;20.9;null;5;1.9;56.6;
2012-03-31;14;null;125.1;100;178.4;4.2;8;77.3;1012.1;949.9;31;25.1;19.9;null;5;1.9;57.8;
2012-04-30;14;null;103;83.9;null;3.3;5;74.8;1012.3;950;30.3;24.3;19.4;null;5;2;56.8;
2012-05-31;14;null;61.8;61.8;null;3.4;5;83.2;1017;953.4;25.5;20.3;16;null;5;2.4;57.2;
2012-06-30;5;null;58.4;58.4;136.6;4.5;9;149.3;1017.1;953.4;24.1;20.2;16.9;null;5;2;54.8;
2012-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-08-31;5;null;80.8;49.9;238.5;1.5;null;0;1019.3;956;27.7;22.1;17;null;5;3.1;55.8;
2012-09-30;14;null;99.5;80.3;125.1;3.2;5;70.1;1015.4;952.6;30.7;23.8;17.7;null;5;2.4;54.9;
2012-10-31;5;null;146.1;70.8;null;4.1;5;52.7;1010.6;948.9;33.2;26.5;20.2;null;5;2.2;55.7;
2012-11-30;14;null;128.7;128.7;null;4.1;9;139.2;1008.6;946.9;31;25.2;19.7;null;5;2.1;56.3;
2012-12-31;36;null;152;152;null;5.4;15;171.7;1009.4;947.9;31.2;26.3;22;null;5;1.9;58.5;
2013-01-31;14;null;121.7;121.7;124.8;6;9;200.7;1010.6;948.4;29.4;24.5;20.3;null;3;2.1;58.3;
2013-02-28;14;null;109.8;109.8;98.9;6.2;14;126;1011.5;949.2;30.2;24.6;20.7;null;5;1.7;56.7;
2013-03-31;14;null;112.5;112.5;111.8;5.8;12;211.9;1010.8;948.5;29.2;24.2;20.2;null;3;1.7;57.9;
2013-04-30;14;null;87.9;85;135;4.6;8;60.9;1013.1;950.4;27.5;22.9;19;null;5;1.8;58.2;
