Nome: CALDAS(P. DE CALDAS)
Codigo Estacao: 83681
Latitude: -21.918139
Longitude: -46.382977
Altitude: 1077.08
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2015-09-16
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;60.8;null;null;113.6;8.6;20;293.1;null;25;20.1;16.2;80.6;null;null;null;null;
2012-02-29;null;79.2;null;null;194.3;6.7;8;107.3;null;27.5;21.4;16.3;74.8;null;null;null;null;
2012-03-31;null;66.8;null;null;171.4;7;15;132.9;null;26.5;20.4;15.7;79;null;null;null;null;
2012-04-30;null;53;null;null;166.9;6.4;13;71.1;null;25.6;19.3;14.5;81.2;null;null;null;null;
2012-05-31;null;48.9;null;null;174.5;5.1;9;77.2;null;22.2;15.3;9.1;79.5;null;null;null;null;
2012-06-30;null;41.9;null;null;132.9;6.1;9;65.8;null;22;15.5;10.3;82.6;null;null;null;null;
2012-07-31;null;71.3;null;null;205.8;3.3;4;34.5;null;22.9;13.8;6.6;75.3;null;null;null;null;
2012-08-31;null;97.2;null;null;241.9;3;0;0;null;23.5;15.1;7.1;67.9;null;null;null;null;
2012-09-30;null;112.4;null;null;208.8;3.3;4;32;null;27;17.9;9.6;62.8;null;null;null;null;
2012-10-31;null;136.3;null;null;197;5.8;8;50.1;null;28.5;20.9;14.1;65.8;null;null;null;null;
2012-11-30;null;83.9;null;null;142.6;7.5;13;168.7;null;26.4;20.6;15.9;75.2;null;null;null;null;
2012-12-31;null;71.2;null;null;121.7;8.5;22;210.9;null;27.7;22.1;18.1;79.7;null;null;null;null;
2013-01-31;null;58.8;null;null;111.4;8.8;19;379.9;null;25.9;20.8;17.1;82;null;null;null;null;
2013-02-28;null;63.6;null;null;134;8.3;null;225.2;null;27.3;21.4;17.1;79.1;null;null;null;null;
2013-03-31;null;54.6;null;null;93.5;8;null;318.7;null;25.9;20.6;17;82.5;null;null;null;null;
2013-04-30;null;56.4;null;null;134.1;6.5;null;103.4;null;24.3;18;12.7;79.1;null;null;null;null;
2013-05-31;null;70.5;null;null;183;4.8;null;93.2;null;23.6;16.3;10;77.8;null;null;null;null;
2013-06-30;null;49.4;null;null;124.6;6.3;null;33.9;null;22.4;15.5;10.3;83;null;null;null;null;
2013-07-31;null;81.4;null;null;206.9;3.4;null;40.6;null;22.9;14.3;6.9;75.5;null;null;null;null;
2013-08-31;null;114.9;null;null;242.8;2.6;null;6.6;null;24.4;15;6.6;67.3;null;null;null;null;
2013-09-30;null;111.4;null;null;201.6;4.4;null;76.5;null;25.5;17.6;10.4;69.7;null;null;null;null;
2013-10-31;null;90.1;null;null;162.1;7.3;null;124.5;null;25;18.9;13.9;74.8;null;null;null;null;
2013-11-30;null;73.7;null;null;151.1;7;null;231;null;25.4;20;15.4;77.7;null;null;null;null;
2013-12-31;null;71.4;null;null;180.4;7.8;null;173.2;null;27;21.4;17.2;79.6;null;null;null;null;
2014-01-31;null;114.7;null;null;263.3;6.4;null;42.5;null;29.4;22.3;16.2;69.1;null;null;null;null;
2014-02-28;null;119;null;null;216.2;5.4;null;69.9;null;29.2;22.3;15.6;64.9;null;null;null;null;
2014-03-31;null;82.6;null;null;176.2;7.2;null;124.7;null;27.1;21.1;16.5;76.2;null;null;null;null;
2014-04-30;null;63.9;null;null;167.9;5.9;null;104.9;null;25.9;19.1;13.5;78.6;null;null;null;null;
2014-05-31;null;75.4;null;null;176.4;4.6;null;34.2;null;23.8;15.8;8.8;77.6;null;null;null;null;
2014-06-30;null;74.6;null;null;176.6;4.1;null;6.3;null;23.7;15;7.6;78;null;null;null;null;
2014-07-31;null;78.3;null;null;168.4;4.6;null;33.6;null;22.2;14.3;7.2;76.2;null;null;null;null;
2014-08-31;null;131;null;null;240.7;2.3;null;3.6;null;26.1;15.9;6.7;64.2;null;null;null;null;
2014-09-30;null;133.3;null;null;192.4;3.6;null;54.6;null;27.2;18.6;11.3;63.6;null;null;null;null;
2014-10-31;null;149.6;null;null;224.7;4.5;null;49.7;null;28.7;20.2;13.5;62.6;null;null;null;null;
2014-11-30;null;85.6;null;null;137.3;8.1;null;211.9;null;26.6;20.9;16.2;74.7;null;null;null;null;
2014-12-31;null;64.4;null;null;139.9;8;null;365.6;null;26.8;21.2;16.4;79.4;null;null;null;null;
2015-01-31;null;104.4;null;null;202.8;6.9;null;108.1;null;29.7;23;17.2;73.4;null;null;null;null;
2015-02-28;null;65.4;null;null;145.6;7.9;null;167.1;null;27;21.2;16.7;80.2;null;null;null;null;
2015-03-31;null;54.9;null;null;112.1;8.5;null;223.2;null;25.8;20.4;16.5;84.4;null;null;null;null;
2015-04-30;null;72.9;null;null;183.9;6.1;null;23.1;null;25.7;19.2;14.3;80;null;null;null;null;
2015-05-31;null;56.2;null;null;117;6.8;null;77.1;null;22.4;16.2;11.4;83.1;null;null;null;null;
2015-06-30;null;62.4;null;null;161;5.4;null;44.5;null;22.6;15;8.7;79.4;null;null;null;null;
2015-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

