Nome: LAVRAS
Codigo Estacao: 83687
Latitude: -21.2261111
Longitude: -44.97972221
Altitude: 916.19
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;65.1;100.2;100.2;173.3;7.6;20;529.2;911.7;27.2;21.7;17.9;79.3;9.1;2.3;60.3;null;
2012-02-29;9;102.4;103.9;101.4;245.5;5.3;9;80.4;912.5;29.3;23.2;18.3;69.6;5;2.2;62.6;null;
2012-03-31;14;92.5;98.5;98.5;212.8;6;12;133.1;912.8;28.8;22.3;17.7;72.4;5.6;2.4;62;null;
2012-04-30;14;78;82.7;74.4;202.3;5.6;7;38.8;912.8;27.5;21.4;17.1;75.2;6.1;2.2;62.2;null;
2012-05-31;14;71.2;55;49.8;215.6;4.9;5;41.8;915.5;23.9;17.7;13.3;74.9;5;2.4;61.1;null;
2012-06-30;9;56;53.1;53.1;181;5.7;8;94.6;915.9;24.2;17.8;13.7;79.3;4.8;1.8;57.5;null;
2012-07-31;14;89.4;48;42.9;260.6;3.1;3;16;916.2;24.6;16.8;11;67.2;7.5;2;61.3;null;
2012-08-31;14;108.4;57.8;31.5;266;3.6;1;.4;918.8;25.2;18;12.3;61.5;5.5;2.9;62.4;null;
2012-09-30;14;142.5;78.3;34.7;255.4;4.2;3;17.1;915.4;28.5;20.5;14;55.5;6.3;2.6;62.6;null;
2012-10-31;9;152.6;107.3;56.6;253.8;4.8;11;46.9;912.3;30.6;23;16.8;56.9;6.3;2.6;63.3;null;
2012-11-30;14;98.6;99.7;99.7;187.8;6.9;17;152.7;910.2;27.9;22;17.7;71.7;5;2.7;62.4;null;
2012-12-31;14;101.8;126.9;126.9;226.9;7.2;15;140.4;910.8;30.5;24.1;19.5;72.4;5.6;2.1;62.7;null;
2013-01-31;14;73.7;106;106;142.8;8.1;20;499.7;911.5;27.9;22.2;18.4;79.5;5;2.5;60.8;null;
2013-02-28;9;90.6;104;98.8;198.6;6.5;11;70;912;30;23.5;18.9;71.4;4.5;1.8;63.2;null;
2013-03-31;14;72.5;97.7;97.7;173.1;7.6;4;170.6;912.5;27.9;22.2;18.5;79.2;5.6;2.1;62.4;null;
2013-04-30;14;64.8;71.3;70;185.9;6.2;null;55.1;913.8;25.9;19.9;15.7;75.8;5.1;2.2;62;null;
2013-05-31;14;73.1;59.7;59.7;205.4;4.8;null;63.5;914.5;24.9;18.3;13.7;73.2;5.1;1.8;60.4;null;
2013-06-30;9;52.5;53.7;43.3;182;5.5;null;14.4;915.4;24.4;18;14;79;5.3;1.7;55.5;null;
2013-07-31;14;85.1;48.6;30.8;237;3.4;null;12.8;916.7;24;16.8;11.7;70.2;5.8;2.2;60.6;null;
2013-08-31;9;115;59.8;20.3;277.7;3.1;null;1.9;915.7;26.1;18.2;11.9;60.2;6.6;2.4;61.6;null;
2013-09-30;14;115.1;75.9;66.9;229;4.6;null;64.4;914.6;27.3;20.2;14.4;62.7;5.5;2.5;63;null;
2013-10-31;14;99.6;83.4;83.4;196;6.2;null;85.6;913.4;26.4;20.3;15.7;69.9;5.3;2.6;62.3;null;
2013-11-30;14;92.8;95.9;95.9;196.2;6.6;null;180.4;911.5;27.3;21.6;17.3;72.4;7.5;2.5;62.1;null;
2013-12-31;9;76.9;112.1;112.1;188.4;7.5;null;162.2;909.3;28.7;22.7;18.8;76.9;5.5;2.3;63.8;null;
2014-01-31;14;128.7;126.8;126.8;331.6;3.9;null;219.7;913;31.5;24.2;18.2;62.6;8;2.3;63.1;null;
2014-02-28;9;127.2;109.6;87.2;263;4.1;null;34.4;912.5;30.8;24;18.1;60.1;4.8;2.6;63.1;null;
2014-03-31;9;103.7;102.3;88.1;228.3;5.9;null;77.9;912.8;29;22.8;18;69.5;5.1;2.5;62.5;null;
2014-04-30;14;77.9;80.5;80.5;229;5.2;null;123.4;913.5;27.8;21.1;16.7;73.2;5.3;2.2;62.1;null;
2014-05-31;9;88.3;59.7;46.2;232.4;4.7;null;20.1;914.5;25.3;18.4;13.2;69.3;6.1;1.9;61.4;null;
2014-06-30;14;72;53.7;24.9;225.8;4.9;null;3.7;916.2;25.2;18;12.9;70.7;4.8;1.9;59.7;null;
2014-07-31;14;86.5;50.4;46.9;209.7;4.8;null;45.3;918.1;23.5;17.1;12.3;68.6;6.3;2.3;62.8;null;
2014-08-31;14;124;61.8;21.4;285.4;2.3;null;8.6;916.4;26.9;18.5;12.1;57.6;5.3;2.4;62.2;null;
2014-09-30;9;144.2;82.2;40.7;234.8;3.8;null;33.7;914.3;28.5;21;14.5;55;6.5;2.5;62.6;null;
2014-10-31;14;172.6;99.5;63.4;255.2;4.5;null;59.7;913.9;29.8;22.1;15.9;54.8;6.3;2.6;62.2;null;
2014-11-30;14;101.3;102.4;102.4;196.1;7;null;224.4;911.2;28.5;22.3;17.9;70.4;5.3;2.5;63.3;null;
2014-12-31;14;91.9;114.1;114.1;216.6;7;null;236.7;911.9;29.3;23;18.3;71.9;5.6;2.1;63.3;null;
2015-01-31;9;133.5;134.5;118.3;289.4;5;null;71.5;913.1;31.9;24.8;18.9;62.5;4.6;1.9;63.6;null;
2015-02-28;9;73.2;97.6;97.6;168.5;7;null;201.1;912.3;28.6;22.7;18.7;76.2;10;2.1;62.1;null;
2015-03-31;14;61.2;95.9;95.9;146.3;7.6;null;181.1;912.6;27.5;22;18.3;80.4;6;2;64.1;null;
2015-04-30;14;72.9;81.3;63.6;227.8;5.5;null;15.3;913.2;27.6;21.2;17;74.2;5.5;2.2;62.3;null;
2015-05-31;14;60.3;59.7;54.9;184.2;5.9;null;50.2;915.4;24.1;18.4;14.5;77.4;5.8;2.2;61.8;null;
2015-06-30;9;59.8;50.7;39.7;208;4.4;null;31.5;917.8;24;17.5;13.2;75.5;6.1;2.2;61.1;null;
2015-07-31;9;80.2;58;18.4;204.5;4.7;null;1.7;916.7;25.3;18.3;13.2;69.7;4.8;2;63;null;
2015-08-31;9;111.2;66.8;42.4;287.7;2.4;null;36.6;916.3;27.1;19.3;12.9;59.8;4;1.9;62.7;null;
2015-09-30;5;112.6;87.2;87.2;198.6;4.9;null;127.6;913.3;28.1;21.6;16.3;65.1;5;1.8;62.9;null;
2015-10-31;9;135.1;81.7;48;257.8;5.1;null;22.7;913.2;31.4;24;18.3;58.5;5;1.9;63.5;null;
2015-11-30;9;74.1;113.2;113.2;169.4;7.8;null;273.8;911;29.6;23.3;19.2;77.4;5;1.5;62.8;null;
2015-12-31;32;77.4;118.3;118.3;184.1;8.2;null;232.9;912.8;29.7;23.2;19.1;77.2;3;1.6;63.1;null;
2016-01-31;9;73.5;112.1;112.1;166.3;7.6;null;400.6;910.9;28.3;22.8;19;78.6;4;1.7;60.9;null;
