Nome: BARBACENA
Codigo Estacao: 83689
Latitude: -21.23972221
Longitude: -43.78138888
Altitude: 1128.08
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2018-05-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;null;89.4;89.4;122.5;7.8;13;325;889.6;26;19.9;16.1;85.8;15.8;1.5;55.8;null;
2012-02-29;5;59;89.9;83.2;190;5.3;10;51;890.5;27.7;21;16.2;80.4;5.1;1.8;60;null;
2012-03-31;0;77.8;85.5;85.5;161.1;6.1;15;198.1;891;26.9;20.3;15.6;84.8;5.7;1.5;59.8;null;
2012-04-30;5;62.7;72.7;68.7;147.8;6.6;9;42.8;890.8;25.9;19.5;15.3;87.2;5.1;1.3;60;null;
2012-05-31;14;55.4;49.3;49.3;146.1;6.3;10;105;893.4;21.8;15.8;11.7;87.6;4.6;1.5;60.2;null;
2012-06-30;0;36.4;52.6;52.6;138.7;5.8;7;69.3;893.4;23.4;16.8;12.6;86.6;5.1;1.4;60;null;
2012-07-31;5;65.2;46.9;38.3;218.7;4.1;2;2.3;893.7;23.2;15.6;9.4;77.3;7.2;1.8;56.5;null;
2012-08-31;14;41.3;46.6;32;185.9;5.1;10;14.3;896.6;22.4;15.2;10;80.9;4.1;1.7;59.8;null;
2012-09-30;5;67.4;59.7;39.5;192.8;4.5;4;26.4;893.3;26.2;17.9;11.1;69.6;5.7;2.1;59.3;null;
2012-10-31;5;80.5;87.3;83.1;215.6;5.4;10;81.1;890.6;27.6;20.3;14.3;69.1;5.7;2.2;60;null;
2012-11-30;14;46.6;83.3;83.3;122.3;7.7;19;161.8;888.3;25;19.2;15.8;85.2;6.7;1.8;58.2;null;
2012-12-31;5;75.7;97.8;97.8;195.2;6.5;15;135.3;888.7;null;null;17.7;80.3;3.6;1.3;59.2;null;
2013-01-31;5;null;81.2;81.2;95.1;7.9;19;403.5;889.4;null;null;16.9;86.9;3.6;1.2;58.8;null;
2013-02-28;5;88.3;80.1;78.5;174.3;5.6;8;61.9;889.8;null;null;16.8;78.2;3.1;1.8;60;null;
2013-03-31;14;59.4;75.8;75.8;100.2;8.2;19;184.4;890.4;null;null;16.8;88.2;4.1;1.4;59.7;null;
2013-04-30;14;50.3;50;49.9;120.6;6.8;12;45.2;891.4;null;null;14.1;87.7;7.2;1.2;57.7;null;
2013-05-31;14;68.9;48.2;48.2;140.4;6;7;62.7;891.9;null;null;11.8;85.2;6.2;1.2;59.2;null;
2013-06-30;0;49.2;42.8;41.1;105.1;6;3;23.8;892.5;null;null;12.1;86.6;7.2;1.1;59.3;null;
2013-07-31;14;69.8;36.4;31;182;4.4;6;15.3;893.6;null;null;10.2;82;6.2;1.3;56.6;null;
2013-08-31;5;107.7;44.3;26.1;207.5;3.9;2;3.9;893.1;null;null;10.8;71.1;4.6;1.6;59.8;null;
2013-09-30;5;101.1;53.4;53.4;173.8;5.3;9;75.4;892.4;null;null;12.9;76.6;5.1;1.7;59.7;null;
2013-10-31;5;73.5;60.7;60.7;137.2;7.1;14;149;891.3;null;null;13.8;81.7;5.7;1.6;59.7;null;
2013-11-30;5;33.3;70.4;70.4;146.9;7;13;178.1;889.5;null;null;15.2;83;4.1;1.5;60.1;null;
2013-12-31;14;38.2;85.2;85.2;67.4;7.9;24;306.2;887.1;null;null;17.1;88;4.6;1.4;59.2;null;
2014-01-31;5;null;91;91;284.5;5.4;2;171.5;890.9;null;null;16.2;75.5;4.1;.9;59.3;null;
