Nome: ITAPERUNA
Codigo Estacao: 83695
Latitude: -21.20444444
Longitude: -41.90555555
Altitude: 123.6
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;115.3;138;138;194.7;5.1;15;345.5;1000.1;31.1;25.6;21.9;74.5;4;.9;61.3;null;
2012-02-29;0;145.4;144.9;84.8;254;3.9;3;11;1000.2;33.5;26.9;21.9;65.2;3;.8;65;null;
2012-03-31;0;137.1;137.4;137.4;202.3;5;9;207.1;1000.9;32.5;26.3;22;70.6;4;.8;65;null;
2012-04-30;0;84.3;109.1;107;195.4;4.4;7;88;1001.1;30.5;24.9;21.1;77.4;4;.7;63.5;null;
2012-05-31;0;60.6;70.3;70.3;157.2;5.5;11;130.4;1005.4;26.8;21.4;17.5;82;4;.4;61;null;
2012-06-30;0;63.3;70.8;57.6;163.4;4.3;4;14.7;1005.1;27.8;21.9;17.9;81.7;3;.4;61;null;
2012-07-31;0;99;65.7;34;227.7;3;3;9.5;1005.6;28.9;21.1;15.4;72.8;3;.7;64;null;
2012-08-31;0;111.8;69.3;46.9;217;4.1;15;38.2;1009.5;27.8;21.1;16.4;73.2;5;1;63.9;null;
2012-09-30;0;143.3;90.2;53.6;215.9;3.3;4;44.9;1005.2;30.4;23;17.3;66.1;8;1.2;66.2;null;
2012-10-31;0;188.4;135.5;47.4;276.3;3.3;1;38;1001.4;33.3;25.9;20.5;60.6;5;1.1;69;null;
2012-11-30;0;102.6;115.5;115.5;143.8;7.4;20;235.8;999.4;29.4;24.3;21.1;77.4;4;1.1;59.2;null;
2012-12-31;0;141.1;181.3;131.3;269.1;3.7;7;61.5;997.9;34.6;28;23.5;68.3;4;.9;67.7;null;
2013-01-31;0;136.5;157.1;157.1;173.7;5.5;13;200.7;999.8;32.5;26.7;22.7;71.2;3;1.1;63.9;null;
2013-02-28;0;128.3;140;108.4;238.7;4.4;6;72.1;999.5;33.7;27.2;22.6;68.9;2;.8;68.4;null;
2013-03-31;0;90.7;131.7;131.7;153.8;6.4;2;275;1000.6;31;25.8;22.3;78.8;3;.5;62.1;null;
2013-04-30;0;85.7;91.7;70.5;165.6;5.3;null;18.6;1002.9;28.9;23.4;19.6;77.7;3;.7;62.9;null;
2013-05-31;0;87.6;76;47.8;189;4.2;null;30.1;1003.7;28.5;22;17.4;76.3;4;.6;65.5;null;
2013-06-30;0;76.4;71.7;41.6;183.3;3.7;null;31.6;1004.8;28.6;22;17.7;78.3;4;.5;60.7;null;
2013-07-31;0;109;66.5;24.2;182.7;4.4;null;16.2;1006.6;27.8;21.2;16.4;71.5;4;.8;65.1;null;
2013-08-31;0;131.8;73;38.1;244.9;3.1;null;34.1;1005.7;29.2;21.5;15.8;68.8;5;.8;65.6;null;
2013-09-30;0;135.7;91.2;54.6;180.6;5.2;null;51.9;1004.5;29.7;23.1;18.3;68.4;4;1;64.2;null;
2013-10-31;0;146.6;106.5;51.6;163.9;6.4;null;49.1;1002.7;29.8;23.7;19.4;69;4;1.1;65.3;null;
2013-11-30;0;126.2;122.2;122.2;175.4;6.1;null;159;1000.6;31;24.8;20.6;72.3;4;.9;63;null;
2013-12-31;0;79.2;139.3;139.3;150.5;7;null;436.1;997.3;31.2;25.6;22.2;80.1;8;.8;61.5;null;
2014-01-31;0;172.3;174.3;99.4;305.4;2.6;null;21;1000.7;34.7;27.7;22.8;63.8;4;1.1;68.4;null;
2014-02-28;0;181.5;153.6;79.4;271.9;2.5;null;66.9;1000.6;35;27.8;22.7;61.4;4;1.1;69.1;null;
2014-03-31;0;118.1;136.1;136.1;198.8;5.2;null;139.2;1001.1;32;26.1;22.2;72.6;5;.8;64;null;
2014-04-30;0;86.6;105.6;102.5;209;4.7;null;102.1;1002.1;30.3;24.6;20.9;76;4;.6;64.9;null;
2014-05-31;0;89.2;81;50.4;207.6;4.1;null;47;1003.6;28.9;22.5;17.6;74.1;4;.6;67.1;null;
2014-06-30;0;83.7;68.1;10.2;190;3.5;null;6.3;1005.6;28.7;21.7;16.9;75.2;6;.5;63.7;null;
2014-07-31;0;93.4;65.6;30.2;158.6;5.4;null;28.8;1008.6;27;21;16.7;74.1;4;.6;61.8;null;
2014-08-31;0;129.2;72;20.2;216.4;3.4;null;18.9;1006.7;29.1;21.4;15.7;66.7;4;.7;66.5;null;
2014-09-30;0;180;102.7;5.8;245;3.1;null;10.7;1003.9;32.3;24.1;17.9;58.6;5;1.3;68.2;null;
2014-10-31;0;177.2;118.3;118.3;223.1;4.2;null;158.8;1003.5;31.8;24.5;19;62.1;5;1.4;66.1;null;
2014-11-30;0;126.8;123.6;123.6;174.2;5.8;null;266.3;1000.1;31;24.9;20.7;70.9;4;1;65.5;null;
2014-12-31;0;131;160.2;147;254.7;4;null;103.9;999.8;33.5;26.8;22.2;69.4;5;.8;67.9;null;
2015-01-31;0;221.1;206.1;61.4;324.9;1.6;null;12.7;1000.2;37.7;29.4;23.2;57.1;6;1.4;69.7;null;
2015-02-28;0;139.3;155.1;96.8;216.6;5;null;103.2;999.4;35.5;27.8;23;67.7;3;.7;68.2;null;
2015-03-31;0;122.2;149.8;149.8;199.2;4.9;null;126.9;1000.3;33.4;26.8;22.5;70.4;4;.8;66.6;null;
2015-04-30;0;98.5;104.4;69.9;191.3;4.6;null;65.3;1002;30.6;24.5;20.3;72.6;4;.6;66.3;null;
2015-05-31;0;69.7;75.1;73;137.1;5.5;null;72.8;1005.1;27.4;21.9;18.1;80;4;.3;59.3;null;
2015-06-30;0;73.5;64.6;35.4;181.4;4.2;null;32.8;1007.6;27.8;21.2;16.8;78.1;4;.2;62.3;null;
2015-07-31;0;97.4;74.8;11.3;200.7;4.1;null;7.9;1006.5;28.7;22;17.3;74.3;4;.3;65.2;null;
2015-08-31;0;136.8;85.1;21.7;230.2;3.1;null;20;1006.3;29.9;22.7;17.4;65;4;.5;67.1;null;
2015-09-30;0;126.7;108.9;84.1;185.2;4.9;null;83.7;1001.8;31.1;24.6;19.9;70.1;5;.4;65.3;null;
2015-10-31;0;188.7;133.9;84.8;218.2;4.5;null;84.2;1002.2;33;25.7;20.8;64.9;5;1;65.3;null;
2015-11-30;0;118;153.6;140.5;173.9;6.4;null;141.4;998.5;32.8;26.8;23.2;74.8;4;.4;63.5;null;
