Nome: SANTA MARIA MADALENA
Codigo Estacao: 83696
Latitude: -21.96805554
Longitude: -42.00305555
Altitude: 640
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;68.7;112.8;112.8;null;null;14;342;null;27;null;17.9;null;null;null;null;null;
2012-02-29;null;78.6;135;100.5;null;null;4;63.1;null;29;null;17.6;null;null;null;null;null;
2012-03-31;null;75.7;103.7;103.7;null;null;9;169.2;null;28;null;18;null;null;null;null;null;
2012-04-30;null;51.6;94.8;94.8;null;null;10;119;null;26.2;null;16.7;null;null;null;null;null;
2012-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-06-30;null;36.1;88.1;58.4;null;null;4;41.7;null;23.5;null;15.2;null;null;null;null;null;
2012-07-31;null;58.6;92.1;24.3;null;null;2;8.3;null;23.8;null;13;null;null;null;null;null;
2012-08-31;null;51.5;96;59.6;null;null;9;55.5;null;23.2;null;12.9;null;null;null;null;null;
2012-09-30;null;77.1;98.2;55.1;null;null;5;52.1;null;25.2;null;14.2;null;null;null;null;null;
2012-10-31;null;88.6;107;33.5;null;null;4;30.8;null;28.3;null;16.3;null;null;null;null;null;
2012-11-30;null;46.2;108;108;null;null;23;407.8;null;25.4;null;17.4;null;null;null;null;null;
2012-12-31;null;79.9;113.8;104.1;null;null;9;66.2;null;31.2;null;19.5;null;null;null;null;null;
2013-01-31;null;56.9;112.8;112.8;null;null;16;208.4;null;28.1;null;18.7;null;null;null;null;null;
2013-02-28;null;61;98.2;98.2;null;null;8;184.2;null;29.9;null;18.3;null;null;null;null;null;
2013-03-31;null;42.5;103.8;103.8;null;null;19;288.4;null;27.5;null;19.1;null;null;null;null;null;
2013-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-05-31;null;50.3;93.5;73.2;null;null;6;58.8;null;24.1;null;13.1;null;null;null;null;null;
2013-06-30;null;37.2;88.1;58.3;null;null;6;46.5;null;24.1;null;13.7;null;null;null;null;null;
2013-07-31;null;38.5;92;81.1;null;null;9;78.1;null;22.6;null;12.3;null;null;null;null;null;
2013-08-31;null;54;95.9;91.6;null;null;7;90.6;null;24.4;null;11.6;null;null;null;null;null;
2013-09-30;null;51.7;98;75.9;null;null;6;71.5;null;24.7;null;13.8;null;null;null;null;null;
2013-10-31;null;48.3;106.8;106.8;null;null;10;125.3;null;24.7;null;15.4;null;null;null;null;null;
2013-11-30;null;53.4;107.9;107.9;null;null;11;199.7;null;26;null;16.7;null;null;null;null;null;
2013-12-31;null;46.7;113.8;113.8;null;null;22;290.5;null;27.2;null;18.5;null;null;null;null;null;
2014-01-31;null;80.4;112.8;97.2;null;null;null;51.2;null;31;null;18.1;null;null;null;null;null;
2014-02-28;null;85.2;98.2;75.6;null;null;null;57.5;null;30.8;null;17.2;null;null;null;null;null;
2014-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-04-30;null;42.9;95;95;null;null;null;133.8;null;26.5;null;16.3;null;null;null;null;null;
2014-05-31;null;54;93.5;68.4;null;null;null;13.2;null;24.8;null;13.4;null;null;null;null;null;
2014-06-30;null;38.1;88.1;80.6;null;null;null;75.1;null;24.1;null;12.8;null;null;null;null;null;
2014-07-31;null;34.2;92;75.8;null;null;null;67.1;null;22;null;12.5;null;null;null;null;null;
2014-08-31;null;54.6;95.9;44.4;null;null;null;29.5;null;23.6;null;11;null;null;null;null;null;
2014-09-30;null;73.4;98;32;null;null;null;23.7;null;25.8;null;13.1;null;null;null;null;null;
2014-10-31;null;74.8;106.8;83.9;null;null;null;82.3;null;26.7;null;14.3;null;null;null;null;null;
2014-11-30;null;61.9;107.9;107.9;null;null;null;135.1;null;26.7;null;16.6;null;null;null;null;null;
2014-12-31;null;70.9;113.8;113.8;null;null;null;244.1;null;29.6;null;17.8;null;null;null;null;null;
2015-01-31;null;102.8;112.8;106.4;null;null;null;74.8;null;32.3;null;18.3;null;null;null;null;null;
2015-02-28;null;71.2;98.2;93.2;null;null;null;84.2;null;30.1;null;18.6;null;null;null;null;null;
2015-03-31;null;56.2;103.8;103.8;null;null;null;175.1;null;28.5;null;17.9;null;null;null;null;null;
