Nome: CAMPOS
Codigo Estacao: 83698
Latitude: -21.74249999
Longitude: -41.33277777
Altitude: 11.2
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;99.7;142.6;142.6;null;4.5;13;203.3;1013.7;1012.2;30.7;25.8;22.3;76.5;3.3;1.4;77.3;
2012-02-29;0;126.8;139.2;61.2;null;1.4;4;17.9;1013.8;1012.2;32.8;26.7;22.8;71.3;3.3;1.1;83.3;
2012-03-31;0;123.6;138.8;99.6;null;4.3;9;90.2;1014;1012.6;32.7;26.3;22.8;75.2;3.3;.7;81.7;
2012-04-30;0;93.2;118.8;19.2;null;3.2;6;11.6;1014.4;1012.7;31.3;25.9;22.2;75.7;1.6;.5;83.1;
2012-05-31;0;71.3;76.4;76.4;null;4.2;14;176.1;1018.1;1016.8;27.4;22.3;18.7;79.8;3.3;.7;78.3;
2012-06-30;0;75.1;79.9;79.9;null;4;6;95.2;1018;1016.6;28.2;23.1;19.6;79.8;3.3;.7;81.4;
2012-07-31;0;112.1;74.4;56;null;2.6;2;6.9;1018.9;1017.4;28.6;22.2;17.9;72.1;3.3;.9;84;
2012-08-31;0;82.4;75.5;67.1;null;4.4;17;59.6;1023.3;1021.9;27.3;22;18.2;75.8;3.3;1;81.1;
2012-09-30;0;110.7;85.7;42.9;null;4.2;7;21.7;1019.1;1017.6;28.4;22.7;18.4;70.9;3.3;1.5;81.7;
2012-10-31;0;144.8;123.5;22.1;null;2.6;2;6.1;1015;1013.6;31.4;25.3;21.1;68.8;3.3;1.6;84;
2012-11-30;0;87.1;117.6;117.6;null;7.2;19;159;1013.1;1011.7;28.9;24.5;21.5;78.4;3.3;.8;76.7;
2012-12-31;0;136.5;184.6;53.8;null;2.4;3;14;1011.1;1009.7;34.6;28.1;24.3;69.9;3.3;1;83.1;
2013-01-31;0;128.3;155.9;138.1;null;5.7;13;136.5;1012.7;1011.3;32;26.6;23.3;73.7;5;1;80.1;
