Nome: PONTA PORA
Codigo Estacao: 83702
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;200.5;134.9;134.9;null;6.7;11;230.6;1009.7;935;31.4;25.1;20.2;70.4;5;2;72.6;
2012-02-29;5;191;118.3;118.3;null;7.6;15;157.5;1010.9;936.1;31.4;24.8;20.2;73.7;5;1.9;73.5;
2012-03-31;5;193.3;110.6;110.6;null;6.1;8;109.2;1013.4;937.9;30.8;23.7;18.1;67.4;8;1.9;72.3;
2012-04-30;5;144;80.9;80.9;null;7.6;15;286.1;1013.5;937.7;27.5;21.6;17.1;81.1;5;2;70.9;
2012-05-31;5;140.9;59.4;58.9;null;4.6;6;49.4;1016.9;940;25.2;19.1;14.6;79.3;6;2.3;72.9;
2012-06-30;5;105.2;42.9;42.9;null;6.8;12;346.1;1017.3;940;22.8;17;13;84.4;5;2.5;61.2;
2012-07-31;5;204.3;43.6;38.3;null;5.7;9;9.4;1018.3;940.7;23.9;16.9;11.8;71.7;7;2.4;61.3;
2012-08-31;5;314.2;71.9;52.1;null;4.5;4;26;1018.1;941.5;28.2;20.3;14.4;57.5;7;2.7;69.1;
2012-09-30;5;367.7;93;84.9;null;6;6;79.1;1014.9;939.2;30.9;22.7;16.1;52.5;9;2.8;70;
2012-10-31;5;308.2;114.2;114.2;null;7.2;10;210.6;1011;936;31;24.1;18.6;68;6;2.8;71.1;
2012-11-30;5;278.2;124.5;124.5;null;6.3;11;171.2;1009.8;935;31;24.6;20;72;5;2.3;73.7;
2012-12-31;5;245.3;146.4;146.4;null;7.1;10;213.8;1008.8;934.4;31.9;25.7;21.3;75.5;6;2.5;74.1;
2013-01-31;5;265.6;134.9;134.9;null;6.1;8;137.8;1010.7;936;31.6;25;19.6;68.7;6;2.3;76.5;
2013-02-28;5;204.6;110;110;null;7.1;10;122.9;1010.6;935.8;31.4;24.7;20.3;75.5;7;2.5;74.9;
2013-03-31;5;223.8;111.8;111.8;null;7.2;9;157.5;1011.9;936.8;30.1;23.9;19.4;75.3;6;2.4;73.4;
