Nome: CAMPOS DO JORDAO
Codigo Estacao: 83714
Latitude: -22.75027777
Longitude: -45.60388888
Altitude: 1662.56
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2019-03-19
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;26.4;85.6;85.6;null;8.1;19;300.3;null;21.1;null;null;null;null;null;null;null;
2012-02-29;null;54.9;77.1;77.1;null;5.5;16;171.8;null;23.3;17.3;10.6;82.1;null;null;null;null;
2012-03-31;null;49.3;72.2;72.2;null;6;17;99;null;22.2;16.5;11.5;86.2;null;null;null;null;
2012-04-30;null;34.2;59.2;59.2;null;6.6;17;167;null;20.3;15.3;10.9;89.2;null;null;null;null;
2012-05-31;null;32.9;38.3;38.3;null;5.3;12;79.9;null;15.9;11.3;7.1;88.3;null;null;null;null;
2012-06-30;null;27.3;38.8;38.8;null;5.5;15;149;null;16.2;12;8.1;null;null;null;null;null;
2012-07-31;null;44.3;33.2;33.2;null;2.7;9;66.9;null;16.3;10.5;5.5;83.2;null;null;null;null;
2012-08-31;null;62.7;40;35.8;null;2.4;1;9.8;null;18.2;11.5;5.6;78.6;null;null;null;null;
2012-09-30;null;78.8;54.1;49.6;null;4.4;5;39.7;null;21.2;14.1;7.8;73.5;null;null;null;null;
2012-10-31;null;74.5;81;81;null;5.7;12;165.3;null;23.8;null;10.3;null;null;null;null;null;
2012-11-30;null;51.2;82;82;null;7.4;15;155.8;null;21.7;null;10.6;null;null;null;null;null;
2012-12-31;null;50.5;86.4;86.4;null;7.6;24;291.3;null;24.4;null;13.4;null;null;null;null;null;
2013-01-31;null;28.9;85.6;85.6;null;8.6;29;419;null;21.4;null;null;null;null;null;null;null;
2013-02-28;null;29.1;74.5;74.5;null;7.6;21;294.2;null;22.5;null;null;null;null;null;null;null;
2013-03-31;null;25.3;78.6;78.6;null;7.8;25;191.9;null;21;null;null;null;null;null;null;null;
2013-04-30;null;27.6;71.7;71.7;null;5.9;10;81.4;null;18.6;null;null;null;null;null;null;null;
2013-05-31;null;29.8;70.5;70.5;null;5;2;93.3;null;17.2;null;8.2;null;null;null;null;null;
2013-06-30;null;20.7;66.3;61.3;null;6.1;null;32.9;null;16.5;null;8.7;null;null;null;null;null;
2013-07-31;null;43.5;69.2;69.2;null;4.4;null;87.1;null;16.2;null;6.5;null;null;null;null;null;
2013-08-31;null;75.8;72.3;51;null;3.6;null;8.2;null;18.6;null;6.7;null;null;null;null;null;
2013-09-30;null;66.9;74.1;64;null;5.1;null;56.1;null;20.1;null;8.3;null;null;null;null;null;
2013-10-31;null;47.6;80.9;80.9;null;7.6;null;168.8;null;20.4;null;10.1;null;null;null;null;null;
2013-11-30;null;51.5;81.9;81.9;null;6.9;null;186.7;null;21.7;null;11.8;null;null;null;null;null;
2013-12-31;null;51.8;86.4;86.4;null;6.7;null;244.2;null;22.8;null;12.8;null;null;null;null;null;
2014-01-31;null;72.3;85.6;85.2;null;5.2;null;82;null;25;null;12.5;null;null;null;null;null;
2014-02-28;null;75.6;74.5;74.5;null;5.4;null;116;null;24.1;null;12.4;null;null;null;null;null;
2014-03-31;null;44.1;78.6;78.6;null;6.7;null;111.1;null;22.2;null;12.4;null;null;null;null;null;
2014-04-30;null;38;71.7;71.7;null;5.9;null;79.6;null;19.8;null;10.4;null;null;null;null;null;
2014-05-31;null;37.9;70.5;65.8;null;5.7;null;38.4;null;17.2;null;8;null;null;null;null;null;
2014-06-30;null;39.5;66.3;53.2;null;4.8;null;32.2;null;17.2;null;8;null;null;null;null;null;
2014-07-31;null;39.3;69.2;57.1;null;5;null;46.7;null;15.5;null;5.9;null;null;null;null;null;
2014-08-31;null;73;72.3;38.5;null;2.9;null;22.3;null;19.1;null;6.4;null;null;null;null;null;
2014-09-30;null;89;74.1;70.6;null;4.4;null;69.5;null;21.7;null;9.1;null;null;null;null;null;
2014-10-31;null;98.8;80.9;61.9;null;5.4;null;56.8;null;22.8;null;9.6;null;null;null;null;null;
2014-11-30;null;49.2;81.9;81.9;null;7.7;null;153.7;null;22.4;null;11.8;null;null;null;null;null;
2014-12-31;null;49.4;null;null;null;7.1;null;131;null;23.4;null;12.1;null;null;null;null;null;
2015-01-31;null;75.2;85.6;85.6;null;6.4;null;106.9;null;25.1;null;14.3;null;null;null;null;null;
2015-02-28;null;null;74.5;74.5;null;7.8;null;184.9;null;22;null;14;null;null;null;null;null;
2015-03-31;null;30.2;78.6;78.6;null;8.1;null;214.3;null;20.8;null;13.1;null;null;null;null;null;
2015-04-30;null;31.5;71.7;70.8;null;6.5;null;59.9;null;19.7;null;11.8;null;null;null;null;null;
2015-05-31;null;24.1;0;0;null;6.6;null;90.2;null;16.6;null;8.9;null;null;null;null;null;
2015-06-30;null;25.4;66.3;66.3;null;4.9;null;74.5;null;16;null;8.1;null;null;null;null;null;
2015-07-31;null;40.1;69.2;65.1;null;5.6;null;38.9;null;16.8;null;8.7;null;null;null;null;null;
