Nome: CORDEIRO
Codigo Estacao: 83718
Latitude: -22.02222221
Longitude: -42.36444444
Altitude: 505.9
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;43.5;106.3;106.3;132.2;8.7;14;482.1;957.6;27.7;22.5;18.9;null;0;0;25.5;null;
2012-02-29;0;56.6;108.8;91.8;194.8;6.8;5;44.1;958.1;30.2;23.8;18.7;null;0;0;39.8;null;
2012-03-31;0;57.3;102.7;102.7;171.4;7;12;161.5;958.7;29.5;23.1;18.7;null;0;0;54;null;
2012-04-30;0;36.1;85;83.9;146;7.7;11;69.8;958.8;27.3;21.9;18.2;null;0;0;55.7;null;
2012-05-31;0;32.1;55.3;55.3;152.4;7.4;9;86.8;962.1;24.1;18.3;14.3;null;0;0;59.7;null;
2012-06-30;0;34.5;56.7;50.2;144.3;7.8;6;17.6;962.2;25;19.1;15.6;null;0;0;53.8;null;
2012-07-31;0;45.4;50.6;29.9;200.3;5.3;1;5.1;962.6;25.3;17.8;13.1;null;0;0;62.3;null;
2012-08-31;0;39.4;52.8;49.2;167.2;6.9;13;46.6;966.5;24.6;17.7;13.1;null;0;0;52.5;null;
2012-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-10-31;0;78.1;99.8;36.3;237.1;6.2;4;31.3;959.4;30.3;22.7;16.7;null;0;0;62.5;null;
2012-11-30;0;37.3;92.9;92.9;109.7;8.8;20;208.1;956.9;26.6;21.7;18.2;null;0;0;50.7;null;
2012-12-31;0;60.5;136;128.9;241.1;6.8;13;95.8;956.1;31.8;25;20.3;null;0;0;77.5;null;
2013-01-31;0;49.3;120.6;120.6;140.6;8.5;15;188.2;957.4;29;23.9;19.8;null;0;0;67;null;
2013-02-28;0;50.3;111.1;109.2;205.4;7.2;8;90.6;957.6;31;24.4;19.7;null;0;0;68.2;null;
2013-03-31;0;37.8;102.8;102.8;119.6;8.6;18;202.1;958.4;28.7;23.1;19.7;null;0;0;55.7;null;
2013-04-30;0;33.5;72.6;62.1;128.2;7.8;7;22.9;960.3;26.1;20.5;16.7;null;0;0;57.5;null;
2013-05-31;0;37;58.8;45.6;158.3;7.2;6;30.6;960.9;25.2;18.8;14.8;null;0;0;47.5;null;
2013-06-30;0;28.3;57.4;46;138.8;7.7;6;37.9;961.9;24.9;19.1;15.7;null;0;0;39.4;null;
