Nome: SAO CARLOS
Codigo Estacao: 83726
Latitude: -21.98027777
Longitude: -47.88388888
Altitude: 859.77
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2024-06-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;70.7;94.4;94.4;131;8.2;23;346.9;1014;917.7;27;21.4;17.8;80.4;3;.7;56.8;
2012-02-29;5;108.9;112.1;111.1;209.3;6.4;11;97.7;1013.4;918.4;30.4;24.2;19.5;70.1;3;.8;55.7;
2012-03-31;0;103.3;103;82.6;207.2;5.5;11;44.1;1014.7;919.2;29.3;23;18.4;70.5;2;.8;56.7;
2012-04-30;0;91.7;86.2;86.2;188.7;5.8;7;147.5;1014.8;919;28.2;22.2;17.8;73.1;5;1;54.4;
2012-05-31;0;null;49.2;49.2;null;4.2;9;98.1;1020.4;922;23.4;17.6;13.4;71.8;3;1;56.1;
2012-06-30;0;52.2;50.1;50.1;158.5;5.7;9;191.9;1019.5;922;23.2;17.9;14.2;82;3;.8;53.5;
2012-07-31;0;103.8;46.7;46.6;235.9;3.1;4;42.7;1020.4;922.3;24.4;17.2;12.3;69.2;4;.9;56.2;
2012-08-31;5;158.3;62.4;45.7;276.9;2.5;1;2.4;1022.6;924.7;26.3;19.1;14;58.3;3;1.2;56.7;
2012-09-30;0;163.9;80.5;79;224.5;3.1;5;77.4;1017.9;921.6;28.6;21;15.1;57.5;5;1.1;56;
2012-10-31;9;156.4;112.5;104.5;223.1;6.5;7;97.3;1013.5;918.4;30.9;23.7;18.4;62.8;3;1.1;56.3;
2012-11-30;14;111.8;105.3;105.3;210.4;6.3;13;174;1011.8;916.5;28.8;22.6;17.7;70.2;4;1.1;56.3;
2012-12-31;0;97;127.8;127.8;169.5;8;18;228.4;1011.9;917.2;30.3;24.3;20;76.2;3;.8;56.3;
2013-01-31;0;83.6;104.6;104.6;157.3;7.8;17;281.5;1013.4;917.7;27.9;22.3;18.5;79.8;7;1.2;56;
2013-02-28;0;74.4;96.6;96.6;145.8;6.8;16;201.5;1014;918.5;29.2;23;19.2;78.4;2;.8;56.3;
2013-03-31;14;74.1;96.3;96.3;146.7;7.7;13;202.4;1014.6;918.8;27.8;22.4;18.5;79;3;.9;56.7;
2013-04-30;0;76.7;71.5;71.5;183.2;6;9;70.4;1016.9;920.3;26.3;20.4;16.2;75.1;3;.8;56.2;
2013-05-31;0;91;61.5;61.5;200.1;4.8;null;142;1018.2;921.1;25;19.1;14.9;73.4;3;.7;54.3;
2013-06-30;0;63.3;53.9;53.4;null;6;null;43.8;1019.2;921.7;24.2;18.4;14.8;80.3;3;.8;55.9;
2013-07-31;0;75.6;44.2;44.1;217.4;3.5;null;43.3;1021.6;923.2;23.7;16.7;12;73.8;5;1.1;54.5;
