Nome: SAO LOURENCO
Codigo Estacao: 83736
Latitude: -22.12638888
Longitude: -45.04333333
Altitude: 930.65
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;18;73.5;92.2;92.2;150.4;7.5;22;332.9;909.5;27.4;20.7;16.5;81.5;4.6;1;63.5;null;
2012-02-29;36;111.1;97.6;97.6;234.7;5.1;10;97;910.4;29.6;22.3;16.5;73.7;3.6;1;65.7;null;
2012-03-31;0;91;90.6;90.6;226.6;5.2;12;119;910.8;28.9;21.3;15.7;77.4;3.6;.9;65;null;
2012-04-30;0;75.5;73.7;73.7;206.8;5.5;10;85.1;910.8;27.3;20.1;15;80.5;4.1;.8;63.6;null;
2012-05-31;0;58.8;43.5;43.5;200.3;4.8;7;82;913.7;23.7;15.6;10.1;83.3;4.6;.6;59;null;
2012-06-30;0;48.2;42.7;42.7;161.3;5.9;8;106.2;914;23.4;15.9;11.2;86.5;3.1;.5;54.5;null;
2012-07-31;0;81.8;36.5;35.7;247;3.1;4;23.8;914.3;24.1;14.4;7.3;77.9;4.1;.7;62.6;null;
2012-08-31;0;109.6;46.5;34.8;274;2.5;1;4.8;916.9;25.1;15.9;7.9;69.3;6.5;1;65.7;null;
2012-09-30;0;130.3;66;53.3;251.2;3.1;4;40;913.6;28.1;18.7;10.7;63.7;4.6;1.2;63.6;null;
2012-10-31;0;149;98;73.5;256.3;4.9;10;59.1;910.5;30.1;21.9;14.8;64.2;5.7;1.2;65.8;null;
2012-11-30;18;96.2;91;91;189.9;6.5;21;170.4;908.4;27.9;21;16;75.9;8.2;1.3;63.4;null;
2012-12-31;18;92.2;117.3;117.3;208.3;6.9;22;371;909;30.4;23.1;18.4;79.6;3.6;1;63.5;null;
2013-01-31;18;69;99.6;99.6;150.1;7.8;24;408.2;909.7;27.8;21.4;17.4;82.8;6.8;1.3;64.1;null;
2013-02-28;18;74.8;92.5;92.5;179.3;6.7;15;202.5;910.2;29.7;22.1;17.4;78.9;5.8;1;65.4;null;
2013-03-31;0;66.7;89.9;89.9;152.1;7;3;181.1;910.7;27.4;21.2;17.2;83.2;5.1;.9;64;null;
2013-04-30;18;63.6;62.5;62.5;191;5.7;null;66.1;912;25.7;18.5;13.4;82.5;4;1;62.6;null;
2013-05-31;18;65.4;48.2;47.9;198.7;4.9;null;40.6;912.8;24.4;16.4;10.8;81.9;4;.9;59.5;null;
2013-06-30;23;49.1;44.9;44.8;159.6;5.9;null;43.8;913.7;23.9;16.3;11.5;85.2;2.8;.8;57.9;null;
2013-07-31;18;70.3;38;38;225.7;3.6;null;71.9;914.9;23.8;14.6;8.2;78.7;5.8;1.1;61.6;null;
2013-08-31;23;106.3;45.3;40.1;261.2;2.8;null;11.2;914;25.8;15.7;7.7;68.7;5.1;1.1;65.6;null;
2013-09-30;36;114.9;65.9;63.5;226.9;4.6;null;58.2;912.9;27.3;18.7;11.5;69.1;3.5;1.2;65.3;null;
2013-10-31;18;97.7;77.3;77.3;196.1;6.3;null;169.8;911.4;26.4;19.4;14;73.2;4.6;1.5;64.1;null;
2013-11-30;18;83;89.1;89.1;188.2;6.8;null;286.9;909.7;27;20.7;15.6;76.2;4.1;1.3;63.2;null;
2013-12-31;18;82.1;108.2;108.2;197.6;6.7;null;184.3;907.4;28.9;22.3;17.5;78.7;5.5;1.4;65.7;null;
2014-01-31;23;127.4;118.2;109.4;303.4;4.7;null;73;910.9;31.5;23.3;16.4;68;7;1.3;66.6;null;
2014-02-28;5;129;103.9;73;262.7;4.3;null;44.6;910.3;31.7;23.3;15.9;64.2;4.1;1.3;66.3;null;
2014-03-31;18;103.8;96;96;234.8;5.4;null;109.4;910.9;29.6;21.8;15.8;72.8;3.6;1.1;66.3;null;
2014-04-30;18;79.8;73.1;61.3;215.2;4.8;null;52.1;911.5;27.7;20;14.3;74.8;5.6;1.2;65.9;null;
2014-05-31;18;78.6;48.8;28;234.3;4.4;null;17.4;912.6;25.4;16.5;9.8;75.7;6.5;1;64.6;null;
2014-06-30;18;68;42.7;17.5;177;4.3;null;9.3;914.2;25.1;15.8;9.2;78.4;3.6;.9;62.2;null;
2014-07-31;36;78.8;38.6;38.6;196.4;4.4;null;47.1;916.3;23.5;14.8;8.2;75.3;3.6;1;62.1;null;
2014-08-31;18;113.5;50.7;20.2;255.1;3.1;null;10.6;914.5;26.9;16.7;8.5;64.2;4;1.2;64.2;null;
2014-09-30;null;null;null;null;null;null;null;16.2;null;null;null;null;null;null;null;null;null;
2014-10-31;36;144.5;91.6;27.4;229.5;4.6;null;20.3;911.6;30.4;21.3;13.5;62.2;5.6;1.6;63.6;null;
2014-11-30;5;104.4;99.8;99.8;199;6.7;null;172;909.2;29.4;22;16.7;71;4.3;1.5;65.3;null;
2014-12-31;5;101.2;113.2;110.2;199.9;6.5;null;101.1;910;29.6;22.7;17;72.1;5.1;1.4;65.8;null;
2015-01-31;18;126.2;123.4;98.4;240.2;5.5;null;69.1;911.2;32.1;23.8;17.3;69.4;4.6;1.4;66;null;
2015-02-28;5;74.4;92.5;92.5;161.8;7.2;null;164.6;910.3;29.1;22;17.5;78.9;10.8;1.3;65.1;null;
2015-03-31;18;67.5;89.9;89.9;146.8;7;null;152.7;910.7;27.5;21.2;17;82.4;3.5;1;65;null;
2015-04-30;18;70.8;74.6;72.8;215.5;4.8;null;54.9;911.3;27.5;20.2;15.3;77.8;4.5;1.1;64.1;null;
