Nome: PASSA QUATRO
Codigo Estacao: 83737
Latitude: -22.38277777
Longitude: -44.96694443
Altitude: 919.55
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;27;92;95;95;null;7;22;355.3;null;27.2;20.7;16.3;78.2;3;1.3;null;null;
2012-02-29;32;121.7;100.7;100.7;null;4.4;10;118.9;null;30;22.5;16.3;70.9;5;1.1;null;null;
2012-03-31;23;123.7;90.5;90.5;null;4.7;9;240.9;null;28.7;21.5;15.8;72.7;5;1.3;null;null;
2012-04-30;32;97.4;74.6;74.6;null;5;10;75.8;null;27;20.3;15.2;77;5;1.3;null;null;
2012-05-31;23;102.7;49.3;49.3;null;4.1;6;46.9;null;23.2;16.2;10.9;76.3;7;1.6;null;null;
2012-06-30;32;72.8;46.5;46.5;null;4.8;8;91.4;null;23.5;16.3;11.7;82.4;5;1.2;null;null;
2012-07-31;32;104.1;37.7;37.7;null;2.5;4;42;null;24;14.4;7.5;75.2;5;1.4;null;null;
2012-08-31;null;143.3;85.2;59.6;null;null;2;4.2;null;25.3;null;null;null;null;null;null;null;
2012-09-30;null;168.2;null;null;null;null;6;48.7;null;27.5;null;null;null;null;null;null;null;
2012-10-31;null;157.4;95.2;57.4;null;null;7;60.9;null;30.3;null;null;null;null;null;null;null;
2012-11-30;null;124.5;96.2;96.2;null;null;16;212.6;null;27.6;null;null;null;null;null;null;null;
2012-12-31;null;117.2;101.4;101.4;null;null;21;256.1;null;30.8;null;null;null;null;null;null;null;
2013-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-02-28;null;100.8;null;null;null;null;null;273.5;null;29.8;null;null;null;null;null;null;null;
2013-03-31;null;95.5;92.3;92.3;null;null;null;137.9;null;27.5;null;null;null;null;null;null;null;
2013-04-30;null;94.5;84.4;84.4;null;null;null;133.4;null;25.8;null;null;null;null;null;null;null;
2013-05-31;null;103.7;83;77.2;null;null;null;46.9;null;25;null;null;null;null;null;null;null;
2013-06-30;null;85;78.1;54;null;null;null;25.4;null;24.3;null;null;null;null;null;null;null;
2013-07-31;null;121.9;81.6;71.6;null;null;null;15.3;null;23.3;null;null;null;null;null;null;null;
2013-08-31;null;160.5;85.1;23;null;null;null;3.4;null;26;null;null;null;null;null;null;null;
2013-09-30;null;null;87.1;87.1;null;null;null;101.8;null;27;null;null;null;null;null;null;null;
2013-10-31;null;132.2;null;null;null;null;null;161.6;null;26.1;null;null;null;null;null;null;null;
2013-11-30;null;136.4;96.1;96.1;null;null;null;182;null;27.6;null;null;null;null;null;null;null;
2013-12-31;null;147.8;101.4;101.4;null;null;null;147.6;null;28.7;null;null;null;null;null;null;null;
2014-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-02-28;null;205.6;87.4;86.5;null;null;null;85.2;null;32.2;null;null;null;null;null;null;null;
2014-03-31;null;178;92.3;91.8;null;null;null;91.1;null;29.6;null;null;null;null;null;null;null;
2014-04-30;null;139.6;84.4;62.3;null;null;null;42.4;null;27.7;null;null;null;null;null;null;null;
2014-05-31;null;109.8;83;41.5;null;null;null;24.7;null;25.1;null;10.5;null;null;null;null;null;
2014-06-30;null;111.3;78.1;19.1;null;null;null;8.4;null;25.6;null;9.2;null;null;null;null;null;
2014-07-31;null;103.1;81.6;44.3;null;null;null;40.8;null;23.4;null;8.5;null;null;null;null;null;
2014-08-31;null;132.4;85.1;42.2;null;null;null;39.6;null;26;null;8.3;null;null;null;null;null;
2014-09-30;null;150.2;87.1;50;null;null;null;48.6;null;28.3;null;11.7;null;null;null;null;null;
2014-10-31;null;145.9;null;null;null;null;null;49.4;null;29.3;null;13.4;null;null;null;null;null;
2014-11-30;null;null;96.1;96.1;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-12-31;null;null;null;null;null;null;null;118.6;null;29.6;null;17.1;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-02-28;null;98.1;87.4;87.4;null;null;null;261;null;29.2;null;17.2;null;null;null;null;null;
2015-03-31;null;95.1;92.3;92.3;null;null;null;279.9;null;27.6;null;16.9;null;null;null;null;null;
2015-04-30;null;null;84.4;78.3;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-05-31;null;93.3;83;64.9;null;null;null;38.2;null;24.6;null;12.2;null;null;null;null;null;
2015-06-30;null;85.5;78.1;44.2;null;null;null;25.5;null;23.8;null;10.4;null;null;null;null;null;
2015-07-31;null;96.1;null;null;null;null;null;5.4;null;24.6;null;10.1;null;null;null;null;null;
