Nome: RESENDE
Codigo Estacao: 83738
Latitude: -22.45111111
Longitude: -44.44472221
Altitude: 439.9
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;101.1;108.2;108.2;116.2;7.6;23;295.9;1013.2;963.8;28.7;22.8;19.1;null;4.3;1.1;68.1;
2012-02-29;0;160.2;125.8;113.2;229.1;4.9;8;71.6;1012.5;963.6;32.5;25.3;20;67.5;5;1.4;71.1;
2012-03-31;0;140.3;106.6;106.6;174.3;7.2;16;216.5;1013.7;964.8;30.2;23.5;19.3;77.3;5.3;1;70.1;
2012-04-30;0;94.2;88.9;88.9;145.7;7.4;14;90.9;1012.8;963.4;28.1;22.5;19.3;81;7.1;.9;67.3;
2012-05-31;0;90.9;58.1;58.1;172.3;6.3;10;68.6;1016.4;966.1;25.1;19.1;15.2;79.7;5.8;.8;68.4;
2012-06-30;0;67.6;56.2;56.2;121.1;7.3;13;70.7;1015.2;965;24.7;19.2;16.1;84.7;4.6;.7;64.5;
2012-07-31;0;96.2;48.5;44.5;182.8;5.3;4;18.8;1017.8;967.2;25.1;17.7;12.9;77.9;5.5;.8;64.4;
2012-08-31;0;171.9;60.6;38.9;260;3.8;4;8.9;1022.7;972.4;26.8;19.1;13.6;68.5;7.8;1.8;73;
2012-09-30;0;173.9;77.5;42.4;179;4.9;3;24;1019.2;969.1;28.8;20.9;15.5;69.3;9.3;1.5;72.1;
2012-10-31;0;212.3;110.1;74.9;192.6;5.8;7;65.6;1013.4;964.2;31.6;23.6;17.9;65;16;1.7;70.9;
2012-11-30;0;135.7;99.5;99.5;145.2;8.1;21;167.9;1011.9;962.5;28;22.4;18.8;77.6;5.8;1.8;67.2;
2012-12-31;0;136.9;140.9;140.9;186;7.7;20;193.3;1009.9;961.1;32.5;25.3;21.1;77.8;11.3;1.1;69.3;
2013-01-31;0;83.4;110.5;110.5;105.6;9.2;28;541.1;1014.4;964.9;28.6;23;19.8;null;5;1.2;67;
2013-02-28;0;100.1;111.6;111.6;154.9;7.7;17;244.1;1012.7;963.7;31.2;24.4;20.3;79.2;5;1.2;67.9;
2013-03-31;0;90.8;104.7;104.7;138.3;8.4;4;268.6;1014.4;965;29;23.3;20.1;83.5;15.5;1.4;69.2;
2013-04-30;0;91.8;77.5;77.1;146.6;7.2;null;69.5;1017.1;967.2;26.8;21.3;17.7;80.2;11;1;68.5;
2013-05-31;0;97.1;61.9;59.1;154.6;5.7;null;44;1018.5;968.1;26;19.5;15.5;null;6.6;.7;66.7;
2013-06-30;0;72.4;58.3;42.4;123.6;7.4;null;15.6;1019.1;968.8;25.5;19.5;15.7;81.9;5;.6;62.5;
2013-07-31;0;96.1;45.9;45.9;162.5;5.9;null;102.6;1021.6;970.8;24.3;17.3;12.8;79.2;8.3;1.2;61.5;
2013-08-31;0;141.2;56.1;43.4;216;4.6;null;1.1;1019.9;969.3;26.9;18.6;12.9;70;10;1.4;68.2;
2013-09-30;0;158.8;73.9;69.8;165.3;5.8;null;64.8;1017.4;967.4;27.8;20.8;15.4;68.3;12.3;1.7;69;
2013-10-31;0;147.5;86.3;86.3;83.8;7.8;null;126.2;1015.8;966.1;27.1;21.3;17.2;72.6;6;1.7;66.6;
2013-11-30;0;125.2;99.3;99.3;81.4;7.3;null;326.1;1013.1;963.7;28.3;22.4;18.3;75.8;10.5;1.6;66.7;
2013-12-31;0;136.4;125.7;125.7;56.9;7.4;null;199;1010.3;961.2;30.6;24.2;20.2;74.2;5;1.5;69.1;
2014-01-31;0;191.9;143.4;143.4;171.6;3.5;null;142.3;1013.7;964.7;33.9;25.7;20;null;3.3;1.2;72.7;
2014-02-28;0;233.3;130.6;121.5;254.1;3.4;null;84.7;1012;963.4;34;26.2;19.8;58.2;7;1.5;72.4;
2014-03-31;0;138.9;113.3;113.3;184.1;6.4;null;184.7;1013.4;964.3;30.6;24.1;19.6;74;7;1.2;69.9;
2014-04-30;0;90.7;83.6;83.6;163.3;7;null;131.7;1015.2;965.6;28.3;22;18.2;80.1;7;1.2;67.5;
2014-05-31;0;97.9;61.9;58.2;173.5;5.8;null;33.6;1017.2;967;26.6;19.6;14.9;77.8;7;1.2;67.4;
2014-06-30;0;85.3;53.5;46.1;180.5;5.2;null;30.9;1020;969.4;26.2;18.8;14.1;81.2;5;.8;64;
2014-07-31;0;93.1;49.7;49.7;157.8;5.8;null;54.3;1021.6;970.8;24.1;17.9;14.1;80.3;5.1;.8;69;
2014-08-31;0;null;58.2;39.6;210.8;4.1;null;18.3;1019.5;969;27;18.8;12.8;65.2;7.7;1.1;98.4;
2014-09-30;36;188.1;80;73.3;189.3;5;null;68.6;1016.8;966.9;29.5;21.3;15.6;63.6;5.6;1.9;74.6;
2014-10-31;0;216.7;102.4;34.1;213;4.8;null;109;1016.8;967.2;30.4;22.6;16.6;null;8;1.5;72.3;
2014-11-30;36;null;110.1;110.1;166.7;7.5;null;198.8;1012.4;963.2;29.7;23.5;19.4;71.7;5.7;1.8;97.9;
2014-12-31;0;169.5;134.4;134.4;214.2;6.4;null;172.1;1012.7;963.8;31.7;24.9;20.2;70;6.6;1.7;69.7;
2015-01-31;0;197.4;148.7;148.7;null;4.7;null;185.2;1014.4;965.5;33.8;26.1;20.4;null;13.6;1.3;70.8;
2015-02-28;0;111;110.5;110.5;null;6.7;null;188.5;1013.1;964.1;30.8;24.3;20.5;77;6;1.4;67.8;
2015-03-31;0;96.6;106.8;106.8;null;8.2;null;169.2;1014.4;965.1;29;23.5;20.2;81.4;4.6;1;67.3;
