Nome: RIO DE JANEIRO
Codigo Estacao: 83743
Latitude: -22.89555555
Longitude: -43.18472221
Altitude: 37.5
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2017-04-04
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;107.2;156.7;156.7;null;6.2;16;220.9;1011.9;31.6;26.5;23.5;75.4;8;1;57.7;null;
2012-02-29;0;132.6;174.5;111.3;null;2.4;6;62.8;1011.8;34.8;28.7;24.6;65.1;6;1.1;63.9;null;
2012-03-31;0;115.2;196.1;100;null;4.5;12;84.1;1013.2;32.6;26.9;24.1;74;7.2;1.1;61.7;null;
2012-04-30;0;86.6;121.1;49.5;null;4.9;8;45.4;1013.4;30.9;25.9;23;76.7;6.8;.9;59.2;null;
2012-05-31;0;81.4;86.3;86.3;null;4.8;11;128.8;1017.7;28.3;23.1;19.8;76.4;5.2;.6;58.3;null;
2012-06-30;0;70;85.4;77.2;null;5.3;10;71.1;1017.2;28.2;23.6;20.7;78.5;4;.7;57.7;null;
2012-07-31;0;93.4;82.8;43.5;null;3.9;8;26.2;1017.9;28.3;22.9;19.6;73;4.8;.4;60.8;null;
2012-08-31;0;103;87.7;29.3;null;2.5;3;17.9;1021.9;29.1;23.1;19.6;70.9;4;.8;65.8;null;
2012-09-30;0;114.6;96.9;87.2;null;4.3;6;87.9;1017.6;29.6;23.9;20.3;68.4;8;1;60;null;
2012-10-31;0;138.4;137.2;71.5;null;3.8;5;66.4;1013.4;32.1;26;22.2;68.8;9.6;1.1;60.8;null;
2012-11-30;0;90.9;120.9;94.4;null;6.6;18;93.2;1012.1;28.9;24.8;22.1;76.5;4.8;1.2;56;null;
2012-12-31;0;142.1;210;40.1;null;3.9;9;37;1009.6;35.1;29.5;25.9;68.3;5.6;1.2;60.9;null;
2013-01-31;0;109.1;160.2;160.2;null;6.8;20;334.7;1012;31.6;26.8;23.6;76.1;6.8;1.1;55.3;null;
