Nome: TERESOPOLIS
Codigo Estacao: 83744
Latitude: -22.41722221
Longitude: -42.97222221
Altitude: 874.2
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;102.3;102.3;null;null;17;360.3;null;26.2;null;18.3;null;null;null;null;null;
2012-02-29;null;null;92.2;92.2;null;null;10;135.3;null;28.8;null;18.2;null;null;null;null;null;
2012-03-31;null;null;93.9;93.9;null;null;14;172;null;27.4;null;17.8;null;null;null;null;null;
2012-04-30;null;null;85.8;85.8;null;null;14;257.9;null;25.6;null;17;null;null;null;null;null;
2012-05-31;null;null;84.4;84.4;null;null;10;98.7;null;21.9;null;13.4;null;null;null;null;null;
2012-06-30;null;null;79.5;74;null;null;7;44.3;null;22.9;null;14.6;null;null;null;null;null;
2012-07-31;null;null;83.1;61.6;null;null;5;34.5;null;22.6;null;12.9;null;null;null;null;null;
2012-08-31;null;null;86.8;65.1;null;null;8;52.6;null;22.8;null;12.6;null;null;null;null;null;
2012-09-30;null;null;88.9;88.9;null;null;6;95;null;25;null;14.4;null;null;null;null;null;
2012-10-31;null;null;96.9;55.7;null;null;6;39.6;null;27.7;null;16.9;null;null;null;null;null;
2012-11-30;null;null;98;98;null;null;22;220.3;null;24.3;null;16.9;null;null;null;null;null;
2012-12-31;null;null;103.3;103.3;null;null;18;133;null;30.2;null;19.6;null;null;null;null;null;
2013-01-31;null;null;102.3;102.3;null;null;25;363.5;null;26.2;null;18.7;null;null;null;null;null;
2013-02-28;null;null;89.1;89.1;null;null;15;187.3;null;29.3;null;19.1;null;null;null;null;null;
2013-03-31;null;null;94.1;94.1;null;null;20;331.7;null;26.4;null;18.8;null;null;null;null;null;
2013-04-30;null;null;85.9;85.7;null;null;13;78.2;null;23.5;null;15.6;null;null;null;null;null;
2013-05-31;null;null;84.5;83.3;null;null;8;74.2;null;22.7;null;13.6;null;null;null;null;null;
2013-06-30;null;null;79.6;78.7;null;null;8;75.1;null;22.4;null;14.5;null;null;null;null;null;
2013-07-31;null;null;83.1;83.1;null;null;9;98.7;null;21.6;null;12.3;null;null;null;null;null;
2013-08-31;null;null;86.7;67.6;null;null;4;22.4;null;23.6;null;12.3;null;null;null;null;null;
2013-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-10-31;null;null;96.8;96.8;null;null;16;116.7;null;23.9;null;15.9;null;null;null;null;null;
2013-11-30;null;null;97.9;97.9;null;null;14;203.7;null;25.3;null;16.7;null;null;null;null;null;
2013-12-31;null;null;103.3;103.3;null;null;21;215.5;null;26.6;null;18.8;null;null;null;null;null;
2014-01-31;null;null;102.3;102.3;null;null;null;157.4;null;30.5;null;18.8;null;null;null;null;null;
2014-02-28;null;null;89.1;76.6;null;null;null;35.1;null;30.3;null;19.3;null;null;null;null;null;
2014-03-31;null;null;94.1;94.1;null;null;null;214.2;null;27.4;null;18.9;null;null;null;null;null;
2014-04-30;null;null;85.9;85.9;null;null;null;181.4;null;25.1;null;16.5;null;null;null;null;null;
2014-05-31;null;null;84.5;78.5;null;null;null;47.8;null;23.1;null;13.8;null;null;null;null;null;
2014-06-30;null;null;79.6;67.5;null;null;null;49.6;null;23.3;null;13.9;null;null;null;null;null;
2014-07-31;null;null;83.1;63.8;null;null;null;49;null;21.1;null;13;null;null;null;null;null;
2014-08-31;null;null;86.7;49.5;null;null;null;34.7;null;22.7;null;12.1;null;null;null;null;null;
2014-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-10-31;null;null;96.8;91.8;null;null;null;91.4;null;26.5;null;15.3;null;null;null;null;null;
2014-11-30;null;null;97.9;97.9;null;null;null;235;null;26;null;17.6;null;null;null;null;null;
2014-12-31;null;null;103.3;103.3;null;null;null;101.7;null;29.1;null;19;null;null;null;null;null;
2015-01-31;null;null;102.3;102.3;null;null;null;102.7;null;31;null;19.5;null;null;null;null;null;
2015-02-28;null;null;89.1;89.1;null;null;null;130.5;null;29.2;null;19.3;null;null;null;null;null;
2015-03-31;null;null;94.1;94.1;null;null;null;226.3;null;27.2;null;18.6;null;null;null;null;null;
2015-04-30;null;null;85.9;85.9;null;null;null;100.7;null;24.6;null;16.5;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-06-30;null;null;79.6;64.7;null;null;null;61.7;null;22.4;null;13.1;null;null;null;null;null;
