Nome: LONDRINA
Codigo Estacao: 83766
Latitude: -23.32555554
Longitude: -51.14166666
Altitude: 566
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;97.4;117.2;117.2;225.8;6.7;20;263.2;1011.2;947.2;29.5;23.5;19;77.4;3;1;57.7;
2012-02-29;0;114.7;132.1;109.9;234.8;5.9;10;57.2;1011.7;948.2;33.1;25.9;20.7;68.6;3;.7;60;
2012-03-31;0;121.7;115.8;108.3;250.3;4.4;8;102.4;1013.3;949.3;31.9;24.2;18.6;66.2;3;.8;59.7;
2012-04-30;0;91.8;86.5;86.5;214;5.2;10;168.4;1013.9;949.3;29.1;22.2;17.4;75.4;3;.7;59.3;
2012-05-31;0;75.2;55.2;55.2;208.7;4.5;4;78.4;1018.4;952.7;24.9;18.5;13.6;80.3;3;.7;56.5;
2012-06-30;0;53.2;44.5;44.5;135.1;6.4;14;428.4;1018.3;952.4;23;17.3;13.3;91.1;3;.5;53.3;
2012-07-31;0;83.1;45.9;45.7;208.5;4.8;5;39.6;1019.2;953.1;24.7;17.2;11.5;74.1;3;.8;56.9;
2012-08-31;0;115.9;73.7;49.6;282.9;3.3;1;1.2;1020.5;955.1;28.9;20.7;14.4;60.2;3;.7;56.3;
2012-09-30;0;119.3;89.8;79.7;259.7;3.9;7;72.4;1016.6;951.7;31;22.3;15.3;57.6;5;1.1;55.8;
2012-10-31;0;122.8;125.4;95.1;213.5;6.4;8;81.5;1012.1;948.3;32.3;24.7;18.9;63.1;3;1;57.6;
2012-11-30;14;113.5;112.2;108.6;207.1;6.2;14;107.4;1010.9;947.1;31;24.3;19.2;67;3;.7;58.9;
2012-12-31;0;105.1;150.9;150.9;192.2;7.2;15;241.8;1010.3;947;32.4;26.1;21.6;73;3;.7;59.5;
2013-01-31;14;91.7;124.2;124.2;208.7;6.5;11;203.3;1012.1;948.2;30.2;24.1;19.2;74.5;3;.7;59.2;
2013-02-28;0;73.3;108;108;162.7;7.3;18;246.6;1012.7;948.7;30.5;24;19.9;79.1;3;.5;58.9;
2013-03-31;0;89;105.3;105.3;168.5;7;15;166.1;1013.4;949.2;29.5;23.3;19.1;78.2;3;.9;58.4;
2013-04-30;0;85.1;79.7;79.7;219.1;5.1;8;160.5;1015.8;951;28;21.5;16.4;76.6;3;.7;55;
2013-05-31;0;86.1;63.9;63.9;181.2;5.4;12;159.3;1016.9;951.6;26;19.7;14.8;77.9;3;.4;53.5;
2013-06-30;0;55.3;48.1;48.1;134.2;6.6;16;257.2;1018.2;952.4;23.2;17.9;14.2;88.4;3;.3;51.8;
2013-07-31;0;86;42.8;42.8;231.4;3.6;5;51;1020.7;954.3;24.2;16.6;11.2;78;3;.8;55.5;
2013-08-31;0;118.3;56;42.9;245.6;3.8;null;0;1018.8;952.9;27.4;18.4;11.5;63.2;3;1;56.9;
2013-09-30;0;110.6;79.8;79.8;206;5.2;9;101.2;1016.1;950.9;28.9;21.2;14.9;64.6;5.3;1.1;56.9;
2013-10-31;0;99.7;97;97;197.5;6.6;10;202;1014.4;949.8;29.2;22.2;16.7;67.4;3;1;57.1;
2013-11-30;14;95.8;117.7;115.2;216;6.2;12;94;1012;948;30.8;23.9;18.8;68.9;3;1.3;58.9;
2013-12-31;14;101.1;141.7;138.3;228.6;6.4;10;128.6;1009.8;946.3;32.1;25.5;20.2;69.8;3;.9;59.7;
2014-01-31;0;94.3;142.8;142.8;242.5;5.8;5;196.2;1013.1;949.4;32.1;25.6;20.5;71.6;6;.7;59.8;
