Nome: MARINGA
Codigo Estacao: 83767
Latitude: -23.40527777
Longitude: -51.93277777
Altitude: 542
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;112.8;126.5;126.5;256.4;5.8;15;136.7;949.1;30.3;24.3;19.8;72.6;4;1.3;56.3;null;
2012-02-29;5;136.6;135.7;135.7;243.2;5.4;7;185.1;950.1;32.6;26.1;21;66.6;4;1.3;58.9;null;
2012-03-31;5;159.5;120.4;106.1;268.9;3.6;8;62.8;951.4;31.4;24.8;19.2;62.3;6;1.4;58.1;null;
2012-04-30;5;107.7;86.3;86.3;206.6;5.2;10;152.5;951.4;28.3;22.5;18.2;73.8;6;1.3;57.1;null;
2012-05-31;9;95.7;59.6;59.6;218.4;4.3;6;75.1;954.7;25.1;19.5;15.2;75.4;5;1.4;56.8;null;
2012-06-30;5;74.3;47.9;47.9;169.6;4.9;9;293.4;954.3;23.5;18.3;14.5;82.8;4;1.2;52.9;null;
2012-07-31;5;110.5;49.5;45.3;211.6;4.4;5;19.1;954.9;24.4;18.2;13.4;69.7;7;1.4;56.9;null;
2012-08-31;5;203.3;83.5;43.6;295.8;2.2;2;2.7;956.7;28.6;22.1;17.2;54.3;7;2.1;55.2;null;
2012-09-30;5;222.6;101.8;79.8;275.7;3;6;71.1;953.4;31.1;23.6;17.4;53.1;12;1.7;53.1;null;
2012-10-31;5;195.8;129.4;67.7;228.2;5.4;9;55;950.1;31.9;25.1;20;63.8;7;1.6;56.8;null;
2012-11-30;5;154.2;116.3;105.7;221.8;5.4;10;104.4;948.7;31;24.8;20;67.5;7;1.3;57.8;null;
2012-12-31;5;126.5;152.3;152.3;199.8;6.3;14;171.1;948.6;32.1;26.2;22;74.6;7;1.4;56;null;
