Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;97.6;101;101;127.4;8.6;20;332.6;1012.4;924;27;21.4;17.9;78;5.8;2.6;44.9;
2012-02-29;14;121.8;136.7;136.7;189.4;7.8;14;224.2;1012.1;924.4;30.7;24.5;20.1;71.6;6.1;2.4;48.4;
2012-03-31;14;125.7;105.7;105.7;202.7;7.3;10;187.6;1013.7;925.6;28.8;22.4;18.2;73.2;5;2.6;50.1;
2012-04-30;14;88;81.6;81.6;143.7;8.6;11;155.9;1013.8;925.4;26.9;21.2;17.9;78.3;5.8;2.6;42.4;
2012-05-31;14;84.5;58.1;58.1;165.9;7.1;10;82.7;1017.8;928.5;23.1;18.1;14.6;77.3;5.5;2.7;49.1;
2012-06-30;32;65.8;52.8;52.8;109.5;7.9;10;233.7;1017.4;928.2;22.2;17.8;14.4;81.1;6.6;2.3;37.7;
2012-07-31;32;124.1;54.6;54.6;190.4;5.3;8;74.7;1018;928.6;23.4;17.7;13.3;70.2;5.8;2.4;45;
2012-08-31;5;126.4;66.1;48.5;259.2;4.4;1;.3;1020.9;931.6;25.7;18.9;14.3;65.3;7.5;2.7;54.9;
2012-09-30;14;149;76.9;41.9;195.9;6.7;3;19.2;1017.3;928.4;27.3;20.2;15.4;64.4;7.5;2.8;48.7;
2012-10-31;14;144;100.8;100.8;194.8;7;9;128.3;1013.2;925.1;29.4;22.3;17.5;69.8;6;2.7;45.2;
