Nome: CAMPO MOURAO
Codigo Estacao: 83783
Latitude: -24.08555555
Longitude: -52.38666666
Altitude: 602.17
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2016-12-21
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;113.3;97.4;97.4;256.5;5.7;10;208.2;1009.3;943.6;29.3;22.2;15.7;89.9;6.6;2.1;54.6;
2012-02-29;0;127.7;102.7;100.8;242;6.1;10;82.5;1009.8;944.3;31.9;24;17.1;88.2;8.3;2.2;55.9;
2012-03-31;9;175;86.9;82.1;256.8;3.7;7;68;1011.8;945.6;30.4;21.9;14.5;85.5;8.3;2.7;56.3;
2012-04-30;9;106.8;69.5;69.5;179.3;5.2;9;263;1012.2;945.6;27;20;14.1;90.7;6.6;2;53.7;
2012-05-31;9;97.7;48.1;48.1;198.7;4.7;6;85.1;1016.6;948.8;23.5;17.2;12;90.8;8;2.5;53.8;
2012-06-30;9;49.2;39;39;136;5.9;12;225;1016.3;948.3;21.7;16;11.2;93.6;6.5;2;48.2;
2012-07-31;9;83.2;38.1;38.1;173.2;5.8;7;40.8;1016.9;948.8;22.9;15.6;10.5;90.4;6.3;2.5;52.6;
2012-08-31;9;198.6;67.9;51.2;249.2;4.3;2;4.1;1018;950.7;27.6;19.7;15.6;82.7;8;3.3;51.2;
2012-09-30;9;246.9;85.6;54.1;241.8;5.8;6;32.3;1014;947.6;30;21.6;16.4;78.5;8.3;3.3;55.7;
2012-10-31;9;202.2;106.7;106.7;209.4;6.1;13;111.2;1010.2;944.4;30.7;22.8;16.1;82.6;10;3.2;54.6;
2012-11-30;9;170.3;101.1;63.5;224.5;6.4;15;49.1;1008.8;943;30.1;23.1;17.2;87.3;6.6;2.9;55;
2012-12-31;36;125.7;132.8;132.8;211.4;7;18;250.4;1008;942.7;31.2;24.6;19.7;91.5;7.5;2.6;56.7;
2013-01-31;9;139.7;107.7;107.7;269.7;5.7;10;286.3;1010.1;944.1;29.1;22.6;17.1;79.2;6.5;2.4;54.5;
2013-02-28;9;75;97.2;97.2;162.9;7.4;20;356.2;1010;944.1;28.9;22.8;18.7;83.9;7.5;2.5;53.3;
2013-03-31;14;116.4;94.5;94.5;178.7;6.7;null;308.1;1011.1;945;28.2;22;17.7;83.3;7;2.7;53.2;
2013-04-30;9;83.2;65.8;65.8;214.1;4.6;null;77.8;1013.9;947;26.7;19.7;13.7;90.1;7.1;2.6;54;
2013-05-31;9;55;45.7;45.7;162.3;6;null;180.5;1014.9;947.6;24.4;18;12.5;91.1;6.3;2.3;51.6;
2013-06-30;14;37.1;92.3;92.3;124.4;6.5;null;348.6;1016.3;948.1;null;null;null;95.5;5.3;2.1;45.1;
2013-07-31;9;80.2;36.4;36.4;181.5;3.6;null;71.5;1018.6;950.1;22.4;14.7;8.7;91.6;7.1;2.2;50.7;
2013-08-31;9;172.1;42.2;37.6;null;3.3;null;10.4;1016.6;948.6;24.6;16;9.2;83.8;8.1;3.1;52.3;
2013-09-30;9;186.5;66.6;66.6;null;4.8;null;112.9;1013.7;946.8;27;19.5;12.9;82.3;8;3.1;52.8;
2013-10-31;9;178.9;88.9;88.9;null;5.7;null;162.2;1012;945.6;28.1;21.1;14.4;82.7;11.6;3;53.9;
2013-11-30;5;193.2;115.6;113.6;null;5.1;null;94.9;1009.5;943.8;null;null;17.8;83.3;10;3.7;56.3;
2013-12-31;9;134.4;122.2;116.8;null;6;null;101.8;1007.5;942.1;null;null;18.9;88.2;7;2.6;55.1;
2014-01-31;5;96.5;120.9;120.9;null;5.8;null;219.7;1011.3;945.5;null;null;19;92.1;10;2.3;55.1;
2014-02-28;9;154.6;105;105;null;5.6;null;171.5;1009.8;944.4;null;null;19;87.7;9;2.8;49.2;
2014-03-31;9;127.7;110.4;110.4;null;5.7;null;195.3;1011.2;945.2;null;null;17.5;89.8;7.1;2.7;53;
2014-04-30;9;97.1;100.4;100.4;null;5.6;null;146;1013.3;946.8;null;null;17;91.2;9.6;2.7;52.7;
2014-05-31;9;87.6;98.3;98.3;null;5.5;null;205.4;1015.2;947.7;null;null;13.2;93.1;5.3;2.5;46.8;
2014-06-30;9;76.2;92.3;92.3;null;6;null;325.5;1015.9;948.2;null;null;13;93;7.3;2.8;46.3;
2014-07-31;9;91.3;96.5;96.5;null;3.6;null;110.5;1019.1;950.8;null;null;10.7;91.6;6.8;2.7;47.8;
2014-08-31;9;156.5;101.1;80.9;null;3.2;null;30;1016.6;949;null;null;11.8;86;7;2.4;47.2;
2014-09-30;9;131.6;104;104;null;4;null;240.7;1012.9;946.2;null;null;15;85.8;7.8;3.2;48.8;
2014-10-31;9;216.1;113.9;112.5;null;4.4;null;96.9;1011.9;946;null;null;17;79.3;8.3;3.1;52;
2014-11-30;9;133.8;115.6;115.6;null;6.3;null;187.5;1009.5;943.7;null;null;19.2;85.8;6.6;2.7;54.7;
2014-12-31;9;130.3;122.2;122.2;null;6.8;null;234;1009.4;943.7;null;null;18.6;89.6;8.3;2.9;53.8;
2015-01-31;9;125.3;120.9;120.9;null;6.6;null;367.6;1011.3;945.7;null;null;18.3;89.1;9;2.2;52.4;
2015-02-28;9;92.1;105;105;null;6.6;null;260.2;1010.3;944.4;null;null;17.6;91.4;7.5;2.5;50.7;
2015-03-31;9;134.8;110.4;110.2;null;5.7;null;104;1011.1;945.2;null;null;17.1;90;6.6;2.3;55.4;
2015-04-30;9;126.2;100.4;81;null;4.6;null;36.9;1012.8;946.4;null;null;15.3;86.6;8;2.4;53.4;
2015-05-31;9;83.8;98.3;98.3;null;5.8;null;194.6;1015.7;948.3;null;null;13;90.6;5.1;2.5;47.7;
2015-06-30;9;72.7;92.3;86.8;null;4.3;null;57;1018.5;950.6;null;null;11.6;90;5.8;2.4;48.7;
2015-07-31;9;56.2;96.5;96.5;null;5.7;null;477.1;1016.9;948.8;null;null;11.4;92.2;7.6;2.2;46.9;
2015-08-31;9;158.7;101.1;86.8;null;3.3;null;42.4;1015.4;948.3;null;null;15.2;85.1;6;2.4;53.2;
2015-09-30;36;154.2;104;104;null;4.2;null;267.9;1011.5;945.2;null;null;16.7;86.9;6;2.4;51.1;
2015-10-31;9;173.5;108.6;108.6;null;5.2;null;219.3;1011.4;945.5;30;23.2;18;74.1;8.3;3;49.8;
2015-11-30;5;86.6;102;102;null;7.6;null;493.6;1009.3;943.4;27.5;22.4;18.9;88;6.6;2.5;48.6;
2015-12-31;5;68;118.4;118.4;null;8.2;null;283;1010.6;944.8;28.3;23.3;20;93.2;7.5;2.4;53;
2016-01-31;5;124.5;120.9;120.9;null;5.2;null;167.3;1008.8;943.3;null;null;20;91.2;6;2.6;52.2;
2016-02-29;5;68.4;108.7;108.7;null;7.9;null;270.9;1010.7;945.2;null;null;21.2;93.7;5;2.1;50.3;
2016-03-31;9;137.9;110.2;110.2;null;4.8;null;157.3;1012.6;946.5;null;null;17.7;89.2;5.8;2.3;54.7;
2016-04-30;5;161.2;100.2;95.7;null;4;null;68.4;1012.3;946.4;null;null;17.4;85.7;5.8;2.3;53.5;
2016-05-31;9;80.5;98.2;98.2;null;6.9;null;237.4;1017.2;949.3;null;null;12.9;91.2;6;2.1;50.8;
2016-06-30;14;83.5;92.3;92.3;null;5.6;null;142.1;1019.6;950.9;null;null;9.6;90.5;5;1.9;49.9;
2016-07-31;9;117.2;96.6;89.6;null;3.7;null;56.9;1017.3;949.2;null;null;10.1;87.7;10;2.6;54.6;
2016-08-31;9;96.6;null;null;null;3.9;null;199.7;1016.3;948.4;null;null;11.8;90.5;6;2.2;49.9;
2016-09-30;9;157.5;104.2;91.5;null;3.4;null;49.2;1016;948.6;null;null;11.6;86.8;5.3;2.2;54.2;
2016-10-31;5;171.3;114.1;114.1;null;5.3;null;326.9;1011.8;945.4;null;null;16.1;87.1;8.3;2.9;54;
2016-11-30;14;172.8;115.7;108.4;null;5.3;null;74.8;1009.9;944.2;null;null;16.9;85.4;5.3;2.6;57;
2016-12-31;null;null;null;null;null;null;null;null;1009.6;943.7;null;null;18.3;91.2;5.5;null;null;

