Nome: TAUBATE
Codigo Estacao: 83784
Latitude: -23.0388889
Longitude: -45.5158333
Altitude: 581
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2014-08-10
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;null;null;null;null;1;null;null;null;null;null;null;null;null;null;null;
2012-02-29;null;75.5;119.9;106.3;216.8;5.2;8;62.8;948.4;33.4;24.8;19;null;null;null;22.6;null;
2012-03-31;null;75.7;101.1;101.1;181;6.5;9;112;949.8;30.6;22.8;17.6;null;null;null;22.3;null;
2012-04-30;null;59.9;84.3;72.2;147.1;7.9;10;55.2;949.7;28.9;21.9;17.5;null;null;null;21;null;
2012-05-31;null;60.2;53.5;53.5;182.8;5.7;5;71.8;953.4;25.8;18.1;12.6;null;null;null;28.9;null;
2012-06-30;null;44.2;48;48;125.1;6.8;10;93.8;952.9;24.4;17.8;13.5;null;null;null;11.3;null;
2012-07-31;null;71;42.9;42.8;210.1;3.7;4;39.2;953.5;25.6;16.5;10.3;null;null;null;10.1;null;
2012-08-31;null;90.8;55.8;44.5;257.9;3.5;1;7.6;956.7;27.2;18.1;10.9;null;null;null;29.4;null;
2012-09-30;null;108.3;74.7;38.2;191.9;4.9;3;9.8;953.1;29.7;20.4;13.2;null;null;null;22;null;
2012-10-31;null;120.4;107.6;65.9;198.9;5.5;10;52.8;949.4;32.1;23.1;16.2;null;null;null;20.9;null;
2012-11-30;null;81.5;99.7;76;159.9;7.3;9;71.6;947.7;29.9;22.2;16.7;null;null;null;34.1;null;
2012-12-31;null;80.3;135.7;135.7;161.7;7.3;18;254.8;947;33;25.1;20.1;null;null;null;20.5;null;
2013-01-31;null;null;null;null;null;null;1;null;null;null;null;null;null;null;null;null;null;
2013-02-28;null;63.1;106.6;106.6;139.2;7.4;17;198.4;948.9;32.1;23.9;19.5;null;null;null;13.2;null;
2013-03-31;null;65.9;102.3;102.3;136.3;8.3;18;121.4;949.8;30.1;23;19.1;null;null;null;10.2;null;
2013-04-30;null;58.1;72.1;63.7;130.2;6.5;6;28;951.6;27.7;20.4;15.7;null;null;null;11.7;null;
2013-05-31;null;62.7;59.8;51.2;null;5.7;1;39.4;952.1;26.5;18.8;13.9;null;null;null;10.2;null;
2013-06-30;null;52.3;54.2;34.1;null;6.7;null;18.3;952.7;25.3;18.6;14.4;null;null;null;8.6;null;
2013-07-31;null;65.4;42.2;42.2;171.2;5.7;null;57.8;954.7;24.7;16.4;11.1;null;null;null;9.5;null;
2013-08-31;null;94.3;51.7;23;229.4;3.9;null;2.8;953.7;27.6;17.6;10.6;null;null;null;15.2;null;
2013-09-30;null;95.5;71.4;51.4;181.7;5.7;null;33.8;952.5;29.1;20.1;14;null;null;null;21.9;null;
2013-10-31;null;81.9;87.8;87.8;122.8;7.5;null;96.2;951.2;28.6;21.2;16.4;null;null;null;15.3;null;
2013-11-30;null;81.1;107.7;107.7;153.4;7.3;null;132.4;949.1;30.5;22.7;17.6;null;null;null;22.5;null;
2013-12-31;null;87.6;130.9;105.3;183;8;null;84.6;946.6;32.6;24.4;19.4;null;null;null;31.5;null;
2014-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-02-28;null;122.6;129.7;65.7;214.2;4.8;null;42.4;949.1;36;26.1;19.2;null;null;null;36.5;null;
2014-03-31;null;88.8;117.8;101.3;177.4;7.5;null;98.4;950;32.3;23.7;18.7;null;null;null;21.2;null;
2014-04-30;null;68.3;79.4;57.8;169.1;7.1;null;54.8;951.5;29.1;21.4;16.7;null;null;null;29.4;null;
2014-05-31;null;72.8;57.7;17.4;184.6;6.1;null;13.2;952.1;28.1;18.6;13;null;null;null;30.5;null;
2014-06-30;null;62.8;91.2;21.2;169.3;5.7;null;17.6;953.7;null;null;12.7;null;null;null;25.4;null;
2014-07-31;null;69.4;95.3;29.4;161.7;5.9;null;27.8;956.2;null;null;11.2;null;null;null;17.1;null;
2014-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

