Nome: ANGRA DOS REIS
Codigo Estacao: 83788
Latitude: -23.01583333
Longitude: -44.32972221
Altitude: 17.04
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2017-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;142.5;142.5;null;null;20;217.6;null;28.1;null;20.9;null;null;null;null;null;
2012-02-29;null;null;128.3;114.7;null;null;7;71.2;null;30.3;null;22.2;null;null;null;null;null;
2012-03-31;null;null;130.4;115.1;null;null;12;100.5;null;28.4;null;21.3;null;null;null;null;null;
2012-04-30;null;null;119;108.5;null;null;12;102;null;26.9;null;20.9;null;null;null;null;null;
2012-05-31;null;null;116.8;116.8;null;null;11;191.3;null;24.9;null;17.7;null;null;null;null;null;
2012-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-07-31;null;null;115;89.7;null;null;9;66.7;null;24.1;null;16.6;null;null;null;null;null;
2012-08-31;null;null;120.3;48.4;null;null;6;25.8;null;25;null;16.9;null;null;null;null;null;
2012-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-10-31;null;null;134.8;113.7;null;null;10;106.2;null;26.8;null;19.6;null;null;null;null;null;
2012-11-30;null;null;136.4;131.1;null;null;14;129.6;null;25.4;null;19.9;null;null;null;null;null;
2012-12-31;null;null;143.9;107.8;null;null;12;100.4;null;30.7;null;23.2;null;null;null;null;null;
2013-01-31;null;null;142.5;142.5;null;null;24;831.6;null;28.2;null;21.4;null;null;null;null;null;
2013-02-28;null;null;123.9;123.9;null;null;null;130.2;null;29.9;null;23;null;null;null;null;null;
2013-03-31;null;null;130.7;130.7;null;null;null;457.2;null;28.1;null;22.2;null;null;null;null;null;
2013-04-30;null;null;119.2;116.2;null;null;null;93.5;null;26.3;null;19.7;null;null;null;null;null;
2013-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-06-30;null;null;110;79.8;null;null;null;60.2;null;24.7;null;18.9;null;null;null;null;null;
2013-07-31;null;null;114.9;111.3;null;null;null;109.8;null;23.1;null;16.5;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
