Nome: SANTO ANTONIO DE PADUA
Codigo Estacao: 83805
Latitude: -21.53694444
Longitude: -42.16083333
Altitude: 95
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;87.8;null;null;null;7.3;11;476.1;null;32;25.5;20.8;76.4;null;null;null;null;
2012-02-29;null;119.2;137.6;87.3;null;5.6;5;17.4;null;34.1;26.4;20.5;68.7;null;null;null;null;
2012-03-31;null;114.1;131.2;131.2;null;7.5;9;146.8;null;33;25.8;20.6;72.6;null;null;null;null;
2012-04-30;null;64.5;101;61.4;null;7.3;8;41;null;30.8;24.3;20.1;80;null;null;null;null;
2012-05-31;null;48;60.8;60.8;null;7.8;9;97.6;null;26.6;20.5;16.7;84.6;null;null;null;null;
2012-06-30;null;41.1;59.9;43.8;null;7.5;6;26.2;null;27.1;20.8;17.1;85.5;null;null;null;null;
2012-07-31;null;63.8;52.6;23.9;null;6.5;2;8.1;null;27.9;19.6;14.6;80.6;null;null;null;null;
2012-08-31;null;89.1;61.6;48.9;null;6.8;12;44.5;null;27.7;20.4;15.2;76.9;null;null;null;null;
2012-09-30;null;124.7;85.8;37.3;null;6.3;4;26.7;null;30.9;22.7;16.4;65.7;null;null;null;null;
2012-10-31;null;181.7;127.9;38.5;null;6.6;3;30.3;null;33.8;25.4;19.3;61.6;null;null;null;null;
