Nome: IVAI
Codigo Estacao: 83811
Latitude: -25.01083333
Longitude: -50.85361111
Altitude: 808
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;77.2;107.5;107.5;215.8;6.6;17;189.6;922.1;28.8;21.6;16.7;76.5;3;1.2;54.7;null;
2012-02-29;14;88.1;110.8;110.8;202.2;6.1;11;119.8;923.2;31.1;23.4;18;74.3;3;1.1;57.6;null;
2012-03-31;14;93.6;90.2;86;247;4.3;8;59.5;924.5;29;20.8;15.3;71.7;2;1;56.5;null;
2012-04-30;14;58.4;68.6;68.6;189.3;6.2;9;241;924.1;26.2;18.8;14;80;2;1;55;null;
2012-05-31;14;46.5;47.1;47.1;169.9;6.5;5;59.5;927.4;22.5;15.6;11.6;83.8;3;1.1;49.9;null;
2012-06-30;14;23.4;35.7;35.7;79.6;7.2;16;281.6;926.7;20;14.4;11;89.7;3;1.1;39;null;
2012-07-31;32;50.2;35.9;35.9;142.1;6;11;79.7;926.9;20.3;14;9.7;83.5;3;1.1;51.8;null;
2012-08-31;5;84.9;57;44.9;234.7;4.2;2;3.5;929.7;25.5;17;11.7;73.1;3;1.1;55.2;null;
2012-09-30;14;108.7;67.3;60.5;225.6;4.2;6;52.3;926.5;27;18.4;12;67;8;1.4;56.4;null;
2012-10-31;14;89.7;92.7;92.7;161.8;7.3;10;151.7;923.7;27.6;20.6;15.4;73.3;3;1.2;55.8;null;
2012-11-30;14;83.6;93.4;93.4;182.4;6.8;12;99.6;922.4;27.9;21.2;16.2;73.3;3;1.1;58;null;
2012-12-31;32;74.3;125.8;125.8;177.3;7.6;17;198.6;921.7;29.7;23.5;19.2;80;2;1;56.7;null;
2013-01-31;14;77.4;105.6;105.6;220.1;6.4;13;166.2;923.2;27.9;21.5;16.6;76.8;3;1.1;55.4;null;
2013-02-28;32;51.3;95.5;95.5;148.9;7.8;21;321;923.1;27.7;21.9;18.4;83.6;3;1.1;51.9;null;
2013-03-31;14;53;87.2;87.2;128.3;7.4;15;160.1;924.2;25.6;20.3;16.7;83;3;1.1;54.9;null;
2013-04-30;14;62.3;64.8;64.8;225;4.9;5;153.5;925.7;25.4;18.3;13.3;78.8;2;1;56.8;null;
2013-05-31;32;48.3;50.5;50.5;139;6.2;13;107.5;926;22.7;16.1;12;84;3;1.1;50.1;null;
2013-06-30;5;24.5;40.1;40.1;100.2;7.3;14;422.4;926.4;20.3;14.8;11.2;90.7;3;1;42.6;null;
2013-07-31;14;47.1;33.5;33.5;190.9;4.8;6;120.1;928.5;20.9;12.9;8.1;83.6;3;1.1;52.8;null;
2013-08-31;14;90;45.7;44.5;217.9;4.7;7;30;927;23.9;15;8.8;72.3;4;1.2;56.7;null;
2013-09-30;14;90.3;60.6;60.6;150.1;6.1;11;141.8;926;24.8;17.2;11.8;74.3;3;1.1;53.7;null;
2013-10-31;14;90.5;82.1;82.1;206.9;6.5;10;203.1;924.7;26.6;19.4;14.1;72.4;3;1.1;56.3;null;
2013-11-30;14;92.9;97.5;97.5;168.7;6.7;11;111.1;923.3;27.4;21;16.1;73.7;4;1.3;57.7;null;
2013-12-31;14;94.9;119;117.9;220.1;6.4;10;104.3;921.4;29.5;22.8;17.4;74;3;1.1;58.4;null;
2014-01-31;32;77.6;117.7;117.7;203;6.7;5;234.2;924.3;29.7;22.8;18.4;79.8;2;1;56;null;
2014-02-28;14;92.8;104.5;104.5;182.4;5.5;null;116.3;923.9;29.7;23.2;18.7;74.4;4;1.3;56.3;null;
2014-03-31;14;70.5;93.6;93.6;182.4;6.3;null;147.7;924.3;27.6;21.2;17.2;79.6;3;1.1;56.9;null;
2014-04-30;14;51;72.1;72.1;145;6.7;null;88.3;925.9;25.1;19.4;15.8;82.7;3;1.1;56.5;null;
2014-05-31;14;38.3;46.6;46.6;140.5;6.5;null;158.7;926.2;21.2;15.4;11.9;87.4;3;1.1;43.4;null;
2014-06-30;14;36.8;42.1;42.1;141.6;6.4;null;283.6;926.7;21.4;15.2;11.4;86.5;3;1.1;49.3;null;
2014-07-31;14;47.6;37.4;37.4;165.5;5.4;null;83.2;929.5;20.8;13.9;9.4;83;2;1;53.3;null;
2014-08-31;14;77.2;48;48;205.4;4.1;null;66.7;928.1;23.7;15.5;10.2;77.2;2;1;54;null;
2014-09-30;14;70.5;67.9;67.9;161.2;5.9;null;301.5;925.5;24.7;18.4;14;78;4;1.2;53.6;null;
2014-10-31;14;117.4;93.4;89.1;227.6;5.5;null;62.1;925.6;28.6;20.8;15.4;69.5;4;1.2;58.9;null;
2014-11-30;14;88;99.2;99.2;173;7.3;null;145;922.9;27.9;21.3;16.6;75.2;3;1.1;57.6;null;
2014-12-31;14;74.5;113.3;113.3;141.4;7.7;null;184.6;922.9;27.5;22.2;17.9;79.3;3;1.2;57;null;
2015-01-31;32;83;122.5;122.5;203.4;7.7;null;278.9;924.6;29.9;23.2;18.9;78.1;3;1.1;58.1;null;
2015-02-28;14;55.6;96.3;96.3;138.5;7.7;null;218.8;923.5;28.1;22.1;18.1;82.4;2;1;52.6;null;
2015-03-31;14;65.6;96.1;96.1;166.7;6.8;null;114.5;924.3;28.1;21.5;17.5;79.5;2;1;58;null;
2015-04-30;14;60.5;72.8;72.8;177.5;6.3;null;93.5;925.6;26.2;19.5;15.1;78.5;2;1;56.3;null;
2015-05-31;14;46.2;50.5;50.5;143.4;6.5;null;194.1;927;21.8;16.2;12.7;85.4;3;1.1;52.1;null;
2015-06-30;32;43.3;38.6;38.6;143.7;5.8;null;82.3;928.9;21;14.6;10.5;85.1;3;1.1;50;null;
2015-07-31;32;35.6;40.9;40.9;123.6;6.9;null;403.8;927.3;20.1;14.6;11;86.5;2;1.1;44.9;null;
2015-08-31;5;89.9;58.7;58.6;216.6;4.2;null;54;927.3;25.6;17.3;12.1;73.9;3;1;55;null;
2015-09-30;32;96;72;72;170.4;5;null;195.5;924;25.9;19;14.3;75.4;4;1.1;53.1;null;
2015-10-31;14;70.3;93.4;93.4;134.8;7;null;220.8;924.6;26.7;20.8;16.6;80.7;4;1.1;52.4;null;
2015-11-30;14;44.6;93.3;93.3;50.3;8.6;null;218.7;922.4;25.6;20.6;17.3;85.9;3;1.1;53.7;null;
2015-12-31;32;55.3;113.3;113.3;62;8.1;null;199.8;923.4;27.2;22.3;19;84.6;3;1;52.4;null;
2016-01-31;14;77.5;117.7;117.7;134.5;6.7;null;199.8;922.5;28.6;22.9;18.4;77.1;3;1.1;56.9;null;
2016-02-29;32;null;null;null;96.7;8;null;null;924.6;28.6;23.3;20;null;1;1;52.2;null;
2016-03-31;32;null;null;null;130.4;7;null;null;925.3;26.6;21.1;17.1;null;2;1;53.6;null;
2016-04-30;14;51.9;null;null;196.7;5;null;121.6;926;26.6;20.3;16.1;null;1;1;56.9;null;
2016-05-31;14;null;null;null;105.3;7.6;null;null;928.1;20.2;15.1;11.8;null;1;1;41.6;null;
2016-06-30;32;null;null;null;130;5.8;null;null;929.5;18;11.7;7.8;null;1;1;43.8;null;
2016-07-31;14;null;null;null;null;5.8;null;null;928.6;20.5;13.4;9.1;null;1;1;51.5;null;
2016-08-31;14;null;null;null;139.9;5.7;null;null;927.6;20.9;14.8;10.9;null;2;1;44.8;null;
2016-09-30;14;null;null;null;183.7;4.8;null;null;927.4;25.7;16.5;10.3;null;2;1;54.7;null;
2016-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-11-30;14;null;null;null;190.2;6.7;null;null;923.6;26.6;20.8;16.7;null;10;1.2;56.3;null;
2016-12-31;14;null;null;null;153.5;7.4;null;null;923.7;27.2;21.9;18.3;null;3;1.1;50.6;null;
2017-01-31;14;null;null;null;163.9;7.6;null;null;923.8;28.2;22.6;19.1;null;2;1;55.2;null;
2017-02-28;5;null;null;null;160.8;6.8;null;null;924.1;29;23.1;19.2;null;1;1;52.6;null;
2017-03-31;14;null;null;null;151.3;7.4;null;76.4;925.3;26.9;21.3;17.7;null;1;1;55;null;
2017-04-30;14;null;null;null;136.1;6.6;null;null;926.3;24.5;18.6;15;null;2;1;54.8;null;
2017-05-31;null;null;null;null;null;null;null;null;926.8;null;null;null;null;1;null;null;null;
2017-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-09-30;14;null;null;null;null;4.4;null;null;928.1;29.6;21.1;15.3;null;2;1.1;57.3;null;
2017-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
