Nome: CASTRO
Codigo Estacao: 83813
Latitude: -24.78694444
Longitude: -49.99916666
Altitude: 994.68
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;59.6;95.3;95.3;165.2;7.1;18;147.1;902.5;26.6;19.9;15.8;82;4;1.1;55.4;null;
2012-02-29;0;69.9;98.3;98.3;153.6;7.1;13;135.4;903.6;29.2;21.6;16.8;79.8;3;.7;57;null;
2012-03-31;0;74.3;82.9;82.9;145.8;5.1;7;116.5;904.6;27.3;19.4;14.1;77.4;3;.9;56.7;null;
2012-04-30;0;50.3;65;65;129.6;7;12;352.5;904.3;24.4;17.7;13.7;84.4;3;.8;52.5;null;
2012-05-31;0;43.6;46.9;46.9;134;7.2;9;53;907.3;21.1;14.8;11.1;85.6;3;.8;53.8;null;
2012-06-30;0;17.3;38.2;38.2;84.5;8.2;24;304.2;906.6;18.9;13.6;10.2;90.4;2;.5;41.4;null;
2012-07-31;0;38.9;36.1;36.1;136.7;6.7;12;81.5;906.8;20.1;12.8;7.7;84.5;3;1;54.5;null;
2012-08-31;0;69.1;50.1;46;170;4.6;7;20;909.9;24.4;15.2;9.6;80.2;3;.8;54;null;
2012-09-30;0;78.3;56.4;56.4;80.4;6;1;151.3;906.5;25.5;16.5;10.3;75.4;4;1.1;52.5;null;
2012-10-31;0;66.9;82.2;82.2;75;7.6;16;118;903.7;26.6;18.9;13.6;79.1;3;1;53.6;null;
2012-11-30;9;68.5;82.7;82.7;124.6;7.3;17;119.3;902.4;26.1;19.4;14.8;78.5;3;1;56.1;null;
2012-12-31;0;60.7;116;116;131.1;7.8;20;134.9;901.9;28.8;22.2;17.7;83;3;.9;58.7;null;
2013-01-31;9;62.8;94.4;94.2;135.7;7.5;16;86.9;903.4;26.1;19.8;15.7;82.8;3;1.2;57.8;null;
2013-02-28;0;45.8;88.3;88.3;102.6;8.7;21;272.3;903.4;26.7;20.7;17.2;86.9;3;.9;53.8;null;
2013-03-31;0;49.3;82.3;82.3;109.6;8.1;17;127.4;904.3;24.8;19.3;15.6;86.7;3;1.1;53.4;null;
2013-04-30;0;53.8;63.2;63.2;190.3;5.7;8;96;905.6;25.1;17.4;12.8;82.7;3;.6;53.5;null;
2013-05-31;0;54.1;48.1;48.1;110.1;6.8;11;101.4;906;22.4;15.1;10.1;85;3;.6;47.8;null;
2013-06-30;0;25.1;40.2;40.2;82.8;7.9;22;336.9;906.3;21.7;14.1;10.4;90.6;5;.5;43.1;null;
