Nome: IRATI
Codigo Estacao: 83836
Latitude: -25.50277777
Longitude: -50.63749999
Altitude: 881.69
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;83.7;96.7;96.7;186.9;7.5;18;204.7;1010.4;914.3;26.8;20.1;15.9;81.4;4.5;1.7;57.5;
2012-02-29;9;92.9;98.9;98.9;165.3;7.3;13;121.9;1011.1;915.2;29;21.7;17.3;81.4;3.5;1.4;57.6;
2012-03-31;9;84.2;81;78.3;207;4.9;8;56.7;1012.9;916.4;27;19.2;14.1;77.9;4.1;1.3;59.2;
2012-04-30;9;62.2;62.5;62.5;151.6;7.1;14;214.7;1013;916.1;24.2;17.4;13.4;83.3;6.5;1.5;51.5;
2012-05-31;9;53;44.1;44.1;126.9;6.8;12;112.4;1017.3;919.4;20.4;14.6;10.6;87;4.1;1.4;51.2;
2012-06-30;5;24.6;35.2;35.2;88.2;7.1;21;291.1;1016.4;918.5;17.7;13.2;10.2;91.5;6.3;1.3;42.2;
2012-07-31;36;48.7;35.9;35.9;135.7;7.1;14;117.2;1016.8;918.7;19.4;12.9;8.4;85.2;4.8;1.5;51.6;
2012-08-31;5;81.2;53.5;46.1;214.6;5.3;4;12.5;1019.6;921.8;23.5;15.9;10.9;77.7;5;1.8;54.3;
2012-09-30;9;118.7;58.9;58.9;199.8;6.1;8;76.6;1016;918.6;25.1;16.4;10.3;71.8;7.5;2.2;57;
2012-10-31;9;91.7;82.5;82.5;127;8.4;15;172.3;1012.2;915.6;25.9;19;14.3;79.3;7.8;2;56.4;
2012-11-30;9;98.2;86.3;84.9;169.5;7.6;14;69.4;1010.6;914.4;26.6;19.9;15.4;76.1;7.3;2.2;59.6;
2012-12-31;36;83.3;117.8;117.8;151.8;8.4;19;192.6;1009.3;913.6;28.8;22.3;18.4;82.7;6.5;1.9;58.4;
2013-01-31;9;96.2;96.7;96.7;192.2;7.3;13;146.7;1011.6;915.4;26.7;20.2;15.8;79.3;4.6;2;57.8;
2013-02-28;36;65.3;89.5;89.5;128.2;8.2;20;245.2;1011.2;915.1;26.8;20.9;17.7;85.3;6;1.9;58.5;
2013-03-31;9;60.7;80.4;80.4;103.3;7.8;null;215.7;1012.8;916.2;24.1;19.1;15.8;86.1;5;1.8;55.8;
2013-04-30;9;81;67.7;67.7;191.2;5.4;null;105.9;1014.9;917.6;24.3;16.8;11.8;81.3;6.3;1.5;52.7;
2013-05-31;0;61.6;45.8;45.8;118.3;7;null;85.1;1015.5;917.9;21;14.8;10.8;85.9;4.6;1.2;51.6;
2013-06-30;36;28.9;38.5;38.5;90.4;7.5;null;341.5;1016.1;918.2;18.8;13.9;11;91.3;6.5;1.4;46.1;
2013-07-31;9;56.6;30.8;30.8;157.2;5.4;null;134.4;1018.7;920.2;19;11.8;7.2;85.5;5.6;1.3;50.2;
2013-08-31;5;102.9;40.8;40.8;188.8;5.5;null;44.3;1016.9;918.9;21.8;13.7;8;74.7;5.8;2.1;55.8;
2013-09-30;9;98;51.6;51.6;126.3;6.7;null;206;1015.2;917.8;22.1;15.3;10.5;79.4;5.5;1.7;53.5;
2013-10-31;9;116.4;74.3;74.3;185.1;7.2;null;157.6;1013.4;916.5;24.7;17.9;12.9;75;6.3;2.2;55;
2013-11-30;9;120.6;87.7;87.7;169.7;7.4;null;167.3;1011.7;915.2;25.5;19.4;15;77.5;6.3;2.6;59.7;
2013-12-31;9;106.8;108;101;188.7;7.5;null;68;1009;913.2;27.9;21.3;16.5;77.5;5.5;2.1;58.4;
2014-01-31;36;89.1;108.6;108.6;200;7.3;null;169.4;1012.1;916.1;28.7;21.6;17.3;82;5.8;1.7;57.5;
2014-02-28;9;104.4;94.8;94.8;168.9;7;null;148.7;1012;916;28.8;21.7;17;77.3;5;2;57.2;
2014-03-31;9;83.7;89.3;89.3;169.7;6.9;null;160.8;1012.5;916.1;26.5;20.2;16.3;81.6;5.6;2;56.4;
2014-04-30;9;56;66.4;66.4;110.1;8.3;null;88.3;1014.9;917.9;23.3;18.1;14.9;85.1;4.6;1.7;55;
2014-05-31;0;50.5;43.7;43.7;116.7;7.6;null;123.5;1015.8;918;20;14.4;10.8;88.5;4.3;1.2;47.7;
2014-06-30;36;47;40.4;40.4;116.3;7.1;null;362.3;1016.3;918.5;19.7;14.3;10.9;87.2;5.5;1.7;52.1;
2014-07-31;9;65;36.4;36.4;143.9;6.1;null;37.9;1019.6;921.3;19.6;13.1;8.6;83.7;6.3;1.7;56.1;
2014-08-31;5;93.3;45;45;193.8;4.7;null;42.2;1017.7;919.8;22.5;14.4;8.9;78;8.6;1.6;53.8;
2014-09-30;5;83.4;62.5;62.5;148.7;6.8;null;260.2;1014.4;917.3;23.3;17.1;13.2;81;8.1;2.4;53.9;
2014-10-31;9;137.7;84.6;84.6;199.7;7.5;null;86.4;1014.5;917.7;27.1;19.3;14.3;73;6.6;2.1;57.2;
2014-11-30;9;112.7;92.4;92.4;165.2;7.7;null;115.5;1011.1;914.9;27;20.1;15.6;75.8;6;2.2;59;
