Nome: CURITIBA
Codigo Estacao: 83842
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 923.5
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;74.7;99.7;99.7;199.2;7.1;18;121;1012.7;910.8;26.3;20.4;16.7;79;6.1;2.6;56.7;
2012-02-29;9;74.8;103.2;103.2;176.2;7.3;17;198.8;1013.4;911.7;28.7;22.2;18.4;78.3;5;2.1;54.4;
2012-03-31;14;99;88.1;81;233.3;5.5;8;48;1014.8;912.6;27;20.1;15.6;75.7;5.6;2.2;56.2;
2012-04-30;14;61.7;68;68;160.2;7.3;12;182.9;1015.2;912.6;24;18.3;15.2;82;5.6;2.2;53.9;
2012-05-31;9;45.6;48.4;48.4;134.1;7.2;15;61.8;1019.4;915.8;20.3;15.2;11.9;85.6;6.3;2.1;52.3;
2012-06-30;5;31.6;39.4;39.4;93.6;7.3;22;225.5;1018.8;914.9;18.3;14;11.2;88.3;8;1.9;48.1;
2012-07-31;32;64.7;39.8;39.8;150.7;6.8;17;108.9;1019.1;915.1;19.6;13.6;9.1;81;6.3;2.2;51.2;
2012-08-31;5;73.3;51.1;49.3;234.7;5.1;7;31.5;1022.3;918.5;23.4;15.9;11.3;77.9;4.6;2.2;51.2;
2012-09-30;9;84.8;61.3;61.3;176.2;6.7;1;62.8;1018.5;915.4;24.1;16.8;12.2;75.9;6.1;2.5;52.1;
2012-10-31;9;79.6;84.5;84.5;155.3;7.6;14;160.1;1014.5;912.2;25.7;19.2;14.9;76.8;8.3;2.5;53.7;
