Nome: PARANAGUA
Codigo Estacao: 83844
Latitude: -25.5361111
Longitude: -48.52833332
Altitude: 4.5
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-08-25
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;57.9;131.1;131.1;null;6.4;20;226.5;1010.7;29;24.6;21.4;81.7;null;null;58.8;null;
2012-02-29;5;70.9;137.8;137.8;null;6.7;12;248.9;1010.9;31.1;26.3;23;82.1;null;null;58.7;null;
2012-03-31;5;70.7;117.6;97.5;null;5.9;10;46.7;1012.9;29;24.4;21.1;80.5;null;null;59.2;null;
2012-04-30;14;48;90.7;90.7;null;7;16;202.2;1012.4;27.2;22.8;20.1;84.8;null;null;58.3;null;
2012-05-31;27;43.9;66.5;66.5;null;6.5;15;147.4;1017;25.2;20.3;17.1;86.6;null;null;58.2;null;
2012-06-30;14;19.4;46.9;46.9;null;8.3;17;239.8;1016.9;21.9;17.9;15.3;89.9;null;null;56.1;null;
2012-07-31;14;47.3;45.9;45.9;null;6.7;13;149.5;1017.2;22.5;17.5;14.1;84.6;null;null;57.7;null;
2012-08-31;5;41.2;61;52;null;7.1;6;15.4;1021;24.2;19.3;16;85;null;null;57.8;null;
2012-09-30;5;76.1;71.9;67.8;null;6.9;9;61.5;1016.9;25.1;20.3;17;79.8;null;null;58.8;null;
2012-10-31;5;34.9;96.6;96.6;null;7.8;15;139.9;1012.8;26.2;22.2;19.2;83.7;null;null;57.7;null;
2012-11-30;5;79.7;97.3;97.3;null;7.1;17;127.8;1012.5;26.8;22.9;20;81.7;null;null;58.1;null;
2012-12-31;5;79;150.6;150.6;null;7.6;20;310.5;1008.8;30.7;25.9;22.8;81.9;null;null;58.3;null;
2013-01-31;5;62.8;135;135;null;8.1;20;203;1012.1;null;null;21.3;81.6;null;null;58;null;
2013-02-28;27;83.3;116.8;116.8;null;8;23;275.2;1010.5;null;null;22.8;83.5;null;null;58.1;null;
2013-03-31;9;70.9;122.5;122.5;null;8;21;249.1;1013;null;null;20.7;86.4;null;null;58;null;
2013-04-30;5;75.2;110.9;89.6;null;5.5;8;37.7;1014.8;null;null;18.8;81.4;null;null;59.2;null;
2013-05-31;5;52.9;108.1;94.8;null;6.3;16;84.8;1015;null;null;16.9;83.9;null;null;58.1;null;
2013-06-30;9;33;101.3;101.3;null;7.4;15;253.8;1016.2;null;null;16.5;89.2;null;null;56.8;null;
2013-07-31;9;55.1;105.9;105.9;null;6.9;14;150.5;1019.3;null;null;13.1;86.5;null;null;56.6;null;
2013-08-31;14;69;111.4;87.2;null;6.6;12;32.8;1018.1;null;null;13.5;84.1;null;null;56;null;
2013-09-30;5;66.9;115.1;115.1;null;7.5;12;168;1016.2;null;null;15.7;84.7;null;null;56.1;null;
2013-10-31;5;81.7;126.6;120;null;7.4;16;89.6;1014.7;null;null;17.8;82.1;null;null;58.1;null;
