Nome: SOROCABA
Codigo Estacao: 83851
Latitude: -23.47999999
Longitude: -47.42666666
Altitude: 597.58
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2024-05-17
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;101.2;null;null;165.6;7.4;23;294.5;null;28.3;22.4;18.3;76.3;2;.8;null;null;
2012-02-29;14;124.5;null;null;206.2;6.3;12;107.5;null;31.8;25.5;20.9;69.7;3;.8;null;null;
2012-03-31;14;143.3;null;null;236.4;5;6;62.8;null;30.6;23.7;19.1;69.2;4;1.1;null;null;
2012-04-30;0;72.7;null;null;182.4;5.9;9;140;null;28.4;22.4;18.4;75.6;3;.9;null;null;
2012-05-31;0;93.1;null;null;214.2;4.5;7;40;null;24.8;18.8;14.8;75.8;3;.8;null;null;
2012-06-30;0;57.3;null;null;140.9;5.8;12;222.9;null;23.6;18.2;14.5;83.6;3;.5;null;null;
2012-07-31;0;96.6;null;null;206;4.5;6;83.4;null;24.2;17.2;12.7;75.8;3;.8;null;null;
2012-08-31;0;136.7;null;null;261.4;3.1;0;0;null;27.3;19.6;13.9;65.6;2;.7;null;null;
2012-09-30;0;170;null;null;225.6;3.6;6;22.5;null;28.6;21.2;15.9;65.3;3;1.1;null;null;
2012-10-31;14;161.5;null;null;218.9;5.5;9;92.9;null;31.1;23.7;18.6;66.1;4;1;null;null;
2012-11-30;18;152.8;null;null;205.5;5.9;8;126.3;null;28.7;22.6;18.2;69.7;3;1.2;null;null;
2012-12-31;36;126.7;null;null;187.7;6.9;14;268.1;null;31.3;25.4;21.5;74;3;1;null;null;
2013-01-31;18;112;null;null;145;7.7;15;179.1;null;28.1;22.9;19.6;78.4;3;1.1;null;null;
2013-02-28;0;107.8;null;null;174.1;6.5;14;130.4;null;30.5;24.3;20.5;73.8;5;.9;null;null;
2013-03-31;18;114.7;null;null;165.5;6.7;null;148.6;null;28.7;23;19.6;76.7;3;1;null;null;
2013-04-30;0;105.5;null;null;195.5;5.1;null;90.9;null;26.9;21;17;74.7;3;.8;null;null;
2013-05-31;0;97.4;null;null;170.5;5;null;49.8;null;25.3;19.3;15.1;76.4;3;.6;null;null;
2013-06-30;0;63.5;null;null;126.8;5.6;null;152.3;null;23.9;18.3;14.6;82.5;2;.4;null;null;
2013-07-31;0;85.6;null;null;193.7;3.8;null;49.6;null;23.6;16.8;12.4;77.7;3;.9;null;null;
2013-08-31;0;138.2;null;null;228.5;3.6;null;1.5;null;26.4;18.2;12.3;68.2;4;1;null;null;
2013-09-30;0;138.2;null;null;181.2;4.5;null;65.6;null;27.1;20.3;15.3;72;3;1;null;null;
2013-10-31;18;129.2;null;null;195.6;6;null;88.2;null;27.3;21.4;17.2;69.4;4;1.1;null;null;
2013-11-30;14;138.2;null;null;177;5.7;null;110.2;null;29;23.1;18.7;70.1;3;1.1;null;null;
2013-12-31;18;162.3;null;null;223;5.6;null;100.8;null;31;24.5;20.1;68.2;3;1;null;null;
2014-01-31;14;159.3;null;null;246.3;4.7;null;116.1;null;33.1;25.9;21;73.5;2;.8;null;null;
2014-02-28;36;179.4;null;null;196.7;4.3;null;76.6;null;33.1;26.5;22;62.3;4;.9;null;null;
2014-03-31;0;121.3;null;null;196.9;5.3;null;118.7;null;30;24.1;20.3;73.2;3;.9;null;null;
2014-04-30;0;118.4;null;null;190.3;5.4;null;146;null;28;22;18;74;2;.7;null;null;
2014-05-31;0;96.9;null;null;158.1;5.5;null;36;null;25.3;19.2;15.2;74.6;4;.7;null;null;
