Nome: IRAI
Codigo Estacao: 83881
Latitude: -27.189451
Longitude: -53.253338
Altitude: 255.39
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;121.5;148.6;108.6;280.7;4.3;11;90.4;1008.3;980.6;33.4;25.8;19.5;62.7;4.5;1.8;56.6;
2012-02-29;0;114.2;142.7;100.8;185.5;6.6;9;91.6;1009.6;982.1;34.7;26.7;21.1;66.2;6.6;1.3;55.9;
2012-03-31;14;99.9;105.1;65.7;262.9;3.4;6;60.8;1012.1;984.2;31.8;23;16.8;65.8;4.6;1.2;56.1;
2012-04-30;14;52.5;71.5;71.5;155.6;5.9;16;192.9;1013;984.7;27;20.1;15.4;79.3;5.1;1.2;51.3;
2012-05-31;14;45.6;48.3;47.2;217.2;4.1;21;33.4;1016.9;988;25.2;16.9;11.4;82;3.6;.9;49.2;
2012-06-30;14;33.9;34.7;34.7;153.5;5.5;20;123.8;1016.6;987.7;21.9;15;10.7;83.4;5.6;1;43.8;
2012-07-31;0;null;null;null;131.8;7.1;20;228.1;1017.6;988.4;20.8;13.8;9.8;82;5;1.1;47.4;
2012-08-31;0;81;68.2;52.7;202.6;4.9;9;16.1;1017.8;989.3;27.6;19.6;14.3;70.8;7.6;1.5;53.7;
2012-09-30;0;89.2;74.7;73.5;172.3;5.1;7;72.2;1015.1;986.7;28.2;20.1;13.9;65;11.6;1.6;53;
2012-10-31;0;71.6;96.9;96.9;142.7;6.8;16;281.5;1011.4;983.1;28;21.7;16.9;75.7;5.5;1.5;55.1;
2012-11-30;0;99.5;115.8;114.6;242.1;4.9;8;99.6;1009.5;981.7;31.6;24.3;17.9;65.7;6.6;1.5;57.6;
2012-12-31;0;87.2;151.6;151.6;181.9;6.5;16;319.3;1007.7;980.1;32.1;25.9;20.9;76;5.3;1.4;56.2;
2013-01-31;9;111.5;138;138;273.1;3.9;7;146.6;1011;983.2;32.6;25;18.6;65.4;5.8;1.2;58.4;
2013-02-28;14;63.7;117.1;117.1;187.3;5.1;12;126.2;1009.6;981.9;31.6;24.8;19.7;74;5.8;1.5;56.1;
2013-03-31;14;55.5;91.5;91.5;142.8;6.1;18;316.8;1012.6;984.4;27.6;21.5;17.1;79.5;7.3;1.3;50.8;
2013-04-30;0;51;64.4;64.4;213.9;4.1;20;152.5;1014.7;986;27.8;19.1;13.9;80.8;6.3;.9;46.3;
2013-05-31;0;38.4;47.8;47.8;137.7;6.2;20;98.8;1015.5;986.8;23.8;16.7;12.7;84;5.3;.9;46.7;
2013-06-30;0;22.9;42.4;42.4;85.6;7.6;27;210.1;1016.4;987.4;21;15.8;12.8;89.1;5.6;.9;39.9;
2013-07-31;0;42.1;34.4;34.4;190.2;5.3;18;44.4;1019.1;989.8;22.4;14.5;9.7;81.1;6.3;1;47.2;
2013-08-31;0;54.9;34.7;34.7;159.2;5.6;21;212.9;1017.9;988.6;22.2;14.2;9.1;79.3;7.6;1.5;46.2;
2013-09-30;0;71.2;57.8;57.8;160.8;5.7;13;191.6;1015.4;986.6;25.4;17.8;12.4;76;9.6;1.4;49.9;
2013-10-31;0;71.3;91.2;91.2;180.6;5.9;13;157.7;1012.9;984.7;27.9;21.1;15.8;72;6.6;1.4;54.3;
2013-11-30;0;97.4;123;123;220.2;4.7;9;159.1;1010.2;982.4;31.3;24;18.1;67.8;5;1.5;57.9;
2013-12-31;0;91.5;144.3;144.3;237.2;5.2;14;164;1007.7;980;32.5;25.4;19.8;72.3;7.6;1.2;56.5;
2014-01-31;0;92.6;null;null;222;5.1;4;194.7;1010.1;982.6;32.9;26;21.1;74;6.1;1.4;55.9;
2014-02-28;0;89;129.3;123.7;217.5;5.7;null;93.9;1010.1;982.5;33.5;26;20.7;70;10;1.4;56.8;
2014-03-31;0;61.2;null;null;193.4;5.5;null;208.2;1011.3;983.5;29.6;22.7;18;80.1;8;1;50.9;
2014-04-30;0;54.6;null;null;181.4;4.6;null;249.7;1014.2;985.8;27;20.6;16.3;81.3;15;1;51.9;
2014-05-31;0;42.8;null;null;140.2;6.4;null;207.2;1015.9;987.2;23.4;17;13.1;85.1;4.1;.8;43.4;
