Nome: CAMPOS NOVOS
Codigo Estacao: 83887
Latitude: -27.38388888
Longitude: -51.21611111
Altitude: 962.86
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2017-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;79;99.4;99.4;270.9;5.2;16;224.9;908.4;26.8;20.2;15.6;74.3;8;2.7;59.2;null;
2012-02-29;5;77.9;101;101;217.5;5.5;10;160.2;909.3;28.4;21.8;17.4;73.7;8;2.6;57.9;null;
2012-03-31;5;79.3;82.7;82.7;270;3.4;7;145.3;910.6;26.7;19.3;14.1;68.9;7;2;58.1;null;
2012-04-30;5;65;60.1;60.1;183.9;5.5;11;152.1;910.3;23;16.9;12.8;77.8;8;2.2;57.1;null;
2012-05-31;5;51.4;41.5;41.5;203.4;4.7;5;67.9;914;20.3;13.9;9.5;80.7;9;3.2;54.7;null;
2012-06-30;0;33.2;31.6;31.6;171.1;4.9;9;149.8;912.6;18;12.3;8.1;82.5;7;2;53.5;null;
2012-07-31;27;49.1;30.5;30.5;163.1;6;13;204.3;912.8;16.9;11.7;8.2;81;9;2.7;53.2;null;
2012-08-31;5;74.6;50.1;42;221.8;4.3;7;7;915.7;22.2;15.3;10.6;74.8;9;3.4;55;null;
2012-09-30;5;90;55;55;199.3;4.8;10;95.8;912.5;23;15.7;10.3;67.8;12;3.6;58.4;null;
2012-10-31;9;70.3;73.7;73.7;135;6.6;15;203.7;909.5;23.1;17.7;13.8;77.6;9;3.4;58.6;null;
2012-11-30;9;102;86.4;65.3;237.8;5;9;13.6;908.8;26.8;19.8;14.7;66.6;9;3.7;59.8;null;
2012-12-31;32;79.1;114.4;114.4;185.6;6.4;22;209.9;907.5;27.7;21.9;17.9;77.7;8;2.7;58.6;null;
2013-01-31;5;85.6;96.1;96.1;257.6;4.6;10;111;910.1;26;19.8;14.9;71.8;9;3.2;59.7;null;
2013-02-28;32;49.9;85.1;85.1;157.4;6.2;16;187.2;909.1;25.4;20.1;16.7;82.2;8;2.3;57.4;null;
2013-03-31;5;49.1;72.3;72.3;150.7;6.3;null;213.2;910.6;22.8;17.7;14.1;84.6;12;2.9;54.6;null;
2013-04-30;9;63.3;54.4;54.4;231.8;3.7;null;124.7;912.1;22.6;16;11.1;80;7;2.3;55.8;null;
2013-05-31;32;52.2;42.1;42.1;157.3;5.8;null;102.8;912;19.6;14;9.7;83;8;1.9;53.2;null;
2013-06-30;0;28.9;32.9;32.9;128.6;6.4;null;211.9;912.3;17.3;12.6;9.2;90.8;9;2;49.4;null;
2013-07-31;0;49.5;30;30;205.5;4.6;null;130.8;914.2;17.8;11.5;6.9;81.2;7;2;54.6;null;
2013-08-31;9;59.7;33.6;33.6;181.1;5.5;null;317.6;913.1;18.1;12;7;80.7;8;3;54.1;null;
2013-09-30;9;60.5;46.3;46.3;174.5;6.4;null;292.9;912;20.2;14.2;9.8;81.4;12;3.1;54.6;null;
2013-10-31;9;65.2;62;62;213.2;6;null;210.5;911.3;22.1;16;11;76.7;9;3.1;56.8;null;
2013-11-30;5;90;81.1;81.1;224.2;5.4;null;119.8;909.6;24.6;18.3;13.1;73.7;10;4.2;58.7;null;
2013-12-31;5;89.5;104.8;104.8;254.6;5.3;null;147.5;907.8;27.1;20.8;15.3;72.2;8;2.5;59.1;null;
2014-01-31;32;66.4;110.4;110.4;224.2;5.9;null;241.2;910.6;27.1;21.5;17.1;77.8;7;1.6;58.5;null;
2014-02-28;5;67.7;90.8;90.8;221.7;5.5;null;184.9;910.6;27.5;20.9;16.2;75.6;8;2.5;58.2;null;
2014-03-31;5;50.7;78.6;78.6;206.5;5.8;null;236.1;910.1;24.4;18.7;14.7;82.2;7;2.4;58.2;null;
2014-04-30;5;50.5;61.5;61.5;183.3;5.7;null;142.4;912.2;22.7;17.2;13.6;81.4;7;2.7;57.1;null;
2014-05-31;9;37.2;41.1;41.1;165.8;5.9;null;293.4;912.4;19;13.8;10.2;84.3;8;2.3;55.8;null;
2014-06-30;5;30.5;33.4;33.4;117.4;6.9;null;438.9;912.5;17.3;12.8;9.7;87.4;8;2.7;50.7;null;
2014-07-31;9;47.1;33.1;33.1;173.1;5;null;97.8;915.5;17.6;12.3;8.7;82.3;9;2.9;57.1;null;
2014-08-31;27;72.5;43.5;43.5;231.8;3.9;null;88.7;913.9;21.2;14.1;8.7;72.1;7;2.4;56.2;null;
2014-09-30;5;55.7;56.1;56.1;159.2;6.1;null;268.8;911.5;21.4;15.9;12.1;81.1;9;2.9;56.6;null;
2014-10-31;5;88.5;82.9;82.9;232.1;5.5;null;129.1;911.4;25.5;18.9;14;69.7;9;3;58.8;null;
2014-11-30;5;81.4;88.6;88.6;194.6;5.8;null;231.9;909.2;25.1;19.3;14.8;71.9;9;2.8;58.8;null;
2014-12-31;5;77.5;101.4;101.4;180.5;6.4;null;208.5;908.9;25.8;20.2;16;77.8;8;2.8;58;null;
2015-01-31;32;59.3;107;107;214.3;6.7;null;332.4;910.7;26.7;21.1;17;82.3;7;2.4;58.1;null;
2015-02-28;9;44.3;86.5;86.5;184.1;6.1;null;201.6;909.5;26;20.3;16.2;84;7;1.8;59.2;null;
2015-03-31;5;62.2;85.8;85.8;207.2;5.8;null;113.8;910.8;25.7;19.7;15.6;80.6;8;2.2;57.2;null;
2015-04-30;5;56.5;60.9;60.9;184.6;4.9;null;85.8;912.1;22.8;17.1;13.1;79.3;7;2.5;56.4;null;
2015-05-31;9;38.2;43.1;43.1;155.8;5.8;null;102.5;913;19.1;14.3;11.1;86.9;7;2.4;55.1;null;
2015-06-30;32;44.7;32.9;32.9;170.5;4.9;null;212.6;914.4;18.5;12.6;8.6;83.9;8;2.3;56.1;null;
2015-07-31;5;31.9;35.9;35.9;148.3;6.7;null;383.4;912.7;17.8;12.9;9.3;86.8;8;1.9;53.5;null;
2015-08-31;5;88.3;60.4;60.4;220.5;4.2;null;85;912.9;23.3;16.9;12.3;69.5;7;2.6;58.7;null;
2015-09-30;32;67;57.3;57.3;183.1;5.2;null;405.2;909.4;21.7;16.1;11.6;78.8;9;2.3;55.9;null;
2015-10-31;5;51.2;72.8;72.8;137.7;7.3;null;328.5;910.5;23;17.5;13.5;85;8;3.4;56.4;null;
2015-11-30;5;49.7;81.8;81.8;121;7.7;null;288.1;908.6;23.5;18.5;15.2;83.7;8;3;56.2;null;
2015-12-31;32;59.4;105.7;105.7;140.7;7.4;null;276.4;909.2;25.9;20.9;17.2;82.1;8;2.4;58.6;null;
2016-01-31;5;78.7;111.3;111.3;193.7;5.7;null;199;909.1;27.2;21.6;17.3;75.7;8;2.8;59.2;null;
2016-02-29;32;42.9;100.2;100.2;164.9;6.8;null;225.3;910.1;26.8;21.7;18.4;84.7;7;1.9;58.6;null;
2016-03-31;5;56.2;79.1;79.1;186.7;5.8;null;336.2;911.5;24.2;18.7;15;81.6;8;2.4;57.4;null;
2016-04-30;0;65.8;74.5;74.5;196.3;5.5;null;154.9;911.3;25.2;19.3;15.2;79.3;7;1.6;57.4;null;
2016-05-31;5;32.5;35.7;35.7;127;6.8;null;172.2;913.3;17.5;12.7;9.3;86.5;7;2;54.8;null;
2016-06-30;27;33.4;19.4;19.4;158.9;5.6;null;49.1;914.9;15;9.2;5.4;84;8;1.9;52.6;null;
2016-07-31;9;54.3;31.8;31.8;209.4;4.4;null;92.8;912.8;18.6;12;7.5;78.3;8;2.4;54.5;null;
2016-08-31;9;50.1;40.5;40.5;186.5;5.2;null;192.8;912.4;19.3;13.4;9.3;80;7;2.2;53.8;null;
2016-09-30;9;64.1;43.7;43.7;230;4;null;67.9;913.1;20.7;13.7;8.3;74.4;8;2.8;55;null;
2016-10-31;5;66.1;64.8;64.8;180.4;6.4;null;221.4;910.5;22.6;16.3;12;78.3;8;3.8;58.2;null;
2016-11-30;5;86;80.4;80.4;236.2;5.1;null;87.4;909.6;25.3;18.3;13;70.8;7;3.1;59.1;null;
2016-12-31;5;74.3;98.9;98.9;194.2;6.2;null;240;909;25.4;20.1;15.9;79.7;8;2.5;58.9;null;
2017-01-31;5;61.8;108.7;108.7;224.9;6.2;null;222;909.4;26.7;21.2;17;79.4;8;2.2;58.6;null;
2017-02-28;5;50.9;94.5;94.5;192.7;6;null;158.7;909.6;26.9;21.4;17.3;81.4;7;2.3;58.9;null;
2017-03-31;5;59.9;83.6;83.6;209;5.8;null;152;911.4;25.3;19.3;15.3;82.5;8;2.8;59.5;null;
2017-04-30;5;59;55;55;174;5.7;null;92.1;911.8;22.1;16.1;12.1;81;8;3.5;58.4;null;
2017-05-31;5;39.4;47.9;47.9;123.2;6.8;null;395.6;912;19.8;15.1;11.9;88;8;2.8;50.2;null;
2017-06-30;5;48.2;35.2;35.2;165.4;5.5;null;208.3;913.2;18.8;13.1;9.2;83.1;7;2.8;54.1;null;
2017-07-31;9;72;33.6;32.1;240.2;2.5;null;16;917.2;20;12.4;7.3;73.1;8;2.8;55.9;null;

