Nome: LAGES
Codigo Estacao: 83891
Latitude: -27.802108
Longitude: -50.335567
Altitude: 952.73
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2017-04-02
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;72.1;102.7;102.7;204.7;6.5;13;192.1;908.5;26.8;20.2;15.5;78;7;1.5;28;null;
2012-02-29;36;64.8;104.2;104.2;198.5;6.3;17;195.5;909.2;28.4;21.9;17.4;80.3;4;1.3;27.5;null;
2012-03-31;5;82.2;85.7;81.8;237.7;5;7;56.1;910.4;27.2;19.3;14.2;75.1;4;1.4;29.7;null;
2012-04-30;5;72.6;60.2;60.2;152.5;6.6;13;84.9;910;23;16.4;12.1;80.4;4;1.8;26.1;null;
2012-05-31;5;45.7;42;41.1;162.5;5.7;6;28.9;913.4;19.2;13.3;9.2;85.1;9.4;2;25.1;null;
2012-06-30;5;28.4;31.3;31.3;143.1;5.7;9;148.9;912.1;17;11.6;7.7;88.8;6;1.6;20.2;null;
2012-07-31;5;35.2;27.6;27.6;130.2;6.5;12;154.4;912.1;15.7;10.3;6.2;87;10;2.2;20.6;null;
2012-08-31;5;49.4;49.4;43.4;176.2;6.9;5;12.5;915.8;20.3;14.6;10.7;84.7;6;2.4;15.9;null;
2012-09-30;5;64.3;50.3;50.3;177.1;6.6;11;129.3;912.5;20.6;14.2;9.2;79.4;8;2.7;23.3;null;
2012-10-31;5;52.7;70.4;70.4;118.2;8.1;14;161.5;909.6;21.7;16.6;12.5;84.9;8;2.8;20;null;
2012-11-30;5;85.5;81.1;65.3;221.6;6.7;8;19.1;908.7;25.2;18.5;13.3;78;6;2.6;25.2;null;
2012-12-31;5;76.5;113.9;113.9;121.3;7.4;17;203.5;907.2;27.4;21.4;16.8;82.7;10;2.3;16.4;null;
2013-01-31;5;68.6;92.5;92.5;210.8;6.7;15;195.4;909.5;25;18.9;14;79.7;6;2.3;21.8;null;
