Nome: SAO LUIZ GONZAGA
Codigo Estacao: 83907
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.49
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;201;163.3;66.7;272.9;3.5;6;49.4;982.7;34.8;26.9;20;56.4;8.3;2.9;58.7;null;
2012-02-29;14;165.7;153.9;54;183.3;5.4;10;48.7;983;35;27.6;22.3;61.5;7.1;2.6;59.8;null;
2012-03-31;14;170.2;118.7;64.1;270;2.8;5;62.9;985.8;32.1;24.4;18.3;58.9;5;2.3;57.8;null;
2012-04-30;14;113.5;71.2;71.2;206.6;3.8;9;94.2;986.3;27.3;20.2;15.2;69.9;8.3;2.3;55.4;null;
2012-05-31;9;103.5;61.1;25.1;222.7;3.1;4;16.2;989;25.8;19;14;65.7;4.3;2.5;58.9;null;
2012-06-30;14;66.6;36.6;36.6;150;4.8;8;59.8;988.8;21.3;15.5;11.6;76;7;2.5;52.1;null;
2012-07-31;9;76.6;28.6;28.6;179.6;4.5;9;81.1;989.4;19.8;13.5;9;74.5;8;2.8;52.8;null;
2012-08-31;5;113;67.1;67.1;172.3;4.8;9;82.2;990;25.6;19.6;15.4;70;5.8;3.2;56.6;null;
2012-09-30;9;110.8;67.8;67.8;167.2;5.2;7;113.4;988;25.7;19.2;14.4;68;6.6;3.4;56.4;null;
2012-10-31;5;94.4;90.8;90.8;144;5.7;16;454.4;984.3;26.6;21;16.9;76.7;7.6;3;53.1;null;
