Nome: CRUZ ALTA
Codigo Estacao: 83912
Latitude: -28.6261111
Longitude: -53.61388888
Altitude: 475.52
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;163.2;132.6;70.6;306.7;3.5;9;52.5;957.1;31.8;24.2;18.1;72.1;4;2.1;57.7;null;
2012-02-29;18;145.6;127.9;86.4;225.5;5.6;8;80.9;958.2;32.6;25.3;20.2;76.9;4;2.1;57.6;null;
2012-03-31;9;144.4;99.4;59.4;275.3;3.3;5;56.2;960.6;29.4;22;16.4;76.9;4;1.8;56.8;null;
2012-04-30;14;111;63.8;63.8;214;4.3;10;66;960.7;25.3;18.6;14.1;82;3;1.9;54.1;null;
2012-05-31;9;114.7;51.8;23.4;236.1;3.4;5;21.2;963.4;24.3;17;12;77.9;4;1.8;55.1;null;
2012-06-30;18;66.2;32.7;32.7;172.2;4.8;8;54.7;963.6;19.9;13.9;9.9;79.5;4;1.9;50.2;null;
2012-07-31;14;82.4;25.8;25.8;178.4;5.4;10;194.4;963.6;17.9;11.9;7.8;78.6;5;2;50.1;null;
2012-08-31;5;106.8;58.2;58.2;198.7;5.7;8;68.9;965;23.9;17.7;13.4;74.2;4;2.2;51.5;null;
2012-09-30;9;105.1;57.5;57.5;190.2;5.4;10;218.4;962.6;23.6;17;12.2;72.7;7;2.5;52.3;null;
2012-10-31;5;103.2;82.2;82.2;168.6;6.4;14;302.8;959;25.5;19.5;15.2;75.8;6;2.2;50.3;null;
2012-11-30;14;184.3;104.4;100.7;291.2;4.4;7;75.9;958.4;29.9;22.8;16.7;59.4;4;2.4;57.6;null;
2012-12-31;9;124.5;132.1;132.1;230.6;5.9;16;442.5;956.6;29.9;24.1;19;74.3;5;2.1;54.1;null;
2013-01-31;9;137;115.2;115.2;303.6;3.8;6;117.7;958.9;29.2;22.6;17;74.8;3;2.1;57.4;null;
2013-02-28;14;92;98.3;98.3;225.2;5.2;11;130.8;958;28.8;22.5;17.9;84.5;3;2;55.6;null;
2013-03-31;9;76.8;79;79;184.1;5.7;10;200.3;960.7;25.3;19.6;15.5;85.7;5;2.2;53.4;null;
2013-04-30;9;65;66.7;66.7;245.2;3;8;138.2;962;26.2;19;14.1;85.4;4;1.8;55.3;null;
2013-05-31;9;57.3;99.6;99.6;160.6;5.6;8;174.2;962.1;21.3;null;null;91.5;4;2;51.3;null;
2013-06-30;18;49.8;32.1;32.1;138.1;6.1;18;72.6;962.8;19.1;13.7;10;93.8;4;1.9;48;null;
2013-07-31;9;74;29.7;29.7;204;4.4;9;73.7;965.1;19.3;12.9;8.2;89.7;4;1.9;54.9;null;
2013-08-31;18;78.2;28.3;28.3;188;5.3;13;186.1;964.4;18.5;12.2;7.6;90.8;5;2.3;51.3;null;
2013-09-30;5;93.5;48.7;48.7;178.2;5.4;13;138.6;962.6;21.6;15.8;11.1;89.3;4;2.2;51.1;null;
2013-10-31;9;116.2;74.1;74.1;241.5;5.5;11;146.8;961.3;25.6;18.6;13.3;87.4;4;2.4;54.2;null;
2013-11-30;14;119.4;103.3;103.3;256.8;4.8;10;124.2;958.5;29.3;21.8;16.1;86.1;4;2.5;55.8;null;
2013-12-31;9;161.4;139.7;137.1;294.3;4.4;9;115.9;956.8;31.8;24.7;18.8;86;4;2.1;57.5;null;
2014-01-31;32;114;135.8;135.8;274.8;5.1;3;202;958.4;30.6;24.6;19.9;90.4;4;1.9;54.8;null;
2014-02-28;5;128.8;114.1;114.1;234.1;5.2;null;120.1;959.2;31.1;24.4;19.5;88.8;5;2.2;54.8;null;
2014-03-31;9;105.4;91.9;91.9;233.2;5.2;null;151.9;959.9;27.6;21.2;16.5;90.2;4;2.1;53.5;null;
2014-04-30;14;103.1;69.4;69.4;220.1;4.8;null;167.9;962.4;25.6;19.4;15.1;91.3;5;2.3;54.1;null;
2014-05-31;9;52.7;43.4;43.4;164.8;6;null;255.8;962.9;20.8;15.3;11.7;94.5;5;1.8;44.7;null;
2014-06-30;14;43.7;32.7;32.7;106.2;7;null;396;962.7;18.7;13.9;10.7;95.2;7;2.2;44.6;null;
2014-07-31;9;72.6;35.8;35.8;190.6;4.5;null;205;966.4;20.2;14.2;10.1;93.3;4;2;50.4;null;
2014-08-31;9;100.9;46.6;46.6;229;3.7;null;81;964.2;22.5;15.8;10.7;90.3;4;2.2;53.3;null;
2014-09-30;9;73.9;58.7;58.7;146.9;6.6;null;360.1;960.6;22.9;17.5;13.5;93.4;5;2.4;50.3;null;
2014-10-31;9;130.7;91.1;91.1;201.6;6.2;null;277.8;961.2;27.7;20.8;15.8;89.8;5;2.4;51.3;null;
2014-11-30;9;157.4;109.8;107.8;264.4;4.5;null;88.9;959.3;29.4;22.5;17;86.4;4;2.4;56.2;null;
2014-12-31;9;131.2;121.7;121.7;226;5.8;null;179.5;958.6;29.1;23;18.4;87.8;5;2.3;55.3;null;
2015-01-31;9;89.7;123.2;123.2;237.4;6.3;null;305;958.9;29.4;23.3;19.2;90.4;4;1.9;52.6;null;
2015-02-28;14;80.8;105.2;105.2;242.3;5;null;152;959.4;29.3;23.2;18.9;87.8;4;2.2;55.2;null;
2015-03-31;9;112.8;103.2;103.2;235.5;5;null;115;960.8;29.2;22.4;17.8;86.4;4;2.1;54.5;null;
2015-04-30;9;93.5;70.8;70.8;210.6;4;null;227.4;962.2;26.3;19.6;15.3;87.2;4;2.2;52.1;null;
2015-05-31;9;65.6;49;49;159.8;5.5;null;227;963.7;22.1;16.5;12.9;92;4;2;51.5;null;
2015-06-30;9;63.2;37;37;164.2;5;null;284.6;964.9;20.3;14.8;11;92.5;5;2;51.2;null;
2015-07-31;9;44.2;34.8;34.8;104.3;7.4;null;272.9;963.5;19;14;10.6;94.2;5;1.9;48.1;null;
2015-08-31;36;118.3;64;64;191.2;5.9;null;94.6;962;24.9;18.6;14.6;85.6;4;2.2;54;null;
2015-09-30;14;99.6;56.1;56.1;203.2;5.5;null;169.8;958.9;23.8;17;12.5;86.7;4;2.1;53;null;
2015-10-31;14;100.4;76.4;76.4;171.3;7;null;213.5;959.8;24.8;18.9;14.7;null;5;2.4;48.5;null;
2015-11-30;9;102;91.7;91.7;165;6;null;208.5;957.5;26.4;20.5;16;null;5;2.3;51.7;null;
2015-12-31;9;86.6;117.6;117.6;161.2;6.8;null;490.9;957.3;27.9;22.6;18.8;null;4;1.8;47.1;null;
2016-01-31;9;131.3;140.1;140.1;262.3;3.9;null;212.9;957.4;30.9;24.9;20;null;4;2;54.7;null;
2016-02-29;14;null;null;null;200.3;5.4;null;91;958.3;30.5;24.4;20.2;null;4;1.6;52.7;null;
2016-03-31;14;null;null;null;183.9;5.1;null;267.6;960.4;27;21.1;17;null;5;2;48.5;null;
2016-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-05-31;14;null;null;null;115.6;6.4;null;null;964.5;19.1;13.9;10.8;null;3;1.8;49.1;null;
2016-06-30;9;null;null;null;142.9;4.9;null;null;966;17.4;11.1;6.8;null;3;1.6;46.4;null;
2016-07-31;9;null;null;null;144;5.2;null;null;962.9;19.4;13.2;9.3;null;4;1.9;49.8;null;
2016-08-31;14;null;null;null;181.7;4.7;null;55;962.1;21.6;15.5;11.3;null;4;1.8;50;null;
2016-09-30;14;null;null;null;203.4;3.7;null;55.8;963.5;22.3;15.3;9.9;null;5;2.1;52.1;null;
2016-10-31;14;null;null;null;224.5;5.9;null;null;959.3;24.9;18.7;14.6;null;3;2.1;51.3;null;
2016-11-30;14;null;null;null;225;3.9;null;null;959;28.1;21.2;15.6;null;4;1.8;54;null;
2016-12-31;14;null;null;null;209.3;4.9;null;null;957.5;29.7;23.6;19;null;4;1.9;55.6;null;
2017-01-31;14;null;null;null;209;4.5;null;null;958.1;29.3;23.6;19.4;null;3;1.9;53.3;null;
2017-02-28;14;null;null;null;188.6;5.7;null;122.6;958.1;30.2;23.9;19.8;null;3;1.6;52;null;
2017-03-31;14;null;null;null;217.3;4.4;null;null;960;28.8;22.2;18;null;3;2;53.3;null;
2017-04-30;14;null;null;null;164.4;5.1;null;null;961.3;24.2;18.5;14.6;null;4;1.9;50.6;null;
2017-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-06-30;5;null;null;null;146.1;4.6;null;null;963;20.1;14.6;11.1;null;4;1.7;49.2;null;
2017-07-31;5;null;null;null;201.2;1.9;null;null;967.6;22.6;15.2;10.7;null;3;1.5;54.3;null;
2017-08-31;5;null;null;null;210.1;3.9;null;null;961.3;23.3;16.4;11.8;null;5;2;49.8;null;
2017-09-30;14;null;null;null;149;6.3;null;null;962.6;26.2;19.8;15.9;null;4;2.2;48.7;null;
2017-10-31;27;null;null;null;158;6.1;null;null;958.4;25.5;19.5;15.2;null;5;1.9;50;null;
2017-11-30;14;null;null;null;null;3.7;null;null;957.7;28.7;21.7;16.1;null;3;2;52.9;null;
2017-12-31;14;null;null;null;249.3;4.2;null;null;956.9;30.8;24;18.6;null;3;1.7;55.8;null;
2018-01-31;14;null;null;null;null;4.6;null;null;957.6;28.9;23.3;19.4;null;3;2;52.2;null;
2018-02-28;14;null;null;null;null;3.2;null;null;958.7;28.8;22.3;17.7;null;3;2;53.8;null;
2018-03-31;14;null;null;null;null;5.5;null;null;958.5;27.9;21.7;17.3;null;3;2.1;50.7;null;
2018-04-30;14;null;null;null;179;3.8;null;null;962.2;28.8;22.1;17.9;null;3;1.8;50.8;null;
2018-05-31;5;null;null;null;141.6;4.4;null;null;962.8;23.6;17.3;13.7;null;4;1.9;48.3;null;
2018-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-07-31;14;null;null;null;109.3;6.5;null;null;963.8;18.5;13.1;9.9;null;3;1.8;40.6;null;
2018-08-31;9;null;null;null;148.8;4.6;null;null;964.1;18.5;12.7;8.7;null;3;2;48.2;null;
2018-09-30;9;null;null;null;151.5;4.7;null;null;959.9;23.6;18;14;null;6;1.9;49.9;null;
2018-10-31;14;null;null;null;165.1;6.5;null;null;959.4;25.5;19.5;15.3;null;4;2.3;50.4;null;
2018-11-30;14;null;null;null;213.7;4.8;null;null;958.3;29.4;22.9;17.9;null;4;2;55.6;null;
2018-12-31;14;null;null;null;null;4;null;null;958.3;30;23.4;18.7;null;3;1.9;54.4;null;
2019-01-31;9;null;null;null;187.9;6.3;null;null;958.8;30.8;25.1;21.2;null;6;1.8;51.5;null;
2019-02-28;14;null;null;null;213.5;4.2;null;177.7;958.7;29.4;23.1;17.9;null;3;1.8;50.8;null;
2019-03-31;14;null;null;null;195.5;4.5;null;null;960.3;27.5;21.4;17.1;null;3;1.9;50.1;null;
2019-04-30;14;null;null;null;166.5;5.6;null;null;960.2;27.1;21.1;17.2;null;3;1.8;50;null;
