Nome: LAGOA VERMELHA
Codigo Estacao: 83916
Latitude: -28.22249999
Longitude: -51.51277777
Altitude: 833.73
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;141.5;106.7;105.2;243.4;5.6;10;102;918.9;27.7;21.1;15.9;69.3;null;null;38.9;null;
2012-02-29;null;135.8;107.1;107.1;203;6;12;127.6;919.6;29.7;22.6;17.7;72.5;null;null;36.8;null;
2012-03-31;null;136;84.9;79.8;249.5;4.1;8;62.3;921.2;26.8;19.7;14.3;67.4;null;null;37.7;null;
2012-04-30;null;79.6;60.4;60.4;174.2;5.6;11;62.6;920.8;23.5;17.2;12.7;72;null;null;35.4;null;
2012-05-31;null;16.8;44.7;41.8;197.4;5.1;6;35.6;924.3;21.2;14.6;9.9;73.5;null;null;38.5;null;
2012-06-30;null;62.3;31.6;31.6;157.6;5.4;11;173.8;923.1;18.3;12.5;8.3;79.5;null;null;35.1;null;
2012-07-31;null;71.8;27;27;151.8;5.7;12;248;923.2;16.6;11.1;7.1;80;null;null;35.6;null;
2012-08-31;null;120.9;52.5;49;202.9;6;6;24.9;926.1;22.1;15.7;11.2;72.4;null;null;31.2;null;
2012-09-30;null;129.8;54.8;54.8;181.2;6.5;9;160.4;923.2;22.3;15.6;10.7;69.8;null;null;32.9;null;
2012-10-31;null;106.5;75.8;75.8;144.2;7.2;14;171.8;919.9;23.5;18;13.5;75.6;null;null;38.6;null;
2012-11-30;null;108.3;88.3;83.6;236;5.7;5;55.9;919.5;27.3;20.1;14.3;62.1;null;null;43.3;null;
2012-12-31;null;48.9;117.9;117.9;196.6;6.6;13;125.6;917.7;28.4;22.2;17.4;74.3;null;null;40.4;null;
2013-01-31;null;98.2;99.9;99.9;260.8;5.4;9;131.4;920.2;26.9;20.3;15;68.1;null;null;45.2;null;
2013-02-28;null;85.3;89;89;156.3;7.3;15;115.8;919.4;26.7;20.7;16.6;78.5;null;null;40;null;
2013-03-31;null;32.1;70.9;70.9;126.8;7;1;202.3;921.2;23.1;17.6;13.7;81;null;null;35.1;null;
2013-04-30;null;102.3;57.6;57.6;212.4;3.9;null;70;922.4;23.7;16.7;11.8;72.6;null;null;31.8;null;
2013-05-31;null;75.5;40.7;40.7;149.3;6.4;null;107.9;922.2;19.9;13.9;9.6;77.8;null;null;33.5;null;
2013-06-30;null;45.1;32.9;32.9;117.2;7;null;162.8;922.6;17.8;12.7;9.2;86;null;null;27.6;null;
2013-07-31;null;80.1;29.1;29.1;192.9;4.7;null;60.5;924.8;18;11.5;6.9;75.5;null;null;32.9;null;
2013-08-31;null;86;30.9;30.9;162.8;5.7;null;347.3;923.6;17.9;11.5;7.1;78.6;null;null;28.3;null;
2013-09-30;null;104.4;47.7;47.7;156;6;null;186;922.6;20.7;14.6;10.1;74.3;null;null;30.5;null;
2013-10-31;null;118.5;65.2;65.2;200.2;6;null;197.2;921.5;22.6;16.5;11.7;71.2;null;null;35;null;
2013-11-30;null;164.3;87.4;87.4;231.4;5.5;null;131;919.7;26.2;19.3;14.2;67.6;null;null;41.8;null;
2013-12-31;null;168.2;115.1;106.7;255.8;5.1;null;71;917.8;28.8;22;16.6;66.8;null;null;38;null;
2014-01-31;null;111.6;118.2;118.2;217.7;6;null;179.2;920.4;28.7;22.4;17.7;75.3;null;null;38.4;null;
2014-02-28;null;133.7;97.2;97.2;219.4;5.9;null;223.2;920.8;29.3;22;17.1;72.7;null;null;37.1;null;
2014-03-31;null;94.4;81.5;81.5;172.4;6.6;null;251.4;920.7;25.1;19.2;15;80;null;null;38.1;null;
2014-04-30;null;90.9;61.8;61.8;165.4;6.2;null;143.1;922.7;23.1;17.4;13.6;79.2;null;null;38.8;null;
2014-05-31;null;61.7;41.7;41.7;158.1;6.2;null;231.4;922.8;19.6;13.9;10.2;82.6;null;null;32.8;null;
2014-06-30;null;46.7;33.4;33.4;97.5;7.4;null;361.2;922.6;17.6;12.9;9.7;86.8;null;null;29.8;null;
2014-07-31;null;79.9;34;34;179;5.2;null;66.9;925.7;18.6;12.7;8.8;79.1;null;null;37.2;null;
2014-08-31;null;116.2;43.1;43.1;215.4;4.3;null;143.7;924.1;21.3;14.1;8.7;70.6;null;null;30.6;null;
2014-09-30;null;94.6;57;57;127;7.2;null;281.9;921.4;21.9;16.3;12.3;79.4;null;null;28.7;null;
2014-10-31;null;105.3;81.5;81.5;180.7;6.5;null;141.8;922.3;26.1;18.8;13.6;71.8;null;null;33;null;
2014-11-30;null;74.6;92.1;92.1;204.6;5.9;null;101.6;919.8;26.9;19.9;14.8;69.7;null;null;39.6;null;
2014-12-31;null;130.2;107.1;107.1;166.3;7;null;187.4;919.3;27.6;21;16.2;75.5;null;null;40.4;null;
2015-01-31;null;66.9;111.1;111.1;194.7;7.4;null;206.6;921;28.1;21.5;17.1;80.3;null;null;38.4;null;
