Nome: BOM JESUS
Codigo Estacao: 83919
Latitude: -28.66944443
Longitude: -50.44194444
Altitude: 1047.5
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;64.9;93.1;93.1;232.5;6.1;18;155.3;897.1;25.1;18.5;14.1;77.1;8.7;3.9;49.5;null;
2012-02-29;32;67.1;97.3;97.3;182.9;5.9;17;141.1;897.9;27;20.6;16.4;78.1;9.9;3.4;47.7;null;
2012-03-31;32;76.6;77.9;68.8;254.9;3.9;6;32;899;25.1;17.7;12.8;75.2;12.3;3.5;48.5;null;
2012-04-30;23;54.8;55.2;52.1;164.7;5;11;47.4;898.5;21.6;15.1;11;78.7;9.4;3.8;47.7;null;
2012-05-31;5;54;42.7;42.7;208.5;4;7;46.4;901.5;20.1;12.9;7.6;75.7;12.6;3.3;48.3;null;
2012-06-30;32;45.8;31.1;31.1;143.9;4.8;10;142.8;900.3;17.5;11;6.7;79.9;8.3;3.1;42.1;null;
2012-07-31;32;50.2;27.5;27.5;147.4;5.5;15;287.9;900.2;15.5;9.8;5.6;80.8;11.3;3.6;44.1;null;
2012-08-31;5;74.3;52.2;51.6;212.9;4.7;6;41;903.7;21.3;14.4;9.7;72;14.2;4;49.7;null;
2012-09-30;5;70.5;50.7;50.7;171.5;5.2;10;215.6;900.8;20.3;13.7;8.9;74.7;12.7;4.3;45.9;null;
2012-10-31;5;70.7;74.5;74.5;151.2;5.8;13;148.2;897.8;22.3;16.6;12.5;77.1;15.6;4.1;48.8;null;
2012-11-30;9;87.3;77.7;77.7;228.1;4.6;9;78.2;897.6;24.6;17.5;12.5;71.1;8.2;3.8;51.1;null;
2012-12-31;32;78.1;108.1;108.1;180.4;6;20;204.9;895.9;26.5;20.3;15.9;78.2;16.8;4.2;46.1;null;
2013-01-31;14;72.1;90.1;90.1;225.6;5;12;116.1;898.3;24.6;18.1;13.7;77.7;10.4;3.7;51.3;null;
2013-02-28;32;48.4;82;82;158.4;6.7;19;212.1;897.7;25;18.9;15.3;83;8.4;3.7;46.5;null;
2013-03-31;32;46.2;68.5;68.5;144.7;7.2;21;211.1;899;21.7;16.4;13.1;84.8;7.6;3.5;42.4;null;
2013-04-30;9;65.6;54.2;53.9;219.5;3.2;7;45.4;900;21.6;14.9;10.2;79.4;7.9;3.2;48.7;null;
2013-05-31;32;51.8;40.9;40.9;159.1;5.1;9;75.3;899.7;19;12.5;8.2;83.1;11.3;3.3;45.3;null;
2013-06-30;32;30.8;31.6;31.6;121.9;6;18;136.4;899.9;16.5;11.2;7.4;89.4;8.4;3.2;40.8;null;
2013-07-31;32;52.9;28.8;28.8;209.8;4.4;8;98.4;901.8;16.9;10;5.1;81.9;14.2;3.3;43.4;null;
2013-08-31;32;58.8;32.3;32.3;174.8;5.4;15;415.5;900.7;16.7;10.6;6;82.1;13;3.6;43.3;null;
2013-09-30;5;65.3;48.4;48.4;167.4;5.7;15;232.1;899.9;19.6;13.4;9;78.4;9.3;3.5;45.4;null;
2013-10-31;5;58;60.3;60.3;190;5.4;14;148.7;899.1;20.8;14.5;10;77.7;8.4;3.8;46.1;null;
2013-11-30;5;81.8;81;81;232.6;4.2;12;142.4;897.8;24.4;17.3;12.4;74.7;15.7;4.3;49.4;null;
2013-12-31;9;84;101.1;101.1;247.4;4.8;13;131.2;896.2;26.6;19.5;14.6;77.2;7.1;3.9;49;null;
2014-01-31;32;78.4;112.3;112.3;226;5.6;4;229.7;898.6;27.2;20.9;16.5;76.7;15.2;3.9;48.2;null;
2014-02-28;5;81;94.6;94.6;193.8;5.6;null;195;898.8;27;20.8;16.2;74.1;12.9;3.9;47.7;null;
2014-03-31;5;51.8;78.1;78.1;177.1;6.2;null;173.2;898.7;23.7;17.6;13.6;82.6;9.8;3.4;44.8;null;
2014-04-30;5;46.8;58.1;58.1;173.6;6;null;100.1;900.4;21.2;15.6;11.8;81.8;11.2;3.5;46.6;null;
2014-05-31;23;35.2;41.4;41.4;164.6;5.7;null;146;899.8;18.2;12.6;9;85.2;9.8;3.3;40.3;null;
2014-06-30;5;33.2;33.3;33.3;115.7;6.4;null;346.9;900.1;16.5;11.5;8.1;85.6;12.7;3.8;40.4;null;
2014-07-31;5;42;34;34;167;5;null;82;902.8;16.9;11.2;7;82.1;9.6;3.7;46.9;null;
2014-08-31;32;77.4;43.3;43.3;233.5;3.5;null;132.7;901.4;20.2;12.9;7.2;72.8;15.2;3.5;47.6;null;
2014-09-30;32;56.4;55.5;55.5;147;5.5;null;216.7;899;20;14.7;10.7;82.7;12.4;4.3;45.7;null;
2014-10-31;5;72;76.4;76.4;186.3;4.9;null;238.4;900.2;23.3;17.1;12.6;79.5;7.3;3.4;47.2;null;
2014-11-30;14;66.8;82.4;82.4;203;5.3;null;142.8;897.9;23.8;17.6;13.1;76.8;7.2;3;45.9;null;
2014-12-31;32;70.8;99.6;99.6;171.9;5.8;null;212.2;897.4;25.1;19.2;14.7;82.5;7.5;2.3;46.2;null;
2015-01-31;32;68.6;106.8;106.8;191.9;6.8;null;200.3;898.9;26.1;20.2;16.2;84.4;6.4;2.1;44.2;null;
2015-02-28;14;51.2;86.6;86.6;191.8;6.5;null;124.5;898;25.6;19.5;15.6;83.6;4.8;1.6;46.9;null;
2015-03-31;23;55.4;82;82;197.7;6.2;null;105;899.1;23.9;18.2;14.4;81.7;3.2;1.4;48.2;null;
2015-04-30;9;44.6;58.1;58.1;188.7;5.2;null;127.4;900.4;21.1;15.6;11.7;82.8;2.8;1.3;45.5;null;
2015-05-31;5;39;42.8;42.8;144;5.9;null;132.9;901;18.3;13.1;9.6;85;3.6;1.6;43.5;null;
2015-06-30;32;47;32.8;32.8;150.2;4.5;null;154.2;901.8;17.6;11.4;6.7;82.1;3.9;1.6;46.7;null;
2015-07-31;32;35.4;37.1;37.1;131.1;6.3;null;310.9;900.3;16.8;12;8.4;87.3;8;1.9;42.8;null;
2015-08-31;32;74.6;59.2;58.9;196;3.8;null;52.4;900.8;21.9;15.7;11.4;73.9;7.2;1.9;47.7;null;
2015-09-30;5;57.2;52.2;52.2;134.2;6.3;null;328.4;897.5;20;14.1;9.8;81.1;6.5;1.6;44;null;
2015-10-31;5;50.6;67.9;67.9;135;6.4;null;377.3;898.8;21.3;15.7;11.6;84;8.2;1.6;43.6;null;
2015-11-30;9;49.3;75.6;75.6;125.9;6.7;null;142.4;897;22.1;16.6;12.9;83.6;6;1.9;49;null;
2015-12-31;32;54.7;103.4;103.4;111.5;6.9;null;253.9;897.4;25.1;19.8;15.9;83.5;5.4;1.8;45.2;null;
2016-01-31;9;75.8;106;106;198.1;5.4;null;166.5;897.8;26.4;20.2;15.8;78.5;6.2;1.6;48.9;null;
2016-02-29;5;54.6;97.3;97.3;160.7;6.2;null;217.9;898.4;26.3;20.6;16.5;81.3;4.2;1.4;48.7;null;
2016-03-31;32;52.6;76.6;76.6;182.3;6;null;166;899.8;23.3;17.4;13.7;83.3;3.8;1.6;49;null;
2016-04-30;32;54.6;73.4;73.4;172.2;5.7;null;174.9;899.3;24;18.3;14.6;80.9;3.8;1.4;49.3;null;
2016-05-31;5;29.8;34.7;34.7;111.3;6.4;null;85;901.2;16.4;11.2;7.1;85.5;3.2;1.4;43.8;null;
2016-06-30;5;44.2;null;null;163;4.6;null;22.3;902.7;14.4;7.7;3.5;85.7;2.8;1.1;45.9;null;
2016-07-31;14;51.8;31.4;31.4;192.7;4.7;null;197.3;900.5;17.5;10.8;5.4;77.5;10.8;1.5;47.3;null;
2016-08-31;23;null;null;null;161.4;4.9;null;118.3;900.9;19;12.6;7.8;null;4.2;1.4;48.5;null;
2016-09-30;32;65.4;43.2;43.2;214.6;4.3;null;72.1;900.7;19.8;12.4;6.8;73.4;8.3;1.7;48.2;null;
2016-10-31;23;58;62.3;62.3;126.9;5.6;null;344.8;898.5;20.9;14.8;10.2;77.9;5.2;1.8;48.4;null;
2016-11-30;23;71.9;75.7;75.7;218.3;4.3;null;84.2;898;23.7;16.6;10.9;71.9;2.8;1.3;50.3;null;
2016-12-31;14;74;99.6;99.6;189.2;5.3;null;199.7;897.3;25.2;19.3;14.6;75;4.8;1.5;49.4;null;
2017-01-31;14;67.1;106.8;106.8;178.3;5.3;null;168.1;898.1;26.2;20.2;15.8;77.3;3.8;1.4;48.6;null;
2017-02-28;14;61.9;98;97;182.8;5.5;null;83.4;898.1;27;21.1;17;77;3.6;1.4;49.9;null;
2017-03-31;27;52.5;80.7;80.7;193.5;5.7;null;103.8;899.5;23.8;18;14.1;80.1;3.8;1.5;49.7;null;
2017-04-30;27;49;55.9;55.9;144.6;5;null;151.7;900.6;20.9;15.2;11;78.9;3.8;1.4;48.3;null;
2017-05-31;23;36;47.8;47.8;119.1;6.2;null;210.6;900;18.8;14;10.5;85.8;4.2;1.4;42.8;null;
2017-06-30;23;42.6;36.3;36.3;163.7;4.7;null;165.8;900.9;18.4;12.2;7.9;81.4;4.9;1.4;46.2;null;
2017-07-31;23;null;null;null;225.7;1.6;null;10.6;905.5;19.1;11.9;7;75.9;3;1.3;49.9;null;
2017-08-31;5;null;null;null;207.3;3.5;null;51.2;901.1;20.4;13.5;8.5;null;2.8;1.4;50.6;null;
2017-09-30;5;80.8;72.5;72.5;169.2;4.1;null;130.3;901.7;24.2;17.6;12.7;70;4.2;1.3;48.3;null;
2017-10-31;5;69.2;67.9;67.9;113;5.6;null;238.8;897.5;21.7;15.7;10.8;75.3;4.2;1.6;44.5;null;
2017-11-30;23;79;72.9;72.9;235.2;4.2;null;188.6;896.5;22.7;16.3;10.4;70;3.2;1.4;51.1;null;
2017-12-31;27;76.7;101.1;101.1;217.2;5.3;null;118.2;896.7;26.2;19.5;14.6;74.7;4.2;1.4;50.9;null;
2018-01-31;27;58;99.9;99.9;176.1;6.3;null;209.1;897.4;24.9;19.4;15.3;79.2;2.8;1.4;48.7;null;
2018-02-28;27;63.6;80.1;80.1;197.3;5;null;108.9;897.8;25.4;18.5;13.8;76.4;2.4;1.3;48.8;null;
2018-03-31;23;57.9;87.4;87.4;176.2;6.2;null;150.6;897.4;24.9;19;14.6;78.9;2.4;1.2;42.4;null;
2018-04-30;32;56;71.2;59.8;185.1;4.6;null;19.3;900.9;24.4;17.9;13.2;76.4;2.6;1.1;47.6;null;
2018-05-31;23;42;45.3;45.3;146.7;5.1;null;122.4;901.1;19.7;13.5;9;81.2;3.2;1.2;46.5;null;
2018-06-30;9;null;null;null;114.3;5.6;null;213.9;900.8;15.2;10.2;6.3;88;5.4;1.3;42.7;null;
2018-07-31;32;49;38;38;145.5;5.2;null;265.3;900.9;18.4;12.1;7.8;80;4.3;1.3;46.3;null;
2018-08-31;14;null;null;null;141.3;4.6;null;129.6;901.4;16.7;10.7;5.9;79.7;2.8;1.3;45.7;null;
2018-09-30;27;48.6;56.6;56.6;146.6;5.6;null;280.5;899.1;20.7;15;10.9;79.7;2.8;1.3;47.2;null;
2018-10-31;5;47;65.3;65.3;147;6;null;248;898.4;21.4;15.3;11.3;81.3;2.8;1.3;50.3;null;
2018-11-30;23;69.2;84.5;84.5;215.7;4.7;null;144.4;897.9;24.7;17.9;12.8;75.1;2.8;1.2;48.7;null;
2018-12-31;27;88.5;101.9;101.9;254.9;4.6;null;151.5;897.6;26.6;19.6;14.5;71.8;4.8;1.2;51.2;null;
2019-01-31;27;71.8;118.7;118.7;170.9;6.2;null;199.1;898.8;27.8;21.8;17.3;78.3;2.8;1.2;51.5;null;
2019-02-28;32;56.1;83.3;83.3;173.5;6;null;166.6;898;25;19;14.7;79.5;1.8;1.2;50;null;
2019-03-31;27;57;80;79.7;177.2;5.8;null;71.4;899.6;23.7;18;13.8;80.7;2.2;1.2;49.5;null;
