Nome: SAO JOAQUIM
Codigo Estacao: 83920
Latitude: -28.27555554
Longitude: -49.93472221
Altitude: 1400.07
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2017-05-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;52.6;84.2;84.2;203.9;7;19;220.1;860.3;22;16.5;12.8;81.9;4;1.8;62.9;null;
2012-02-29;32;62.6;88.1;88.1;155.8;6.9;14;185.8;861.5;23.8;18.6;15;82.5;4;1.6;61.5;null;
2012-03-31;32;70;72.3;72.3;233.3;4.5;8;72.8;862.2;22.3;16;11.8;77.4;5;1.7;64.4;null;
2012-04-30;0;51.2;52.7;52.7;162.2;5.9;10;88.6;861.2;19;13.7;10.3;83.1;4;1.6;63.3;null;
2012-05-31;0;49.1;39.4;39.1;183.4;4.8;6;30.9;864.1;16.6;11.3;7.5;79.5;7;1.8;61.4;null;
2012-06-30;0;49.5;31.7;31.7;174.8;4.5;10;148;862.9;15.3;10.1;6.5;78;5;1;61.9;null;
2012-07-31;0;44.7;26.8;26.8;153.9;5.8;14;167.7;862.4;13.4;8.6;5.5;81.6;6;1.8;56.2;null;
2012-08-31;36;73.7;48.9;45.4;199.3;5.2;7;21.2;866;18.1;12.8;9.3;74.6;6;1.9;62;null;
2012-09-30;0;71.2;48.9;48.9;157;6.2;10;146.4;865.7;18.2;12.3;7.7;72.8;9;2.3;61.1;null;
2012-10-31;32;61.5;69.1;69.1;132.6;6.8;16;181;860.9;20;15;11.2;76.9;10;2.5;60.2;null;
2012-11-30;9;69.1;68.3;66.5;213;5.9;10;49;860.2;21.6;15.1;10.5;75.2;9;2;61.8;null;
2012-12-31;32;70.4;102.9;102.9;152.3;7.1;15;170.9;859.6;24.3;18.6;14.4;80.2;10;1.9;61.3;null;
2013-01-31;14;63.1;81.4;81.4;215.3;6.5;12;75.1;861.6;22;16.1;11.9;78.4;12;2.4;62;null;
2013-02-28;32;43;73.7;73.7;136.3;7.7;18;247.4;861.1;22.1;16.8;13.4;86.5;4;1.5;60.3;null;
2013-03-31;0;43;64.1;64.1;138.2;7.7;1;168.3;862.2;19.4;14.5;11;86.4;5;1.9;57;null;
