Nome: URUSSANGA
Codigo Estacao: 83923
Latitude: -28.532537
Longitude: -49.31521
Altitude: 40.5
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2017-09-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;85.9;null;null;176.6;6.8;18;271.9;null;29.1;23.5;19.2;83.3;4;1.1;43.3;null;
2012-02-29;14;91.9;null;null;197.2;5.7;10;194.4;null;32.4;25.7;21;81;5;1.3;43.3;null;
2012-03-31;14;102.2;null;null;244.3;4.4;10;78.8;null;30.5;23;17.6;78.7;3;1.2;43.3;null;
2012-04-30;0;73.9;null;null;149.8;6;9;27;null;26.6;20.2;15.9;83.4;3;1.2;42.9;null;
2012-05-31;32;62.3;null;null;172.5;4.8;9;42;null;25.3;17.8;12.5;86;3;1.1;42.9;null;
2012-06-30;0;48.5;null;null;157.1;4.5;11;106.3;null;22.6;15.1;10.3;87.2;3;.9;42.8;null;
2012-07-31;32;53.1;null;null;135.9;6.1;14;106.1;null;20.9;14.2;9.7;86.2;5;1.1;43.2;null;
2012-08-31;5;88.9;null;null;195.7;5.1;8;34.9;null;26.3;18.7;13.6;80.2;4;1.4;43.2;null;
2012-09-30;32;82.9;null;null;151;6.2;14;170.1;null;25.1;18.3;13.1;80.9;5;1.4;43.1;null;
2012-10-31;32;85.7;null;null;140;7;14;171.9;null;27.6;21.6;17;82.4;4;1.3;43.9;null;
2012-11-30;5;113.2;null;null;181.7;5.9;9;62.1;null;28.2;22.2;16.8;79.8;3;1.4;43.3;null;
2012-12-31;5;121.5;null;null;162.2;6.3;13;97.9;null;31.7;25.2;20;80.1;5;1.3;43.3;null;
2013-01-31;14;114.8;null;null;199;6.3;13;133.6;null;29.2;23.5;18.5;79.8;3;1.4;43.3;null;
2013-02-28;0;63.6;null;null;123;7.8;null;389.7;null;29.7;24;20.2;85.8;3;1;43.3;null;
2013-03-31;32;67.2;null;null;126.3;7.4;null;164.8;null;27;21.7;17.6;85.8;3;1;43.2;null;
2013-04-30;32;75.5;null;null;204.7;4.4;null;45.9;null;27;20.1;14.8;82.5;3;1;43.3;null;
2013-05-31;32;63.2;null;null;143;6.1;null;33.7;null;24;17.1;12;85.3;3;.9;43.2;null;
2013-06-30;32;39.5;null;null;109.8;7.1;null;102.5;null;21.2;15.8;12.2;89.6;3;.9;42.1;null;
2013-07-31;32;56;null;null;178;4.4;null;70.3;null;21.6;13.9;8.9;85.3;3;1.1;43.2;null;
2013-08-31;23;68.1;null;null;160.2;5.6;null;416.7;null;21.6;14.6;9.3;84.9;4;1.2;43.1;null;
2013-09-30;32;80.8;null;null;156.4;5.9;null;141.5;null;24.3;17.9;12.7;83.9;4;1.4;43.1;null;
2013-10-31;14;107.4;null;null;184.7;6.5;null;75;null;25.5;20.4;14.9;81.1;5;1.5;43.1;null;
2013-11-30;5;128.8;null;null;202.8;5.4;null;94.1;null;28.7;22.3;16.6;77.6;5;1.8;43.1;null;
2013-12-31;14;102.7;null;null;191.3;6.3;null;187.3;null;30.1;24.5;19;82.7;4;1.3;43.1;null;
2014-01-31;5;107.2;null;null;216.5;5.6;null;292.4;null;32.9;25.6;20.4;82.7;3;1.2;43.1;null;
2014-02-28;5;94.7;null;null;201;5.2;null;229.4;null;32.6;25.9;21.2;82.7;5;1.2;42.9;null;
2014-03-31;0;64.9;null;null;155.1;6.5;null;200.5;null;28.5;23;19.1;87.8;3;.8;43.3;null;
2014-04-30;5;62.1;null;null;159.9;6.5;null;226.6;null;26.4;20.9;17.2;88;3;1;43;null;
2014-05-31;0;44.3;null;null;116.9;6.9;null;96.5;null;23;17.3;13.6;90.3;3;.8;42.6;null;
2014-06-30;0;39.5;null;null;114.4;6.2;null;298;null;21.5;15.8;12;90.5;3;1;42.1;null;
2014-07-31;0;51.8;null;null;138.8;5.4;null;65.3;null;22.6;15.8;11.4;87.9;3;.9;43.1;null;
2014-08-31;23;67.8;null;null;195.1;4.5;null;98;null;24.5;16;11.1;83.6;4;1.1;42.9;null;
2014-09-30;5;66.4;null;null;108.7;7.3;null;144.2;null;24.2;19.1;15.4;85.7;4;1.3;43.1;null;
