Nome: URUGUAIANA
Codigo Estacao: 83927
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.41
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;130.1;159.3;104.9;299.2;3.1;5;33.2;1002.1;32.8;26.5;19.9;56.1;5;2.1;59.9;null;
2012-02-29;36;131.3;144;111.6;225.2;5;8;101.8;1001.2;33;26.7;20.9;65.8;7;1.8;59.9;null;
2012-03-31;9;121;105.6;52.5;238.1;3.3;7;44;1005;30.4;23.1;17;61.4;5;1.2;59.3;null;
2012-04-30;9;77.4;64.3;64.3;187.8;4.3;7;135.2;1006.1;25.9;19.3;14.2;68.1;7;1.4;59.7;null;
2012-05-31;9;74.5;52;49.1;192.7;4.1;5;39.7;1008.3;24.5;17.8;12.5;69.8;5;1.4;59.3;null;
2012-06-30;9;45.2;29.4;29.4;136.5;5.7;6;37.3;1008.3;19.4;14.1;9.9;76.2;5;1.6;58.1;null;
2012-07-31;14;73.9;19.6;19.6;200.3;3.4;3;32.4;1010;18.4;11.5;6.3;67.3;6;2.1;59.9;null;
2012-08-31;5;77;53.6;53.6;138.9;5.9;10;145.9;1008.7;24.3;17.7;12.8;70.7;7;2.4;59.4;null;
2012-09-30;14;73;60.3;60.3;161.7;5.7;5;118.5;1007.1;24.8;18.4;13.2;64.9;7;2;59.4;null;
2012-10-31;5;57.4;85.5;85.5;165.9;6.1;15;338;1004.5;25.1;20.4;16.4;76.3;7;2.2;59;null;
2012-11-30;9;123.6;120.8;93;268.8;3.6;3;35.6;1003.1;31;24.6;18.8;53.9;7;1.8;59.9;null;
2012-12-31;5;86.4;141.3;141.3;237.3;4.7;13;334.8;999.8;30.9;25.1;19.9;70.2;5;1.9;59;null;
2013-01-31;9;92.2;135.9;135.9;286;3.8;7;163.4;1004;30.9;24.7;19.1;60.5;5;1.4;59.6;null;
2013-02-28;14;88.7;115.7;115.7;220.6;4.7;9;257.7;1002.3;30.6;24.7;19.6;68;5;2.3;60;null;
2013-03-31;14;90.6;89;89;158.3;4.6;1;155.4;1005.2;26.6;21.4;16.6;70;5;1.8;59.4;null;
2013-04-30;5;64.1;78.7;78.7;215.2;3.2;null;84.4;1006.6;26;19.8;14.7;70.2;5;1.4;59.8;null;
2013-05-31;5;48.4;44.9;44.9;136;5.9;null;101.4;1007.2;20.9;15.7;11.8;78.1;7;1.7;59.6;null;
2013-06-30;14;41.3;26.4;26.4;128.8;5;null;25.8;1008.7;18.9;13.5;9.4;77.6;5;1.5;58.6;null;
2013-07-31;5;52.8;28.2;28.2;163.6;4.3;null;102.4;1010.2;19.5;13.4;8.8;74.5;5;1.5;59.9;null;
2013-08-31;14;80;25.8;25.8;181.2;4.4;null;23.1;1010.5;19.6;12.7;7.7;65.4;7;2.1;60;null;
2013-09-30;5;85.9;60.1;58.2;176;5.1;null;42.5;1006.9;23.7;17;11.8;63.5;11;2.6;59.9;null;
