Nome: SANTA MARIA
Codigo Estacao: 83936
Latitude: -29.72472221
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;184.1;147.3;78;283;4.4;6;68.8;999.9;33;25.5;19.4;63;5.3;2.5;55.9;null;
2012-02-29;23;111.2;138.3;135.6;199.2;5.5;8;135.4;999.4;33.1;26.2;21.2;73.4;5.8;1.9;52.2;null;
2012-03-31;14;106;104.9;104.9;262.6;3.3;6;151.1;1002.5;30.3;22.5;17;72.9;5.3;1.6;52.2;null;
2012-04-30;14;78.1;61.2;61.2;201.5;5.1;9;108.7;1003.7;25.5;18.3;13.7;81.5;4.6;1.3;46.3;null;
2012-05-31;14;81.7;51;51;217;4.2;3;138.2;1006.7;24.9;17.1;11.9;81;5;1.5;47;null;
2012-06-30;14;72.6;31.4;31.4;144;5.5;7;35.1;1006.4;19.8;13.9;9.8;82.6;8;1.7;44.3;null;
2012-07-31;14;79.9;23.9;23.9;171.3;5.6;7;70.4;1007.5;18.2;11.9;7.6;81.5;7.6;2;42.5;null;
2012-08-31;14;146.2;65.5;65.5;159.9;6.5;9;74.5;1007.8;25.4;19;14.9;75.8;12.5;2.6;47.6;null;
2012-09-30;14;100;58.9;58.9;164.3;6;10;177.5;1005.8;23.5;17.5;13.1;78.4;6.3;2.5;45.2;null;
2012-10-31;14;97.2;89.6;89.6;149.8;6.7;18;255.2;1001.3;25.7;20.5;16.7;79.7;7.8;2.4;48.5;null;
2012-11-30;14;158.5;108.7;103;261.7;4.5;6;72.8;1000.9;30.4;23.3;17.5;70.5;5.8;2.4;52.2;null;
2012-12-31;14;137.8;144.7;144.7;221.5;5.5;14;293;997.8;31.1;25;19.9;78;11.8;2.3;51.5;null;
2013-01-31;14;123.7;127.4;127.4;286.1;4.3;5;145.3;1001.5;30.3;23.7;18.2;75.8;5.8;2.4;50;null;
2013-02-28;14;86.5;108.5;108;207.1;5.8;10;97.7;1000.3;29.9;23.7;19.1;81;7.1;2.1;47.4;null;
2013-03-31;14;85.3;86;86;181;6.1;2;188.6;1003.1;26.6;20.6;16.4;83.8;5.5;1.8;46.4;null;
2013-04-30;14;76.4;68.2;68.2;209.6;4;null;147.4;1004.3;26.4;19.1;14.4;83.4;4.1;1.5;44.5;null;
2013-05-31;32;57.6;39.9;39.9;142.9;5.9;null;71.6;1004.8;21.4;15.1;11;87.2;6.6;1.5;40.8;null;
2013-06-30;14;46.3;28.4;28.4;125.7;5.6;null;81.6;1005.9;18.9;13.2;9.5;89.7;4.6;1.6;33.2;null;
2013-07-31;14;65.3;30.7;30.7;166.2;5.6;null;113.5;1008.4;20;13.2;8.7;86.7;6.6;1.7;43.5;null;
2013-08-31;14;88.8;30.7;30.7;163.1;5.4;null;163.8;1007.8;19.3;12.8;8.1;83.1;10.6;2.2;41.6;null;
2013-09-30;14;107.4;55.5;55.5;160.1;6;null;69.2;1005;23.1;17.1;12.7;78;8;2.5;45;null;
2013-10-31;14;112.5;80.2;80.2;218.4;5.3;null;108.7;1003.8;26.2;19.5;14.2;74;6.5;2.3;50.9;null;
2013-11-30;14;129.7;111.4;111.4;229.2;4.8;null;294.5;1000.5;28.7;22.7;17.5;72.7;5;2.6;51.3;null;
2013-12-31;14;145.2;145.8;133.9;286.3;4.2;null;92.8;998.2;32.1;25.5;19.7;70.1;7.6;2.3;53;null;
2014-01-31;14;124.6;154.3;143.9;229.3;6.1;null;132.3;1000.1;32.6;26.1;21.2;78.4;6.6;2.1;50.3;null;
2014-02-28;14;113.9;123.6;115.4;218.9;5.7;null;109;1000.7;32.1;25.4;20.6;78.3;6;2.3;47.4;null;
2014-03-31;14;85.6;97.1;97.1;212.6;5.7;null;226.9;1001.9;28.4;21.9;17.2;81;5.8;2;44.4;null;
2014-04-30;14;80.1;71.7;71.7;186.2;5.7;null;105.1;1005;25.8;19.9;15.7;82.1;6.3;2;43.9;null;
2014-05-31;14;39.6;42.6;42.6;143.7;6.5;null;171.5;1005.7;21.1;15.5;12;89.2;4.3;1.3;29;null;
2014-06-30;14;42.5;31;31;96.2;7.1;null;278.8;1005.8;18.2;13.8;10.8;90.3;6.6;2.1;23.1;null;
2014-07-31;14;69.6;38.9;38.9;176.4;5.4;null;255.1;1008.4;20.9;15;10.9;83.8;9.1;2.1;31.2;null;
2014-08-31;14;102.5;45.8;45.8;188.5;4.8;null;92.2;1006.5;22.8;16;11.1;78.3;7.5;1.9;36.4;null;
2014-09-30;14;78.8;64.2;64.2;134;7.3;null;237.5;1003;23.6;18.5;14.5;81.7;8.3;2.5;33.3;null;
2014-10-31;14;107.6;96.4;96.4;166.7;6.9;null;256.8;1003.2;27.3;21.4;17;77.2;8.3;2.4;33;null;
2014-11-30;14;134.9;115.4;102.4;244;5.3;null;59.7;1000.9;29.7;23.1;17.3;69.5;6.3;2.1;38.3;null;
2014-12-31;14;114.6;133.4;133.4;211;5.9;null;324.3;999.8;29.7;24.1;19.3;75.5;5.6;2.2;40.3;null;
2015-01-31;14;96.2;142.8;142.8;212.4;6.7;null;175.1;1001.2;30.7;25.1;20.7;79;6.1;2;38.4;null;
2015-02-28;14;78.7;115;110.7;217.7;5.7;null;84.3;1000.8;30.1;24.4;20.3;80.5;5;2;38;null;
2015-03-31;14;90.4;108.9;108.9;210.4;5.8;null;132.4;1002.5;29.8;23.1;18.7;79.9;4.1;1.7;35.1;null;
2015-04-30;14;73.5;69.6;69.6;207.2;4.8;null;129.8;1004.7;27;19.6;14.8;81.2;4.5;1.6;33.2;null;
2015-05-31;14;55.2;49.3;49.3;147.1;6.2;null;136.4;1006.5;22.4;16.8;13.2;86.6;9.6;1.7;32.8;null;
2015-06-30;14;54.7;35.6;35.6;145.8;5.8;null;128.2;1007.4;20.9;14.8;10.7;85.7;5;1.5;33.6;null;
2015-07-31;14;41.4;37.4;37.4;90.7;8;null;214.7;1006.2;19.5;14.9;11.5;88.4;7.5;1.7;28.5;null;
2015-08-31;14;166.8;73;73;158.1;6.3;null;85.2;1003.4;25.6;19.9;15.6;72.7;10.6;2.9;39.4;null;
2015-09-30;14;85;52.9;52.9;158.2;6.1;null;168.6;1002.6;23;16.8;12.4;78.9;6.6;2;34.7;null;
2015-10-31;14;84.3;73;73;138.8;7.6;null;428.4;1003.2;23.5;18.6;14.9;81.6;7.5;2.6;35.3;null;
2015-11-30;14;96.7;92.8;92.8;158;7;null;164.3;1000.5;25.6;20.7;16.7;77.5;8.8;2.6;39.3;null;
2015-12-31;14;106.4;128;128;166.3;7;null;336;999.3;28.7;23.6;19.5;80.4;7.6;2.1;37.5;null;
2016-01-31;14;126.3;148.5;139.1;243.7;5.3;null;101.9;999.7;31.5;25.5;20.8;74.5;5.8;2.2;42;null;
2016-02-29;14;84.4;129;113.9;212.6;5.7;null;96.5;1000.2;31.4;25.3;21.3;80.9;4.5;1.9;40.7;null;
2016-03-31;14;75.3;93.4;93.4;167.7;6.6;null;200.7;1003.6;27.1;21.5;17.8;83.8;8.1;2.1;31.7;null;
2016-04-30;14;80.8;82.6;82.6;109.9;8;null;137.7;1002.4;26.7;21.5;18.2;83.1;6;2;34.2;null;
2016-05-31;14;40.5;33.3;33.3;87.9;7.6;null;68.4;1008.2;18.7;13.9;10.8;87.7;11.1;1.6;30;null;
2016-06-30;14;41.8;18.4;17.5;133.2;5.6;null;5.3;1010.6;17;10.6;6.5;84.6;3.8;1.2;30.5;null;
2016-07-31;14;72.3;31.2;31.2;163.7;6.6;null;95.3;1006.5;19.7;13.5;9.4;82.5;10;2.1;31.4;null;
