Nome: BENTO GONCALVES
Codigo Estacao: 83941
Latitude: -29.164588
Longitude: -51.534104
Altitude: 624.1
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2013-12-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;98.7;null;null;282.7;4.5;9;65.1;null;27.7;21.7;16.9;72.3;5;2.3;58.3;null;
2012-02-29;5;93.1;null;null;221.1;5.9;13;184.5;null;29.3;23.3;19;75.9;7;1.9;55.5;null;
2012-03-31;5;89.4;null;null;269.9;3.4;7;82.2;null;26.2;20.4;15.5;71.2;7;2;56.7;null;
2012-04-30;14;67;null;null;185.9;5.5;10;75.4;null;22.5;17.1;13.1;77.4;5;1.9;52.4;null;
2012-05-31;5;69.5;null;null;233.2;4.1;3;27.2;null;21.6;16.1;11.3;73.4;5;2;57.6;null;
2012-06-30;5;49.7;null;null;168.6;5.4;10;54.9;null;18.1;13.1;8.8;77.5;7;1.9;50;null;
2012-07-31;5;62.4;null;null;162;6.1;10;189.7;null;16.6;11.6;7.3;79.1;7;2.4;46.2;null;
2012-08-31;5;115.2;null;null;200.4;5.8;7;67.6;null;22.8;17.3;12.4;69.9;9;2.9;54.6;null;
2012-09-30;5;82.3;null;null;178.3;6.2;7;237.4;null;21.4;16;11.5;73.3;7;2.7;53.7;null;
2012-10-31;5;82.4;null;null;184.6;6.7;14;163.2;null;23.7;18.7;14.6;76.9;9;2.5;54.7;null;
2012-11-30;14;116.4;null;null;270.7;4.9;6;24.1;null;26.4;20.5;15.2;66.3;5;2.4;59;null;
2012-12-31;5;103.5;null;null;229.6;5.9;13;229.6;null;28.4;23;18.1;72.9;7;2.1;55.9;null;
2013-01-31;14;89.8;null;null;280.2;4.5;9;114.1;null;26.5;20.9;15.9;71.5;5;2.3;57.6;null;
2013-02-28;14;62.1;null;null;194.4;6;null;108.5;null;26.6;21.3;17.2;80.2;6;2.1;58.5;null;
2013-03-31;14;54.4;null;null;155.2;6.5;null;191.8;null;22.9;18.3;14.6;81;5;2.3;54.3;null;
2013-04-30;5;65.7;null;null;239.9;4;null;114.1;null;23.4;17.6;13;75.3;7;2.1;56;null;
2013-05-31;5;49.7;null;null;173.8;5.8;null;131.7;null;19.6;14.7;10.5;77.7;7;2;51.5;null;
2013-06-30;5;28;null;null;129.3;6.8;null;143.5;null;17.2;12.9;9.2;87.1;5;2.1;41.9;null;
2013-07-31;5;54.1;null;null;206;4.3;null;97.9;null;17.7;12.1;7.3;77.2;7;2.2;51.5;null;
2013-08-31;5;65.1;null;null;168.1;5.8;null;312;null;17.3;12;7.8;79.1;7;2.2;44.3;null;
2013-09-30;5;75.2;null;null;166.7;5.7;null;187.7;null;20.5;15.3;10.8;75.7;5;2.1;51.4;null;
2013-10-31;14;74.7;null;null;212.7;5.8;null;128.4;null;22.4;17;12.2;75.2;7;2.4;52.9;null;
2013-11-30;5;117.5;null;null;247.6;4.9;null;288.5;null;25.9;19.9;14.7;70.5;7;2.8;57.7;null;
2013-12-31;14;106.7;null;null;282.6;4.5;null;147.9;null;28.2;22.2;17;72.7;5;1.9;58.3;null;

