Nome: CAXIAS DO SUL
Codigo Estacao: 83942
Latitude: -29.1961111
Longitude: -51.18638888
Altitude: 750.16
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;18;162;107.2;107.2;253.2;5.5;11;252.4;925.4;26.4;20.9;16.8;74;5;1.9;31.5;null;
2012-02-29;32;165.6;111;111;195.8;6.2;14;195.9;925.5;28.5;22.9;19.3;75.6;7;1.8;37.8;null;
2012-03-31;18;145.7;88.9;88.6;259;4.3;6;80.8;927.5;25.5;19.9;16;72.3;5;1.9;35.8;null;
2012-04-30;18;22.2;59.1;59.1;172.7;6.3;9;93.6;927.4;21.5;16.6;13.3;78.5;3;1.6;28.2;null;
2012-05-31;32;14;51.5;51;225.1;4.8;5;41.5;930.7;21.1;15.7;11.9;72.7;5;1.7;31.8;null;
2012-06-30;32;104.3;35.2;35.2;165.4;5.8;10;83;929.3;17.7;12.9;9.5;77.1;3;1.4;25.9;null;
2012-07-31;32;116;28.9;28.9;156.7;6.3;12;203.6;929.5;15.9;11.1;7.7;78.9;5;1.9;23.4;null;
2012-08-31;36;192;61.1;61.1;175.5;6.1;11;68.1;932.3;22.4;17;12.8;69.1;5;2.2;25.2;null;
2012-09-30;36;146.9;55.5;55.5;170.3;6.6;11;218.2;929.6;21.3;15.5;11.4;73.6;9;2.3;21.9;null;
2012-10-31;36;153.3;81.6;81.6;149.8;6.9;12;205.2;926.1;23.7;18.4;14.7;76.5;7;2;24.8;null;
2012-11-30;18;193.4;87.5;86.2;244.4;5.5;8;70.6;926.1;25.4;19.7;15.1;67.8;5;1.8;31.7;null;
2012-12-31;32;182.3;120;120;206.7;6.6;12;253.3;923.8;27.6;22.3;18.2;75.9;7;1.9;30;null;
2013-01-31;18;165.9;98.9;98.9;266.4;5.6;10;131.6;926.9;25.7;20.1;15.7;74.2;5;2.2;28.7;null;
2013-02-28;32;107.3;96.6;96.6;158.1;6.7;17;157.3;926;25.7;20.7;17.2;81;5;2;28.3;null;
2013-03-31;18;84.4;75.6;75.6;130.9;6.7;1;159.9;927.9;22.2;17.8;14.8;83.3;5;1.8;25.2;null;
2013-04-30;36;116.5;62.8;62.8;234.9;4.2;null;93.3;929;22.8;17.3;13.6;78.5;7;1.6;31.4;null;
2013-05-31;36;102.2;46.3;46.3;170.9;6.5;null;110.8;928.7;19.5;14.7;11.4;79.3;5;1.5;24.1;null;
2013-06-30;32;63.8;34.8;34.8;134;7.4;null;144.9;929;17.1;12.9;10;86.2;5;1.6;19.9;null;
2013-07-31;32;100.4;32.4;32.4;214.5;4.9;null;82.3;931.3;17.5;12;8.3;75.7;5;1.8;28.4;null;
2013-08-31;18;115.6;33.4;33.4;169;5.9;null;373.6;930.4;17;11.8;8.2;78;5;2;22.5;null;
2013-09-30;36;128.5;51.9;51.9;165.6;6.5;null;186.2;929.1;20.4;15;11;76.1;5;2;22.8;null;
2013-10-31;18;117.8;65.5;65.5;189.2;6.4;null;140.5;928.2;21.8;16.2;12;76.3;7;2.1;26.6;null;
2013-11-30;36;160.1;88.9;88.9;233.9;5.6;null;284.9;926.1;25.3;19.2;14.6;70.6;7;2.6;29;null;
2013-12-31;18;151.4;114.7;114.7;254.9;5.4;null;185.2;924.4;27.8;21.7;17.2;72.8;3;1.6;27.8;null;
2014-01-31;18;149;125.6;125.6;219.3;5.9;null;163.1;926.7;28.7;23.1;19.2;73.6;5;2;24;null;
2014-02-28;14;150;104.9;104.9;192.3;6.5;null;231.5;927.5;29.1;22.8;18.6;73.2;9;2.1;17.5;null;
2014-03-31;18;99.7;86.2;86.2;183;6.5;null;145.1;927.3;24.6;19.6;16.3;79.9;5;1.8;24.7;null;
2014-04-30;36;84.6;63.4;63.4;175.6;6.2;null;111.4;929.7;22.2;17.4;14.2;80.6;5;1.7;24.1;null;
2014-05-31;36;63.2;42.7;42.7;171.1;7;null;115.3;929.4;18.4;13.9;11;84.6;6;1.6;16.4;null;
2014-06-30;36;51.5;34.8;34.8;120;6.9;null;287.4;929.1;16.8;12.9;10.2;85.3;7;2.1;17.3;null;
2014-07-31;36;83.1;37.8;37.8;195.1;5.3;null;166.3;932.4;18.2;13.2;9.7;77.7;5;2;22.4;null;
2014-08-31;36;133.9;46.9;46.9;235.6;4.5;null;98.1;930.6;21;14.6;10.1;71;5;1.8;18.8;null;
2014-09-30;36;91.8;58.3;58.3;140.4;7.4;null;177.2;927.9;21.1;16.1;12.5;80.4;7;2.2;19.3;null;
2014-10-31;18;120.2;80.7;80.7;201;6.9;null;209.1;928.9;24.3;18.5;14.3;76.5;5;2;19.1;null;
2014-11-30;18;125.8;94.3;94.3;220.6;5.9;null;122.5;926.5;25.5;19.9;15.5;72.9;5;1.8;26.3;null;
2014-12-31;18;77.1;108.6;108.6;166.1;6.9;null;210;925.9;26.4;20.9;17;78.2;12;2.2;24;null;
2015-01-31;18;96.2;118.5;118.5;200.8;7.2;null;168.6;927.5;27.9;22.2;18.5;77.9;5;1.8;15.6;null;
2015-02-28;18;94;94.4;93.4;184.2;6.9;null;80;926.6;26.9;21.2;17.7;80.9;5;1.8;16.3;null;
2015-03-31;18;96.4;89.9;89.9;199.6;6.9;null;94.1;928.1;25.3;20;16.6;81.2;5;1.7;16.1;null;
2015-04-30;18;79.6;64;64;200.7;5.8;null;159.8;929.5;22.8;17.5;14.1;81.7;5;1.4;16.5;null;
2015-05-31;36;69.9;48.9;48.9;153.5;6.6;null;148.1;930.4;19.8;15.2;12.4;82.7;5;1.7;18.1;null;
2015-06-30;36;87.6;37.5;37.5;168.4;5.5;null;215.9;931.5;18.3;13.5;10.1;77.9;5;2;19.8;null;
2015-07-31;36;61.7;38.3;38.3;121.8;7.8;null;272.1;930;17.7;13.4;10.4;84.1;5;1.8;16.3;null;
2015-08-31;36;160.3;67.6;67.6;196.5;5.8;null;117.5;929.4;23.3;18;14.4;68.3;7;2.2;19.9;null;
2015-09-30;18;86.6;51.9;51.9;136.1;7.1;null;279.4;926.7;20.1;15;11.5;79.2;5;1.6;16.5;null;
2015-10-31;18;66.5;66.1;66.1;115.6;7.9;null;370.9;927.7;20.8;16.3;13;85.5;7;1.9;14.9;null;
2015-11-30;14;81.3;79.9;79.9;143;7.7;null;127.1;925.6;22.8;18;14.6;81.3;7;2;20.1;null;
2015-12-31;18;91.8;108.6;108.6;114.2;7.5;null;223.9;925.5;25.7;21;17.4;82.6;5;1.9;19.8;null;
2016-01-31;18;136.9;119.3;119.3;208;6;null;147.4;926;27.8;22.3;18.3;74.9;5;1.9;24.1;null;
2016-02-29;14;70.1;108.6;108.6;171.7;6.6;null;189.7;926.8;27.8;22.6;19.1;79.4;5;1.6;16.3;null;
2016-03-31;18;87.3;83.1;83.1;180.4;6.6;null;298.7;928.6;23.8;19.2;16.3;82.6;5;2;18.4;null;
2016-04-30;36;94.3;77.6;77.6;145.8;7.3;null;245.8;928;24.9;19.8;16.7;81;5;2;16.2;null;
2016-05-31;18;42.4;33.5;33.5;117.4;7.6;null;66.1;931;16.1;12.1;9.4;87;5;1.4;14.2;null;
2016-06-30;0;67;21.7;20.6;177.4;5.7;null;6.3;932.8;14.8;9.7;6.5;75.6;5;1.2;17.9;null;
2016-07-31;36;89.6;33.7;33.7;194.8;5.9;null;275.5;929.9;17.9;12.3;8.7;76.1;5;2;19.8;null;
2016-08-31;36;113.4;44.4;44.4;168.7;5.9;null;134.5;929.5;19.1;14.1;10.8;75.4;5;1.7;18.4;null;
2016-09-30;18;100.9;44.8;44.8;207.9;5.3;null;69.7;930.3;20;13.7;9.6;74;7;2.1;18.1;null;
2016-10-31;9;94.6;69;69;186.4;6.5;null;334.7;927.4;22.4;16.7;12.5;75.3;5;2;21.1;null;
2016-11-30;18;129.5;82.3;82.3;232.1;5.5;null;115.7;926.8;24.5;18.3;13.5;71.5;5;1.8;22.1;null;
2016-12-31;32;134.7;110.4;110.4;181.4;6;null;112;925.4;26.5;21.2;17;75;6;2;21.1;null;
2017-01-31;18;87.5;116.7;116.7;186.4;6.6;null;196.5;926.5;27.3;22;18.2;78.7;5;1.8;17.7;null;
2017-02-28;32;101;108;104.5;176.7;6.8;null;80.4;926.6;28.5;23;19.3;76.2;5;1.4;14.6;null;
2017-03-31;18;31;86.2;86.2;190;6;null;262.5;928.5;25;19.6;16.1;80.3;5;1.5;21.7;null;
2017-04-30;36;64.4;61;61;174;5.8;null;139.3;929.4;21.9;17;13.8;78.4;7;1.8;19.7;null;
2017-05-31;36;54.3;51.1;51.1;124.8;7.4;null;282.4;929.2;19.5;15.6;12.9;84.3;5;1.8;18;null;
2017-06-30;36;73.1;37.9;37.9;171.5;5.6;null;181.1;930.4;18.4;13.6;10.5;78.9;5;2;19.4;null;
2017-07-31;36;121.7;43.2;42.2;247.8;3;null;28.7;934.9;20.2;14.4;10.5;67.3;7;2;24.1;null;
2017-08-31;36;105.1;48.5;48.5;212.7;5;null;153.4;929.7;20.9;14.9;10.7;75.5;5;2;20.2;null;
2017-09-30;36;127.3;74.6;74.6;156.2;6;null;116.8;930.6;24.6;18.7;14.9;77;5;1.8;11.3;null;
2017-10-31;36;93.5;72.2;72.2;173.8;7.2;null;210.2;926.1;22.4;17.1;13.4;76.5;5;2;22.8;null;
2017-11-30;18;115;77;77;238.5;4.9;null;207;925.4;23.6;17.6;13;73.1;5;1.9;24.2;null;
2017-12-31;18;38.3;112.1;112.1;203.6;6;null;113.9;925;27.1;21.3;16.9;77.8;5;1.7;20.9;null;
2018-01-31;18;104.6;108.9;108.9;182.7;6.8;null;169.9;925.5;26.4;21.1;17.4;79;5;1.7;21.8;null;
2018-02-28;18;111.3;89.3;89.3;221.7;5.1;null;121.3;926.8;26.2;20.5;16.5;75.5;5;1.4;16.9;null;
2018-03-31;18;94;89.9;89.9;177.4;6.6;null;117.7;925.6;25.4;20.1;16.6;80.2;5;1.5;17.7;null;
2018-04-30;18;87.3;79.1;79.1;199.4;5.3;null;127.4;929.9;25.2;19.9;16.6;78;5;1.6;18.4;null;
2018-05-31;0;57;50.5;50.5;163.8;6.1;null;124.8;930.2;20.2;15.4;12.3;80.1;5;1.6;18.5;null;
2018-06-30;36;66.6;30.9;30.9;141.1;6.4;null;166.7;930.1;17;11.9;8.6;81.4;7;1.7;18.9;null;
2018-07-31;36;72.6;36.4;36.4;144.5;7.2;null;187.8;929.7;17.8;12.9;9.5;83.4;5;2.2;19;null;
2018-08-31;36;79.8;34.4;34.4;172.2;5.6;null;173.1;930.7;17.6;12;8.3;79.6;7;2;16.4;null;
2018-09-30;36;82.6;61.9;61.9;158.8;6.3;null;233;927.4;21.7;16.7;13.3;80.9;7;1.9;19.3;null;
2018-10-31;18;89.5;69.5;69.5;184.3;7.1;null;237.5;926.9;22.1;16.8;12.9;79.3;5;2.2;18.5;null;
2018-11-30;18;114.4;92;92;220.3;5.4;null;204.2;926.4;25.5;19.6;15.1;72.7;5;1.9;25.7;null;
2018-12-31;18;113.1;109.5;109.5;240.2;5.5;null;200;925.9;26.8;21;16.8;73.2;5;1.6;20.1;null;
2019-01-31;36;119.1;130.1;130.1;178.3;6.8;null;140.3;926.5;29;23.5;19.7;78.1;7;1.8;17.8;null;
2019-02-28;14;100.2;91.5;91.5;192.4;6.2;null;133;926.4;26;20.8;17.2;78.6;5;1.2;15.2;null;
2019-03-31;18;92.5;85.5;85.5;193.5;6.3;null;114.9;928.1;24.5;19.4;16.2;80.3;5;1.6;20.1;null;
2019-04-30;18;49.4;70.2;70.2;154;6.7;null;187.2;927.3;23.2;18.5;15.5;85.7;5;1.4;14.2;null;
2019-05-31;18;32;53.8;53.8;99.1;7.5;null;214.5;927.9;20;15.9;13.6;88.9;5;1.7;14.8;null;
2019-06-30;36;111;50.1;48.6;169.9;5.9;null;33;930.3;21;16.1;12.9;76;7;2.1;16.3;null;
2019-07-31;36;86.4;31.9;31.9;160.1;6.3;null;88.1;929.4;17.1;12;8.6;76.6;7;2;17;null;
2019-08-31;36;112.7;39.7;39.7;206.7;5.3;null;104.1;931.1;19.9;13.1;8.6;75.2;5;2.1;14;null;
2019-09-30;18;97;51.3;51.3;183.8;6;null;102.5;927.6;20.9;14.9;10.7;78.5;7;2.1;13.2;null;
2019-10-31;36;104.7;77.9;77.9;145.7;7.1;null;299;926.3;23.2;18.1;14.2;81;5;1.8;13.5;null;
2019-11-30;18;103.9;88.9;88.9;183.8;6.1;null;199.1;924.6;24.9;19.2;15.2;77.3;5;1.9;16.7;null;
2019-12-31;18;186.1;114.7;102.7;268.8;4.3;null;61.5;924;28.3;21.7;17;64.5;5;2;21.8;null;
2020-01-31;14;134.7;null;null;206.3;6;11;154.7;923.7;27.2;21.6;17.8;75.1;5;1.8;18.3;null;
