Nome: CAMBARA DO SUL
Codigo Estacao: 83946
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1015.97
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;71.7;137.3;137.3;null;6.9;15;236.2;null;24.3;18.1;13.6;84.6;3;1.1;39.5;null;
2012-02-29;32;86.9;131.8;131.8;null;6.7;12;166.3;null;27.5;20.4;15.6;81.9;2;1.1;42.9;null;
2012-03-31;32;94;122.3;93.7;null;5.8;8;35.7;null;24.6;17.5;12.3;79.8;5;1.2;42.9;null;
2012-04-30;23;69.4;104.3;84.3;null;7.1;11;73;null;21.3;14.8;10.3;84.1;5;1.2;40.4;null;
2012-05-31;5;63.7;106;46.6;null;6;15;30.3;null;19.4;13;8.1;83;5;1.2;41.8;null;
2012-06-30;32;68.8;92.7;92.7;null;6.2;10;98.5;null;17.7;11.1;6.4;83;5;1.2;41.1;null;
2012-07-31;32;77.9;92.9;92.9;null;6.6;14;255.1;null;15.3;9.4;5;83.5;5;1.5;32.8;null;
2012-08-31;36;117.6;117;107.7;null;5.7;7;70.5;null;21.2;14.3;9.2;76.4;3;1.2;40.2;null;
2012-09-30;5;82.9;114.7;114.7;null;7.4;13;232.6;null;20.1;13.4;8.2;81.7;12;1.8;37.3;null;
2012-10-31;32;95.3;131.9;131.9;null;7.8;13;213.3;null;22.5;16.4;11.8;81.4;5;1.5;38.9;null;
2012-11-30;14;85.4;131.7;91.5;null;7.2;6;26.4;null;23.6;16.7;11.3;80.2;5;1.3;45.9;null;
2012-12-31;null;106.8;149;149;null;7.2;13;199.6;null;25.8;19.4;14.3;82.4;null;null;41.4;null;
2013-01-31;null;78.4;135;127.8;null;7.3;10;106.7;null;23.8;17.6;12.9;82.3;null;null;44.9;null;
2013-02-28;null;51.8;119.5;119.5;null;8.6;23;277.4;null;24.1;18.5;14.6;88.1;null;null;35.7;null;
2013-03-31;null;48;115.3;115.3;null;8.6;20;221.5;null;20.9;15.9;12;88.6;null;null;35.3;null;
2013-04-30;null;67.3;105.5;99.2;null;5.9;7;67.6;null;21.5;15;10;84;null;null;45.1;null;
2013-05-31;null;71.1;103.3;90.3;null;7.2;16;71.9;null;18.4;12.5;7.5;82.1;null;null;40.4;null;
2013-06-30;null;40.9;93.3;93.3;null;7.8;20;141.2;null;16.3;11.2;7.2;88.7;null;null;35.7;null;
2013-07-31;null;73.8;96.9;96.9;null;5.7;8;120.6;null;17;10.1;4.7;79.6;null;null;43.4;null;
2013-08-31;null;85.5;95.9;95.9;null;7;15;470.8;null;16.4;10.1;5.2;82.3;null;null;36.1;null;
2013-09-30;null;90.1;113;113;null;7.3;15;196.7;null;19.5;13.1;8;79.2;null;null;37.4;null;
2013-10-31;null;72.1;119.6;119.6;null;8;14;137;null;19.8;14;9.1;84.1;null;null;39.1;null;
2013-11-30;null;93.7;129.7;129.6;null;7.4;null;128;null;22.8;16.3;11.2;81.2;null;null;44.4;null;
2013-12-31;null;88.4;144.2;144.2;null;6.7;null;193.4;null;25;18.6;13.8;82.7;null;null;44.5;null;
2014-01-31;null;116.7;148.6;148.6;null;7.2;null;153.4;null;27.1;20.5;15.4;79.5;null;null;43.3;null;
2014-02-28;null;99.9;126.6;126.6;null;7.7;null;374.1;null;26.6;20.3;15.8;80.9;null;null;40.1;null;
2014-03-31;null;66.6;122.6;122.6;null;7.8;null;145;null;23;17.4;13.2;87.2;null;null;41.8;null;
2014-04-30;null;51.9;106.5;106.5;null;7.8;null;144.5;null;20.8;15.2;11.1;86.8;null;null;41.2;null;
2014-05-31;null;49.8;103.8;103.8;null;7.7;null;123.9;null;18.1;12.5;8.4;86.6;null;null;41.2;null;
2014-06-30;null;47.5;94.2;94.2;null;7.8;null;330.3;null;16.4;11.4;7.4;86.6;null;null;34.9;null;
2014-07-31;null;59.3;101.5;101.5;null;6.9;null;107.8;null;17.1;10.9;6.2;84.1;9;null;39.4;null;
2014-08-31;36;115.3;107.5;107.5;null;6;null;139.5;null;20.2;12.4;6.4;75.8;7;1.5;40;null;
2014-09-30;36;70.9;117.9;117.9;null;8.3;null;188.9;null;19.4;14.2;10.1;84.6;7;1.6;38.5;null;
2014-10-31;5;82.1;130;130;null;7.8;null;173.3;null;22.4;16.2;11.1;81.6;7;1.3;41.6;null;
2014-11-30;14;84.5;134.3;134.3;null;7.5;null;153.9;null;23.5;17.3;12.2;80.5;5;1.3;42.2;null;
2014-12-31;14;84.3;145.1;145.1;null;7.7;null;156.4;null;24.6;18.7;13.9;82.5;5;1.3;40.5;null;
2015-01-31;32;82.2;145.6;145.6;null;7.7;null;242.6;null;25.9;19.8;15.5;85;5;1.2;39.5;null;
2015-02-28;14;60.9;121.7;121.7;null;7.6;null;157.8;null;25.1;19;14.7;85.9;3;1.2;40.2;null;
2015-03-31;14;58.7;123.9;123.9;null;8;null;214;null;23.3;17.8;13.8;86.7;3;1.1;40.1;null;
2015-04-30;14;50.3;106.5;106.5;null;7;null;121.2;null;20.9;15.2;11.1;87.5;3;1;41.9;null;
2015-05-31;5;48.3;105.9;105.9;null;7.5;null;181.8;null;18.2;13.1;9.2;88.3;5;1.2;38.5;null;
2015-06-30;32;73.3;93.7;93.7;null;6.3;null;179.3;null;17.5;11.3;6.1;84.2;5;1.3;40.9;null;
2015-07-31;5;44.1;104.8;104.8;null;8;null;355.2;null;17.2;11.7;7.6;88.1;9;1.3;31.6;null;
2015-08-31;36;122.6;122.3;119.8;null;6.7;null;98.8;null;22.1;15.6;10.6;76.5;3;1.3;39.8;null;
2015-09-30;32;65.2;113.1;113.1;null;8;null;416.1;null;19.4;13.4;8.9;84.4;9;1.4;34.4;null;
2015-10-31;14;57.2;122.9;122.9;null;8.8;null;350.4;null;20.1;14.7;10.3;88;9;1.3;33;null;
2015-11-30;14;55.6;126.5;126.5;null;8.8;null;126.6;null;21.1;15.7;11.6;86.4;7;1.4;35.6;null;
2015-12-31;32;67.7;145.9;145.9;null;8.6;null;206.5;null;24.7;19.1;14.7;86.8;5;1.4;38.9;null;
2016-01-31;14;81.6;143.6;143.3;null;7.2;null;136;null;25.6;19.5;14.8;83.7;3;1.1;41.4;null;
2016-02-29;14;64.4;129.9;126;null;7.7;null;107.3;null;25.9;20;15.6;84.8;5;1.1;41.1;null;
2016-03-31;32;65.4;121.4;121.4;null;7.8;null;208.6;null;22.8;17.3;13.2;86.2;5;1.2;38.3;null;
2016-04-30;32;79.8;116.6;116.6;null;7.7;null;210.9;null;23.6;19.5;13.7;86.1;3;1.2;42.7;null;
2016-05-31;32;39.9;94.5;93.3;null;8.2;null;78;null;15.7;10.8;6.7;92.8;5;1.2;38.6;null;
2016-06-30;32;57.2;74.1;53.2;null;6.5;null;15.8;null;14.6;7.4;1.8;89.8;5;1.4;43.9;null;
2016-07-31;32;84.3;98.5;98.5;null;7;null;243.6;null;17.4;10.5;5.2;83.9;12;1.8;41.8;null;
2016-08-31;32;89.1;104.9;104.9;null;7.5;null;161.4;null;18;11.9;7.3;84.6;3;1.1;42;null;
2016-09-30;32;94.2;106.1;101.4;null;6.3;null;73.6;null;19.1;11.9;6.4;83.9;12;1.7;46.8;null;
2016-10-31;14;66;120.1;120.1;null;8.2;null;292;null;19.9;14.1;9.4;86.3;9;1.6;37.8;null;
2016-11-30;14;94.1;127.7;112.2;null;6.6;null;66.4;null;22.9;15.9;9.9;80.9;5;1.3;47.1;null;
2016-12-31;32;83.3;143.9;143.9;null;7.6;null;195.2;null;24.9;18.7;13.7;84.6;3;1.1;41.7;null;
2017-01-31;14;74.9;145.3;145.3;null;7.9;null;173.2;null;25.7;19.8;15.5;85.4;3;1.1;42.7;null;
2017-02-28;36;78.3;127.2;126.8;null;7.9;null;118.9;null;26.5;20.5;15.9;84.7;5;1.1;42.1;null;
2017-03-31;14;59.8;123;123;null;8;null;126;null;23.3;17.5;13.7;87.8;5;1.1;40.2;null;
2017-04-30;5;69.7;105.7;105.6;null;7.9;null;105.1;null;20.1;15;10.9;85.3;7;1.5;39.3;null;
2017-05-31;32;44.6;108.4;108.4;null;8.6;null;232.7;null;18.2;13.7;10.5;90.6;5;1.1;36.7;null;
2017-06-30;32;67.7;96.9;96.9;null;6.9;null;176.8;null;18.1;11.8;7.2;85.8;9;1.4;43.1;null;
2017-07-31;36;99.2;106.2;73.4;null;4.8;null;12.6;null;19.5;12.2;6.8;78.4;5;1.1;48.2;null;
2017-08-31;5;84.3;109;109;null;6.5;null;111.3;null;19.7;12.8;7.8;82;5;1.3;42.4;null;
2017-09-30;14;110.8;128.8;128.8;null;7.1;null;144.6;null;23.5;16.8;11.8;79.8;5;1.1;41.9;null;
2017-10-31;32;81.4;125.9;125.9;null;7.9;null;224.1;null;21;15.3;10.4;83;5;1.5;39.4;null;
2017-11-30;5;84;125.1;125.1;null;7;null;166.9;null;21.8;15.3;10.1;81.9;5;1.2;42.9;null;
2017-12-31;14;80.4;141.8;134.1;null;7.4;null;99.8;null;24.9;18.3;13.4;83.8;7;1.2;42.3;null;
2018-01-31;14;65.9;138.7;138.7;null;8.4;null;162.3;null;23.8;18.5;14.6;87;3;1.1;36.1;null;
2018-02-28;14;65.9;116;116;null;7.1;null;125.3;null;24.1;17.7;13.1;86.4;3;1.1;40.5;null;
2018-03-31;32;70;125.1;125.1;null;7.7;null;172.3;null;24.3;18.1;13.6;87.3;3;1.1;39.4;null;
2018-04-30;32;65.6;115.4;111.3;null;7;null;85.4;null;23.4;17.4;12.8;87;3;1;42;null;
2018-05-31;32;67.6;106;102.2;null;7.3;null;93.4;null;19.3;13.3;9;85.7;5;1.1;41.8;null;
2018-06-30;32;68.8;91.8;91.8;null;7.4;null;213.7;null;16.8;10.7;6.3;86;9;1.6;40.3;null;
2018-07-31;32;73.4;105.8;105.8;null;7.4;null;214.4;null;17.6;11.9;7.6;85.6;9;1.4;38.2;null;
2018-08-31;32;74.3;97.1;97.1;null;7.2;null;102.1;null;17.1;10.5;5.2;85.1;12;1.6;36.8;null;
2018-09-30;14;53.6;117.1;117.1;null;8.1;null;184.7;null;19.5;14.5;10.6;87.6;3;1;36.6;null;
2018-10-31;14;55.9;122;122;null;8.6;null;302;null;20.2;14.5;10.3;87.9;5;1.1;37.1;null;
2018-11-30;14;79.1;131.9;131.1;null;7;null;119;null;23.7;16.9;11.5;83.3;5;1.2;44.1;null;
2018-12-31;32;98.2;142.6;142.6;null;7.2;null;161.1;null;25.7;18.4;13.4;83.1;3;1.1;43;null;
2019-01-31;32;84.4;150.3;150.3;null;7.9;null;308.4;null;27.4;21.1;16.8;85.2;3;1.2;39.1;null;
