Nome: TORRES
Codigo Estacao: 83948
Latitude: -29.35027777
Longitude: -49.71666666
Altitude: 4.66
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-04-26
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;72.3;118.6;118.6;224.1;5.6;14;236.6;1011.7;26.1;23;20.1;86;7;2.7;48.8;null;
2012-02-29;5;64.2;114.1;99.6;221.6;5;8;54.9;1010.6;27.6;23.8;20.5;85.4;7;2;50.7;null;
2012-03-31;0;103.7;107.6;46.1;255.5;3.3;7;12;1013.2;27.3;23;18.7;77.2;5;1.6;55.7;null;
2012-04-30;0;86.1;75.8;72.7;184.3;5.2;10;71.9;1014;24.6;20.4;16.5;79;7;2.1;53.7;null;
2012-05-31;0;69.1;60.8;26.7;208.3;4.6;8;19.8;1018;23.6;18.7;14.3;83.1;6;1.5;52.5;null;
2012-06-30;0;54.9;36.5;36.5;168.3;4.8;7;66.9;1017;19.8;14.9;10.7;84.1;5;1;50.8;null;
2012-07-31;0;71.5;32.5;32.5;143.6;5.8;10;127.2;1017.9;18;13.7;10.1;81.5;7;1.8;50.1;null;
2012-08-31;5;53.2;54.2;54.2;174.5;6;8;112.3;1019.9;21.2;17.3;13.9;87.8;8;2.3;36;null;
2012-09-30;5;83.1;61.4;61.4;149;6.4;13;199.3;1017.3;21.6;18;14.7;81.5;9;2.7;42.4;null;
2012-10-31;5;78.7;85.1;85.1;137.4;7.4;9;124.2;1012.5;23.7;20.1;17.2;83.8;7;2.3;41.5;null;
2012-11-30;5;81.8;91.7;77.3;244.1;5.5;7;32.7;1012.9;25.1;21.4;17.7;82.2;7;2.5;50.3;null;
2012-12-31;5;82.9;127.6;127.6;201.8;6.5;12;234;1009.1;27.7;23.6;20;84;8;2.4;45.7;null;
2013-01-31;5;128.9;127.1;127.1;264.2;5;11;152.1;1013;27.3;23.7;19.9;75;8;2.7;54.6;null;
2013-02-28;0;81.9;112.9;112.9;141.7;7;19;290;1011.3;27.7;24.1;21;83.6;7;1.7;47.7;null;
2013-03-31;0;68.5;97.8;97.8;133.2;6.9;1;240.9;1014.2;25.5;22;18.2;81.5;6;2;48.4;null;
2013-04-30;0;85.8;76.7;75.8;209.9;4.5;null;62.9;1015.3;24.8;20.5;16.3;81.1;5;1.8;54.4;null;
2013-05-31;0;67.6;51;45.6;165.4;6.4;null;27.1;1015.4;22;17;12.7;83.1;8;1.6;52.7;null;
2013-06-30;0;49.2;39.5;39.5;117.5;6.8;null;102.2;1016.7;19.5;15.6;12.5;88.2;6;1.2;41.4;null;
2013-07-31;0;56;31;31;203.5;4.8;null;57.8;1019.4;18.7;13.4;9.4;85;5;1;50.5;null;
2013-08-31;0;53.4;34.5;34.5;192.2;5.2;null;419.1;1018.4;18.1;13.8;10.2;86.3;6;1.9;46.9;null;
2013-09-30;9;52.9;52.1;52.1;138.2;7;null;141.1;1016.2;20.2;16.6;13.3;85.8;8;2.1;41;null;
2013-10-31;5;82.5;76.7;76.6;193.8;5.8;null;73.4;1015.5;22.6;19.1;15.7;82.1;8;2.6;47.7;null;
2013-11-30;5;85.5;90.7;90.7;220.3;5.7;null;149.9;1012.9;23.9;20.4;17.1;82;8;3.7;47.7;null;
2013-12-31;9;78.4;119.1;112.3;238.4;5.8;null;79.7;1010.3;26.6;22.9;19.7;84.6;9;2.5;47.8;null;
2014-01-31;0;79.9;140.2;140.2;221.6;5.7;null;173.2;1011.5;29;24.9;21.3;84;5;1.8;47.7;null;
2014-02-28;0;90.6;121.5;121.5;214.4;5.4;null;432.4;1012.1;28.9;25.1;21.8;82.8;8;2.1;47.7;null;
2014-03-31;0;74.2;106.9;106.9;164.2;6;null;268.2;1013;26.7;23;19.5;84.4;6;1.6;51.9;null;
2014-04-30;0;86.5;82;81.7;183.6;6.1;null;74.3;1016;25.2;21.3;17.8;81.5;6;1.7;52.8;null;
