Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: 83953
Latitude: -30.842617
Longitude: -55.613073
Altitude: 328.22
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2013-12-16
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;229.9;139.4;43;315.6;4.1;6;18.7;974.2;32.5;24.6;17.3;60.9;4;1.5;56.9;null;
2012-02-29;18;123.2;117.3;117.3;218.5;5.4;12;220.5;973.4;29.9;23.9;18.9;75.7;3;1.2;56.2;null;
2012-03-31;18;108.5;94.5;88.8;278.3;4.3;6;58.5;976.3;27.8;21.3;15.8;73;3;1.1;57.7;null;
2012-04-30;18;81.6;57.3;57.3;204.6;4.5;9;147.5;977.1;23.1;17.3;12.7;75.1;3;1.2;56.1;null;
2012-05-31;9;57.4;49.9;43.9;200.8;5;6;13.1;979.5;22.4;16.4;12;78.7;3;1.1;51.5;null;
2012-06-30;36;49.7;26.8;26.8;144.5;5.8;6;77.7;978.6;17.3;12.2;8.2;81.4;3;1.2;53.1;null;
2012-07-31;18;82.4;18.1;18.1;203.1;4.5;6;32.2;979.8;15.4;9.5;5;76.4;4;1.5;55.8;null;
2012-08-31;9;88.2;49.2;49.2;156.3;6.6;9;127.3;980;21.4;15.8;11.4;79.9;4;1.4;52;null;
2012-09-30;9;63.3;48.8;48.8;190;6.1;11;156.1;978.5;20.8;15.4;10.5;79.5;4;1.4;55.3;null;
2012-10-31;9;60.4;74.1;74.1;201;6.8;18;298.2;974.3;22.9;18.2;14;82.1;5;1.4;54.9;null;
2012-11-30;18;123.3;96.7;90.1;286.6;4.4;4;58;975.1;27.9;21.5;15.6;67.5;3;1.3;59.1;null;
2012-12-31;36;111.1;125.8;125.8;259.6;5.4;10;179.8;971.5;29.1;23.1;17.6;73.7;5;1.4;58.2;null;
2013-01-31;14;97.8;112.5;112.5;298.9;4.4;8;158.2;975.8;28.1;21.9;16.5;73.7;3;1.2;55.7;null;
2013-02-28;14;71;96.4;95.7;215.2;6.2;11;84.2;974.2;27.9;22;17.2;76.9;3;1.2;56.6;null;
2013-03-31;9;82.9;76;75.8;238.6;5.2;1;73.9;976.8;24.9;18.9;13.6;76.3;4;1.4;56.2;null;
2013-04-30;9;69.9;60;60;234.3;4;null;120.7;977.8;23.8;17.8;12.6;78.2;3;1.1;54.7;null;
2013-05-31;9;40.8;35.9;35.9;151.7;6.6;null;200.6;977.7;18.3;13.5;9.9;84.5;3;1.1;50.1;null;
2013-06-30;9;45.5;25.6;25.6;165.8;5;null;42.7;978.8;17.7;12.1;8.2;83.4;3;1.2;50.8;null;
2013-07-31;5;47.9;25.7;25.7;179.5;5.5;null;68.7;980.5;17.8;11.6;7.4;82.2;4;1.3;55.5;null;
2013-08-31;18;82.2;24.4;24.4;179.8;5.2;null;65.6;980.5;17.3;10.9;5.8;76.1;4;1.4;57.3;null;
2013-09-30;18;96.3;44.1;44.1;187.8;5.7;null;119.6;977.8;20.8;14.6;9.9;75.9;3;1.5;54.4;null;
2013-10-31;14;97.5;68;68;239.9;4.8;null;139.8;977.2;24;17.4;11.9;72;3;1.2;57.5;null;
2013-11-30;18;85.7;91.4;91.4;236.2;4.9;null;282.6;974.1;26.1;20.1;14.7;73.6;3;1.2;57.9;null;
2013-12-31;null;null;null;null;null;null;null;null;973.2;29;22.8;16.1;65.8;4;null;null;null;

