Nome: CAMPO BOM
Codigo Estacao: 83961
Latitude: -29.677684
Longitude: -51.049914
Altitude: 28.96
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2013-11-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;87.8;154.5;154.5;null;4.6;10;257.6;null;32.6;24.2;18.8;76.1;4;.9;50.3;null;
2012-02-29;0;91.9;145.4;145.4;null;5;10;190.9;null;34.9;26.1;21;77.3;5;.7;46.2;null;
2012-03-31;0;84.9;132.7;129.4;null;3.2;7;105.8;null;31.8;22.5;17.4;77.6;4;.5;53.3;null;
2012-04-30;0;55.4;110;102.2;null;5.7;9;85.6;null;26.6;18.9;14.7;82.7;3;.6;48.9;null;
2012-05-31;0;55.5;107.9;73.9;null;3.7;2;46.4;null;26.5;17.2;11.9;83.2;3;.5;51.6;null;
2012-06-30;0;43.5;93.7;51.3;null;5.1;11;37.3;null;21.9;14;9.4;83.2;3;.5;44.7;null;
2012-07-31;0;42;96.1;96.1;null;6.4;11;199.1;null;20.1;12.7;7.8;81.9;5;.8;43.9;null;
2012-08-31;0;74.1;120.8;116.2;null;5.8;13;88.9;null;27.6;18.7;13.4;78.1;3;.7;41;null;
2012-09-30;0;61.9;117.9;117.9;null;6;13;248.6;null;25.4;17.6;12.4;78.7;5;1.1;42.4;null;
2012-10-31;0;72.9;138.5;138.5;null;6.8;12;192.9;null;28.2;21.1;16.3;79.3;7;1;43.5;null;
2012-11-30;0;102.8;145.4;92.9;null;4.1;6;22;null;32.6;22.8;15.8;70.1;5;.9;51;null;
2012-12-31;0;94.5;162.9;162.9;null;5;11;266.5;null;33.2;25.4;19.6;74.8;5;.8;51;null;
2013-01-31;0;85.5;154.1;145.7;null;4.5;9;110;null;32.1;23.5;17.2;73.8;5;.7;55.1;null;
2013-02-28;0;66;132.9;132.9;null;6;null;138.5;null;32.1;24.2;18.9;79.7;3;.6;50.1;null;
2013-03-31;0;61.1;129.5;129.5;null;6.3;null;149.5;null;28;20.8;16.3;82.8;5;.7;47.4;null;
2013-04-30;0;65.9;111.5;108.9;null;4;null;96.1;null;28;19.2;13.9;80.9;5;.5;52.4;null;
2013-05-31;0;45.5;104.2;93;null;6.1;null;71.3;null;23.4;15.7;10.9;83.2;5;.5;46.3;null;
2013-06-30;0;26.9;94.6;94.6;null;6.6;null;97.2;null;20.5;14.2;10.2;88;5;.4;37.3;null;
2013-07-31;0;38.1;96.1;96.1;null;3.9;null;148.5;null;21.6;12.7;7.5;83.1;5;.6;48.9;null;
2013-08-31;0;42.5;97.7;97.7;null;5.6;null;370.7;null;21.1;13.1;8.1;84.3;3;.7;42.3;null;
2013-09-30;0;52.9;114.2;114.2;null;6.2;null;171.4;null;24.4;16.8;11.7;82.8;5;.7;41.8;null;
2013-10-31;0;68.2;131;131;null;5.3;null;155.1;null;27.1;19;13.3;78.6;3;.9;50.2;null;
2013-11-30;0;93.4;147.3;147.3;null;5.2;null;218.5;null;30.8;22.4;16.1;73;3;.8;53.6;null;

