Nome: ENCRUZILHADA DO SUL
Codigo Estacao: 83964
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;119;120.1;86.2;296.3;3.8;8;65.9;963.6;29.8;22.4;17.3;69;5;1.4;52.7;null;
2012-02-29;14;110.4;119.4;119.4;221.3;4.2;10;164.2;962.6;31.1;24;19.5;72.5;3;.9;49.2;null;
2012-03-31;0;113.6;98.3;80.6;263.3;3.1;7;54.9;965.6;28.1;21.5;16.8;68.2;3;.9;51.8;null;
2012-04-30;14;79.8;60.7;60.7;176.7;4;8;90.7;966.1;23.1;17.4;13.6;73.7;3;1;48.8;null;
2012-05-31;0;76;54.3;54.1;202;3.8;4;53.6;969;22.7;16.7;13.1;75.7;5;.9;50.2;null;
2012-06-30;0;59.6;32.2;26;160.3;4.5;7;11.9;968.1;18.4;12.9;9.1;76.3;5;.9;46;null;
2012-07-31;14;64.7;23.7;23.7;181.9;4;8;157.1;968.8;16.3;10.4;6.5;77.7;10;1.4;47.3;null;
2012-08-31;0;86.4;57.8;57.8;169.3;5.3;10;109.1;970.6;22.3;16.8;13.1;73.7;5;1.3;45.7;null;
2012-09-30;14;72.9;52.3;52.3;163.7;5.5;11;278.4;968.5;20.7;15.4;11.6;75.3;7;1.7;44.9;null;
2012-10-31;14;82.2;78.5;78.5;150.2;6.1;12;161;964.3;24;18.4;14.2;77.9;9;1.6;44.1;null;
