Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;14;95.6;138.9;138.9;298.4;4.2;9;166;1012.4;1006.9;31.3;24.8;20.2;70.3;8.4;3.5;50.4;
2012-02-29;14;99.3;142.9;141.1;239.3;5;11;139.5;1011;1005.4;33.6;26.6;22.3;71.7;7.1;3.1;49;
2012-03-31;14;88.2;111.3;111.3;249.5;3.3;9;122.7;1014.4;1008.8;30.3;23.5;18.8;69.4;8.5;2.8;53.4;
2012-04-30;14;65;69.6;69.6;157.8;5.1;10;77.1;1015.4;1009.6;26.1;19.9;16;75.6;8;2.3;49.6;
2012-05-31;14;56.1;58.2;48.9;186.4;3.7;8;35.7;1019;1013.3;25.5;18.6;14.4;78;7.1;2.2;50.1;
2012-06-30;32;41.6;33.6;32.8;140.8;4.7;12;31.9;1018.2;1012.4;21.3;14.8;10.5;79.8;8.2;2.3;47.4;
2012-07-31;14;45.5;28.3;28.3;143.9;5.4;10;144.9;1019.5;1013.7;19.7;13.3;9.2;77.9;12;2.5;46.7;
2012-08-31;14;70.1;64.1;64.1;148.9;5.8;12;93.6;1020.4;1014.7;26.3;19.1;14.6;74.8;6;2.1;50.6;
2012-09-30;14;66.3;60.8;60.8;148.2;5.9;12;273.7;1018.2;1012.5;24;18.2;14.2;75.3;9.6;3.2;48;
2012-10-31;14;75.7;94;94;168.8;6.1;11;121.1;1013.2;1007.5;27.1;21.2;17.4;75.4;6.3;2.5;48.8;
2012-11-30;14;92.1;107.2;81.8;274.9;4.2;6;26;1013.3;1007.8;30.3;23.3;18.1;67.1;9.1;3;54.2;
2012-12-31;14;139.5;151.6;151.6;248.2;5;11;196;1009.8;1004.3;32.8;25.7;20.1;68.4;7;2.3;52.5;
2013-01-31;14;137;130.9;125.6;303.9;4.4;8;106.1;1013.8;1008.2;31.4;24.2;19.1;67.3;7.8;2.9;54;
2013-02-28;14;74.9;115.3;114.5;205.4;5.6;12;112.8;1011.8;1006.2;30.3;24.6;20.8;73.9;9.6;3.1;53.6;
2013-03-31;14;59.4;93.7;87.8;163.8;5.9;13;78;1015.4;1009.7;26.8;21.7;18.2;76;7.2;2.6;52.5;
2013-04-30;14;67.7;71.3;71.3;194.6;4.3;12;108.9;1016.7;1011;26.5;20.3;16.1;74.3;8.2;2.1;52.2;
2013-05-31;14;41.8;44.9;44.9;130.4;6;12;65.3;1016.9;1011.2;22.2;16.4;12.7;80.4;6.3;1.7;45.7;
2013-06-30;14;25;32.7;32.7;104;6.5;21;100.7;1018;1012.2;19.5;14.6;11.5;84.6;8.1;1.9;43.2;
2013-07-31;32;38.6;28.7;28.7;156.4;4.1;9;115.9;1020.7;1014.9;19.9;13.6;9.4;80.6;6.5;2;49.1;
2013-08-31;14;40.7;32;32;129.5;5.8;19;247.4;1020.1;1014.2;19.5;13.7;9.8;82.4;7.1;2.1;48.9;
2013-09-30;14;56.8;55.9;55.9;137.7;5.8;13;135.3;1017.3;1011.7;23.2;17.5;13.6;78.4;7.4;2.6;50.3;
2013-10-31;14;63.6;75.5;75.5;207.8;4.9;11;131.8;1016.2;1010.5;24.9;19.2;15;74.8;8.4;3;55.1;
2013-11-30;14;93.3;107.1;107.1;258.1;4.8;10;184.6;1013;1007.5;28.6;22.3;17.5;71.2;8.1;3.1;56.2;
