Nome: PELOTAS
Codigo Estacao: 83985
Latitude: -31.78333333
Longitude: -52.41666666
Altitude: 13
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;135.3;119.9;96.5;289.8;4.8;10;84;1011.6;28.4;22.7;17.9;78.3;7.6;3.4;28.5;null;
2012-02-29;5;92;119.5;119.5;209.6;5.8;14;136.6;1009.7;29.9;24.2;20.2;81.8;5.6;2.6;30.9;null;
2012-03-31;5;70.7;97.2;89.4;259.2;4.6;9;83.5;1012.6;28.1;21.5;16.6;80.9;8.3;2.8;34.7;null;
2012-04-30;23;65.4;57.9;54.7;198.2;4.8;10;52.6;1013.8;23.7;17.4;12.8;81.9;6;2.6;30.3;null;
2012-05-31;5;64.8;51.9;19.3;218.4;5;4;5.1;1017.1;23.9;16.8;12.2;84;6.6;2.4;29.7;null;
2012-06-30;23;61.7;27.5;27.5;171.1;5.1;6;78.4;1016;19.5;12.3;7.3;81.9;7.5;2.5;27.5;null;
2012-07-31;23;59.7;21;21;192.9;4.6;9;113.3;1017.6;16.8;10.4;5.6;81.4;6.6;2.7;27.8;null;
2012-08-31;5;68.8;54.3;54.3;195.3;6.3;12;128.3;1018.3;22.9;16.8;12.6;84;6;2.9;25.4;null;
2012-09-30;null;88.8;54.2;54.2;167.6;6.2;11;115.3;1016.3;21.3;16.2;12.3;81.2;8;null;28.5;null;
2012-10-31;null;94.5;82;82;160.8;7.2;9;106.5;1011.6;23.6;19.2;15.9;81.2;9;null;29;null;
2012-11-30;5;128.6;102.5;91.7;280.8;4.7;7;52.1;1012.3;27;21.3;16.6;75.9;7;3.4;33.6;null;
2012-12-31;5;142.3;131.6;131.6;257.1;5.1;11;133.4;1007.9;29.3;23.6;18.7;75.1;7.1;3.2;35.2;null;
2013-01-31;14;122.1;116.9;114.5;299.7;5;8;110.9;1012.6;27.5;22.3;17.5;76.5;8.3;3.4;32.4;null;
2013-02-28;14;88.9;103.4;103.4;220.7;5.7;null;177.3;1010.9;28;22.8;19.1;80.9;8.1;3.1;31.2;null;
2013-03-31;14;96.5;83;70.1;234.5;5.5;null;27.6;1014;25.8;19.7;15.2;80.4;8.6;2.8;36.4;null;
2013-04-30;23;75.6;63.7;63.7;216.3;4.6;null;147.4;1014.6;24.5;18.3;13.8;82.3;9.1;2.7;31.7;null;
2013-05-31;23;47.9;40.2;40.2;162.7;6.2;null;84.1;1014.6;20.6;14.6;10.6;85;6.3;2.4;29.5;null;
2013-06-30;23;46.4;27.9;27.9;179.9;5.4;null;75.8;1015.8;18.4;12.5;8;84.7;8.6;2.4;29.1;null;
2013-07-31;5;48.3;25.6;25.6;181.3;5.4;null;56.6;1018.4;17.8;11.6;7.2;83.7;8.3;2.4;28.8;null;
2013-08-31;23;52.4;26.1;26.1;155.1;6;null;95.3;1018.4;17.1;11.3;7;83.7;6.3;2.7;28.6;null;
2013-09-30;5;71;50.5;50.5;159.3;6.5;null;133;1015.5;21.1;15.7;11.5;83.3;7.8;2.9;28.8;null;
2013-10-31;5;85.7;69;69;223.3;5.5;null;214.7;1015;22.1;18.3;13.5;81;9.3;3.5;33.2;null;
2013-11-30;5;100.6;95.3;95.3;237.7;5.2;null;136.3;1011.5;24.9;21.1;16.9;80.1;8.1;3.9;31;null;
2013-12-31;5;150.9;129.6;116.6;313.2;4.4;null;74;1009.1;29.2;24.5;18.9;75.2;7.5;3.4;37.2;null;
2014-01-31;5;107.2;141.1;141.1;237.6;5.8;null;182.6;1010.3;30.5;24.8;20.6;79.5;7.6;2.9;28.6;null;
2014-02-28;5;89.5;114.5;114.5;202.8;6.5;null;220.6;1011.5;29;24.2;20.9;83;8.3;3;27.8;null;
2014-03-31;23;78;93.3;93.3;233;5.2;null;146.3;1012.3;26.2;21.1;17.2;83.8;6.6;2.9;31.5;null;
2014-04-30;23;67.9;67.6;67.6;194.9;5.5;null;100.6;1015.5;24.2;18.9;15.1;85.2;8.3;2.9;29.2;null;
2014-05-31;23;42.3;41.7;41.7;159.9;6.3;null;62.2;1015.7;20.4;14.8;10.8;88.7;7.3;2.1;28.8;null;
2014-06-30;23;38.5;31.3;31.3;128.9;6.3;null;141.3;1016.2;18.2;13.3;9.6;89.2;6.6;2.5;23.3;null;
2014-07-31;5;42.4;36.2;36.2;163.8;6.4;null;207.2;1018.8;18.9;13.9;10.5;88.4;9.5;2.8;24.7;null;
2014-08-31;5;59.2;37.7;37.7;191;5.7;null;82.9;1016.5;20;14;9.5;84.6;8.8;2.7;24.3;null;
2014-09-30;5;69.3;55.9;55.9;139;7.3;null;135.6;1014.1;21.1;16.7;12.9;84.6;9.1;3.2;26.1;null;
2014-10-31;5;89.5;82.6;82.6;195.1;6.9;null;254.3;1014.7;23.9;19.4;15.8;82.9;9.6;3.2;27.5;null;
2014-11-30;5;115.7;101.4;101.4;247.3;5.3;null;104;1011.8;26.4;21.2;16.8;77.3;7.5;3.3;31.2;null;
2014-12-31;5;110.2;124.5;124.5;228.3;6.2;null;138.2;1010.4;27.9;22.5;18.9;78.8;9.6;2.8;29.4;null;
2015-01-31;5;100.7;133.9;133.9;252.8;5.6;null;234;1011.8;29.1;24;20.1;80.1;6.1;2.8;27;null;
2015-02-28;14;97.8;110.2;108.6;224.9;6.4;null;91.9;1011.9;27.9;23.5;20.3;82.2;6.6;2.9;33.9;null;
2015-03-31;23;103.6;102.5;102.5;230.8;5.6;null;105.1;1013.5;27.6;22.1;18;82.5;5.3;2.7;32.9;null;
