Nome: RIO GRANDE
Codigo Estacao: 83995
Latitude: -32.078809
Longitude: -52.167725
Altitude: 4.89
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2015-01-18
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;167.5;128;59.5;null;5.1;8;39;1012.9;27.7;23.4;19.5;76;8;4.2;59.9;null;
2012-02-29;5;110.1;119;82.4;null;5.9;13;77.6;1010.7;30.1;24.8;20.9;79.1;7;3.2;58.9;null;
2012-03-31;23;119.8;104.6;104.6;null;4.9;8;118.2;1013.5;28.2;22.5;17.2;73;6;2.9;60;null;
2012-04-30;23;96.2;65.3;65.3;null;5.7;10;81.1;1014.7;23.7;18.3;13.3;75.2;9;2.7;58.5;null;
2012-05-31;5;71.4;55;22.4;null;5;7;7.8;1018.2;22.9;17.7;14.1;80.7;6;2.5;57.4;null;
2012-06-30;5;68.9;27.4;27.4;null;5.5;11;74;1017.1;18.3;12.7;8.2;79.8;7;2.2;58.3;null;
2012-07-31;23;70;22;22;null;4.9;6;104.8;1018.6;16.2;11.1;6.9;78.5;7;2.9;59;null;
2012-08-31;5;75.8;52.1;52.1;null;6.4;12;113;1019.5;21.1;16.6;13.4;81.2;7;3.3;58.2;null;
2012-09-30;5;102.3;54.4;54.4;null;6.3;10;137.8;1017.4;20.5;16.5;13.5;76.4;12;4.1;58.8;null;
2012-10-31;5;100.6;80.5;80.5;null;6.9;8;90.2;1012.7;22.6;19.1;16.4;81.1;10.1;3.8;58.1;null;
